 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 8.92E-08 1.38E-16 2.86E-07 6.95E-17 4.11E-09 3.90E-23 3.06E-08 5.19E-23 3.13E-12 6.68E-06 1.68E-12 7.086E-06
9.000E-01 1.04E-07 2.11E-16 3.37E-07 1.06E-16 5.24E-09 5.94E-23 3.64E-08 7.90E-23 3.87E-12 7.78E-06 2.55E-12 8.260E-06
8.000E-01 1.25E-07 3.37E-16 4.06E-07 1.70E-16 6.84E-09 9.51E-23 4.43E-08 1.27E-22 4.90E-12 9.23E-06 4.08E-12 9.811E-06
7.000E-01 1.53E-07 5.75E-16 5.02E-07 2.89E-16 9.17E-09 1.62E-22 5.45E-08 2.16E-22 6.39E-12 1.12E-05 6.96E-12 1.192E-05
6.000E-01 1.94E-07 1.06E-15 6.42E-07 5.36E-16 1.27E-08 3.01E-22 7.01E-08 4.00E-22 8.70E-12 1.40E-05 1.29E-11 1.496E-05
5.500E-01 2.21E-07 1.51E-15 7.37E-07 7.60E-16 1.52E-08 4.26E-22 8.08E-08 5.66E-22 1.04E-11 1.60E-05 1.82E-11 1.702E-05
5.000E-01 2.56E-07 2.21E-15 8.58E-07 1.11E-15 1.85E-08 6.23E-22 9.37E-08 8.28E-22 1.25E-11 1.84E-05 2.67E-11 1.960E-05
4.500E-01 3.02E-07 3.36E-15 1.02E-06 1.69E-15 2.27E-08 9.50E-22 1.12E-07 1.26E-21 1.55E-11 2.15E-05 4.06E-11 2.293E-05
4.000E-01 3.63E-07 5.38E-15 1.23E-06 2.71E-15 2.85E-08 1.52E-21 1.34E-07 2.02E-21 1.96E-11 2.56E-05 6.49E-11 2.734E-05
3.500E-01 4.48E-07 9.18E-15 1.52E-06 4.63E-15 3.65E-08 2.60E-21 1.68E-07 3.45E-21 2.56E-11 3.13E-05 1.11E-10 3.344E-05
