 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 2.96E-07 3.65E-16 5.53E-07 6.91E-17 1.40E-08 1.13E-22 2.91E-07 4.21E-22 1.78E-11 0.00E+00 0.00E+00 1.154E-06
9.000E-01 3.47E-07 5.56E-16 6.53E-07 1.05E-16 1.78E-08 1.72E-22 3.46E-07 6.41E-22 2.20E-11 0.00E+00 0.00E+00 1.364E-06
8.000E-01 4.15E-07 8.90E-16 7.86E-07 1.69E-16 2.33E-08 2.76E-22 4.22E-07 1.03E-21 2.79E-11 0.00E+00 0.00E+00 1.646E-06
7.000E-01 5.08E-07 1.52E-15 9.71E-07 2.88E-16 3.12E-08 4.71E-22 5.19E-07 1.75E-21 3.64E-11 0.00E+00 0.00E+00 2.029E-06
6.000E-01 6.43E-07 2.81E-15 1.24E-06 5.33E-16 4.33E-08 8.72E-22 6.67E-07 3.24E-21 4.95E-11 0.00E+00 0.00E+00 2.594E-06
5.500E-01 7.35E-07 3.98E-15 1.43E-06 7.55E-16 5.18E-08 1.23E-21 7.69E-07 4.59E-21 5.89E-11 0.00E+00 0.00E+00 2.981E-06
5.000E-01 8.51E-07 5.83E-15 1.66E-06 1.10E-15 6.29E-08 1.81E-21 8.92E-07 6.72E-21 7.13E-11 0.00E+00 0.00E+00 3.466E-06
4.500E-01 1.00E-06 8.88E-15 1.97E-06 1.68E-15 7.74E-08 2.76E-21 1.06E-06 1.02E-20 8.80E-11 0.00E+00 0.00E+00 4.109E-06
4.000E-01 1.21E-06 1.42E-14 2.37E-06 2.70E-15 9.70E-08 4.41E-21 1.28E-06 1.64E-20 1.11E-10 0.00E+00 0.00E+00 4.954E-06
3.500E-01 1.49E-06 2.42E-14 2.94E-06 4.60E-15 1.24E-07 7.53E-21 1.60E-06 2.80E-20 1.46E-10 0.00E+00 0.00E+00 6.156E-06
3.000E-01 1.90E-06 4.49E-14 3.78E-06 8.53E-15 1.64E-07 1.40E-20 2.03E-06 5.18E-20 1.98E-10 0.00E+00 0.00E+00 7.870E-06
2.500E-01 2.54E-06 9.30E-14 5.08E-06 1.77E-14 2.23E-07 2.89E-20 2.73E-06 1.07E-19 2.85E-10 0.00E+00 0.00E+00 1.057E-05
2.098E-01 3.38E-06 1.87E-13 6.75E-06 3.57E-14 2.97E-07 5.83E-20 3.63E-06 2.16E-19 4.05E-10 0.00E+00 0.00E+00 1.405E-05
1.500E-01 5.88E-06 7.16E-13 1.17E-05 1.36E-13 5.66E-07 2.23E-19 6.21E-06 8.26E-19 7.92E-10 0.00E+00 0.00E+00 2.433E-05
1.382E-01 6.75E-06 9.94E-13 1.34E-05 1.89E-13 6.67E-07 3.10E-19 7.12E-06 1.15E-18 9.34E-10 0.00E+00 0.00E+00 2.788E-05
1.320E-01 7.29E-06 1.19E-12 1.44E-05 2.28E-13 7.31E-07 3.72E-19 7.66E-06 1.38E-18 1.02E-09 0.00E+00 0.00E+00 3.008E-05
1.150E-01 9.21E-06 2.07E-12 1.81E-05 3.95E-13 9.58E-07 6.46E-19 9.57E-06 2.39E-18 1.35E-09 0.00E+00 0.00E+00 3.780E-05
1.000E-01 1.17E-05 3.62E-12 2.27E-05 6.91E-13 1.26E-06 1.13E-18 1.19E-05 4.18E-18 1.78E-09 0.00E+00 0.00E+00 4.764E-05
9.970E-02 1.18E-05 3.67E-12 2.28E-05 6.99E-13 1.27E-06 1.14E-18 1.20E-05 4.23E-18 1.79E-09 0.00E+00 0.00E+00 4.789E-05
8.670E-02 1.48E-05 6.41E-12 2.88E-05 1.22E-12 1.67E-06 2.00E-18 1.51E-05 7.39E-18 2.37E-09 0.00E+00 0.00E+00 6.038E-05
8.500E-02 1.54E-05 6.94E-12 2.98E-05 1.32E-12 1.74E-06 2.16E-18 1.56E-05 8.00E-18 2.47E-09 0.00E+00 0.00E+00 6.244E-05
7.500E-02 1.95E-05 1.15E-11 3.66E-05 2.19E-12 2.21E-06 3.57E-18 1.90E-05 1.32E-17 3.17E-09 0.00E+00 0.00E+00 7.731E-05
6.000E-02 2.87E-05 2.79E-11 5.28E-05 5.36E-12 3.40E-06 8.71E-18 2.76E-05 3.22E-17 4.95E-09 0.00E+00 0.00E+00 1.125E-04
5.500E-02 3.32E-05 3.96E-11 5.92E-05 7.63E-12 4.01E-06 1.23E-17 3.21E-05 4.56E-17 5.90E-09 0.00E+00 0.00E+00 1.286E-04
5.000E-02 3.96E-05 5.80E-11 7.33E-05 1.13E-11 4.78E-06 1.81E-17 3.83E-05 6.69E-17 7.13E-09 0.00E+00 0.00E+00 1.559E-04
4.500E-02 4.88E-05 8.85E-11 9.71E-05 1.73E-11 5.84E-06 2.75E-17 4.68E-05 1.02E-16 8.81E-09 0.00E+00 0.00E+00 1.985E-04
4.000E-02 6.26E-05 1.42E-10 1.30E-04 2.79E-11 7.27E-06 4.41E-17 5.91E-05 1.64E-16 1.12E-08 0.00E+00 0.00E+00 2.587E-04
3.500E-02 7.86E-05 2.42E-10 1.97E-04 4.81E-11 9.32E-06 7.52E-17 7.82E-05 2.79E-16 1.46E-08 0.00E+00 0.00E+00 3.633E-04
3.000E-02 1.11E-04 4.51E-10 3.08E-04 8.95E-11 1.24E-05 1.39E-16 1.10E-04 5.18E-16 1.98E-08 0.00E+00 0.00E+00 5.407E-04
2.750E-02 1.32E-04 6.39E-10 3.87E-04 1.27E-10 1.46E-05 1.97E-16 1.34E-04 7.35E-16 2.36E-08 0.00E+00 0.00E+00 6.682E-04
2.500E-02 1.59E-04 9.38E-10 4.93E-04 1.85E-10 1.75E-05 2.89E-16 1.68E-04 1.08E-15 2.86E-08 0.00E+00 0.00E+00 8.377E-04
2.400E-02 1.75E-04 1.10E-09 5.46E-04 2.18E-10 1.89E-05 3.40E-16 1.83E-04 1.27E-15 3.10E-08 0.00E+00 0.00E+00 9.229E-04
2.000E-02 2.56E-04 2.31E-09 8.49E-04 4.45E-10 2.68E-05 7.07E-16 2.66E-04 2.63E-15 4.47E-08 0.00E+00 0.00E+00 1.398E-03
1.800E-02 3.19E-04 3.54E-09 1.05E-03 6.68E-10 3.29E-05 1.08E-15 3.30E-04 4.00E-15 5.52E-08 0.00E+00 0.00E+00 1.736E-03
1.600E-02 4.23E-04 5.71E-09 1.31E-03 1.05E-09 4.17E-05 1.73E-15 4.21E-04 6.42E-15 7.00E-08 0.00E+00 0.00E+00 2.197E-03
1.500E-02 5.04E-04 7.43E-09 1.47E-03 1.34E-09 4.74E-05 2.24E-15 4.78E-04 8.31E-15 7.97E-08 0.00E+00 0.00E+00 2.500E-03
1.400E-02 5.74E-04 9.81E-09 1.65E-03 1.74E-09 5.48E-05 2.96E-15 5.52E-04 1.10E-14 9.15E-08 0.00E+00 0.00E+00 2.830E-03
1.200E-02 8.76E-04 1.84E-08 2.10E-03 3.12E-09 7.62E-05 5.51E-15 7.56E-04 2.03E-14 1.25E-07 0.00E+00 0.00E+00 3.812E-03
1.000E-02 1.33E-03 3.86E-08 2.78E-03 6.18E-09 1.15E-04 1.15E-14 1.10E-03 4.22E-14 1.80E-07 0.00E+00 0.00E+00 5.325E-03
9.000E-03 1.77E-03 5.95E-08 3.17E-03 9.18E-09 1.48E-04 1.76E-14 1.38E-03 6.44E-14 2.23E-07 0.00E+00 0.00E+00 6.460E-03
8.000E-03 2.35E-03 9.38E-08 3.68E-03 1.45E-08 1.98E-04 2.85E-14 1.77E-03 1.03E-13 2.84E-07 0.00E+00 0.00E+00 7.989E-03
7.500E-03 2.74E-03 1.23E-07 4.07E-03 1.87E-08 2.34E-04 3.70E-14 2.03E-03 1.34E-13 3.24E-07 0.00E+00 0.00E+00 9.072E-03
7.000E-03 3.32E-03 1.61E-07 4.56E-03 2.45E-08 2.80E-04 4.91E-14 2.35E-03 1.76E-13 3.73E-07 0.00E+00 0.00E+00 1.051E-02
6.000E-03 4.76E-03 2.92E-07 5.85E-03 4.46E-08 4.32E-04 9.25E-14 3.27E-03 3.26E-13 5.13E-07 0.00E+00 0.00E+00 1.431E-02
5.000E-03 6.79E-03 5.72E-07 8.31E-03 9.09E-08 7.57E-04 1.96E-13 4.82E-03 6.73E-13 7.53E-07 0.00E+00 0.00E+00 2.068E-02
4.500E-03 8.36E-03 8.30E-07 1.02E-02 1.36E-07 1.07E-03 3.03E-13 6.02E-03 1.02E-12 9.44E-07 0.00E+00 0.00E+00 2.561E-02
4.000E-03 9.95E-03 1.23E-06 1.27E-02 2.03E-07 1.57E-03 4.82E-13 7.69E-03 1.62E-12 1.22E-06 0.00E+00 0.00E+00 3.189E-02
3.500E-03 1.20E-02 1.95E-06 1.56E-02 3.21E-07 2.18E-03 7.72E-13 1.00E-02 2.72E-12 1.66E-06 0.00E+00 0.00E+00 3.987E-02
3.000E-03 1.48E-02 3.23E-06 1.92E-02 5.15E-07 2.30E-03 1.21E-12 1.37E-02 4.97E-12 2.47E-06 0.00E+00 0.00E+00 5.009E-02
2.750E-03 1.63E-02 4.23E-06 2.11E-02 6.64E-07 1.98E-03 1.55E-12 1.65E-02 6.93E-12 3.26E-06 0.00E+00 0.00E+00 5.580E-02
2.500E-03 1.76E-02 5.65E-06 2.31E-02 8.70E-07 1.56E-03 2.14E-12 2.02E-02 9.99E-12 5.15E-06 0.00E+00 0.00E+00 6.242E-02
2.400E-03 1.82E-02 6.44E-06 2.39E-02 9.76E-07 1.40E-03 2.48E-12 2.20E-02 1.16E-11 6.98E-06 0.00E+00 0.00E+00 6.553E-02
2.350E-03 1.86E-02 6.89E-06 2.43E-02 1.04E-06 1.32E-03 2.69E-12 2.30E-02 1.25E-11 8.14E-06 0.00E+00 0.00E+00 6.733E-02
2.320E-03 1.88E-02 7.17E-06 2.46E-02 1.07E-06 1.28E-03 2.82E-12 2.37E-02 1.31E-11 8.72E-06 0.00E+00 0.00E+00 6.842E-02
2.310E-03 1.89E-02 7.26E-06 2.47E-02 1.09E-06 1.27E-03 2.87E-12 2.39E-02 1.33E-11 8.87E-06 0.00E+00 0.00E+00 6.880E-02
2.300E-03 1.90E-02 7.36E-06 2.48E-02 1.10E-06 1.25E-03 2.92E-12 2.41E-02 1.35E-11 9.00E-06 0.00E+00 0.00E+00 6.917E-02
2.250E-03 1.93E-02 7.86E-06 2.54E-02 1.17E-06 1.18E-03 3.18E-12 2.53E-02 1.47E-11 9.38E-06 0.00E+00 0.00E+00 7.120E-02
2.200E-03 1.96E-02 8.42E-06 2.60E-02 1.25E-06 1.12E-03 3.47E-12 2.67E-02 1.59E-11 9.84E-06 0.00E+00 0.00E+00 7.346E-02
2.150E-03 2.00E-02 9.06E-06 2.67E-02 1.33E-06 1.06E-03 3.80E-12 2.80E-02 1.72E-11 1.07E-05 0.00E+00 0.00E+00 7.583E-02
2.120E-03 2.03E-02 9.45E-06 2.71E-02 1.37E-06 1.03E-03 4.02E-12 2.89E-02 1.80E-11 1.12E-05 0.00E+00 0.00E+00 7.733E-02
2.110E-03 2.03E-02 9.58E-06 2.72E-02 1.39E-06 1.02E-03 4.10E-12 2.93E-02 1.83E-11 1.12E-05 0.00E+00 0.00E+00 7.784E-02
2.100E-03 2.04E-02 9.71E-06 2.73E-02 1.40E-06 1.01E-03 4.18E-12 2.96E-02 1.86E-11 1.13E-05 0.00E+00 0.00E+00 7.836E-02
2.080E-03 2.05E-02 9.96E-06 2.75E-02 1.43E-06 9.89E-04 4.34E-12 3.02E-02 1.92E-11 1.12E-05 0.00E+00 0.00E+00 7.927E-02
2.000E-03 2.08E-02 1.12E-05 2.84E-02 1.55E-06 9.17E-04 5.09E-12 3.31E-02 2.18E-11 1.08E-05 0.00E+00 0.00E+00 8.330E-02
