 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 1.70E-07 2.18E-16 2.89E-07 2.42E-17 6.38E-09 5.30E-23 5.54E-08 8.22E-23 4.99E-12 0.00E+00 0.00E+00 5.208E-07
9.000E-01 1.99E-07 3.32E-16 3.41E-07 3.69E-17 8.14E-09 8.08E-23 6.59E-08 1.25E-22 6.17E-12 0.00E+00 0.00E+00 6.144E-07
8.000E-01 2.38E-07 5.31E-16 4.11E-07 5.92E-17 1.06E-08 1.29E-22 8.03E-08 2.01E-22 7.80E-12 0.00E+00 0.00E+00 7.398E-07
7.000E-01 2.91E-07 9.05E-16 5.08E-07 1.01E-16 1.42E-08 2.21E-22 9.87E-08 3.42E-22 1.02E-11 0.00E+00 0.00E+00 9.122E-07
6.000E-01 3.69E-07 1.68E-15 6.49E-07 1.87E-16 1.98E-08 4.09E-22 1.27E-07 6.34E-22 1.39E-11 0.00E+00 0.00E+00 1.164E-06
5.500E-01 4.21E-07 2.37E-15 7.46E-07 2.65E-16 2.37E-08 5.79E-22 1.46E-07 8.97E-22 1.65E-11 0.00E+00 0.00E+00 1.337E-06
5.000E-01 4.88E-07 3.48E-15 8.69E-07 3.88E-16 2.87E-08 8.48E-22 1.70E-07 1.31E-21 2.00E-11 0.00E+00 0.00E+00 1.555E-06
4.500E-01 5.75E-07 5.30E-15 1.03E-06 5.91E-16 3.53E-08 1.29E-21 2.02E-07 2.00E-21 2.47E-11 0.00E+00 0.00E+00 1.841E-06
4.000E-01 6.91E-07 8.48E-15 1.24E-06 9.47E-16 4.43E-08 2.07E-21 2.43E-07 3.21E-21 3.12E-11 0.00E+00 0.00E+00 2.221E-06
3.500E-01 8.53E-07 1.45E-14 1.54E-06 1.62E-15 5.67E-08 3.53E-21 3.04E-07 5.47E-21 4.08E-11 0.00E+00 0.00E+00 2.754E-06
