 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.000E+00   5.177E-04   6.319E-04   0.000E+00   3.820E-06
   9.000E-01   6.064E-04   7.461E-04   0.000E+00   4.463E-06
   8.000E-01   7.244E-04   8.987E-04   0.000E+00   5.316E-06
   7.000E-01   8.871E-04   1.110E-03   0.000E+00   6.478E-06
   6.000E-01   1.123E-03   1.419E-03   0.000E+00   8.156E-06
   5.500E-01   1.283E-03   1.630E-03   0.000E+00   9.294E-06
   5.000E-01   1.487E-03   1.898E-03   0.000E+00   1.072E-05
   4.500E-01   1.751E-03   2.247E-03   0.000E+00   1.258E-05
   4.000E-01   2.105E-03   2.715E-03   0.000E+00   1.503E-05
   3.500E-01   2.597E-03   3.367E-03   0.000E+00   1.843E-05
   3.000E-01   3.316E-03   4.318E-03   0.000E+00   2.332E-05
   2.500E-01   4.441E-03   5.803E-03   0.000E+00   3.091E-05
   2.098E-01   5.900E-03   7.715E-03   0.000E+00   4.060E-05
   1.500E-01   1.026E-02   1.335E-02   0.000E+00   6.886E-05
   1.382E-01   1.177E-02   1.527E-02   0.000E+00   7.850E-05
   1.320E-01   1.271E-02   1.646E-02   0.000E+00   8.447E-05
   1.150E-01   1.605E-02   2.066E-02   0.000E+00   1.054E-04
   1.000E-01   2.042E-02   2.598E-02   0.000E+00   1.323E-04
   9.970E-02   2.053E-02   2.611E-02   0.000E+00   1.329E-04
   8.670E-02   2.584E-02   3.294E-02   0.000E+00   1.660E-04
   8.500E-02   2.677E-02   3.404E-02   0.000E+00   1.717E-04
   7.500E-02   3.397E-02   4.188E-02   0.000E+00   2.140E-04
   6.000E-02   4.996E-02   6.058E-02   0.000E+00   3.063E-04
   5.500E-02   5.789E-02   6.798E-02   0.000E+00   3.521E-04
   5.000E-02   6.891E-02   8.451E-02   0.000E+00   4.208E-04
   4.500E-02   8.494E-02   1.123E-01   0.000E+00   5.216E-04
   4.000E-02   1.091E-01   1.506E-01   0.000E+00   6.644E-04
   3.500E-02   1.369E-01   2.299E-01   0.000E+00   8.594E-04
   3.000E-02   1.933E-01   3.591E-01   0.000E+00   1.218E-03
   2.750E-02   2.308E-01   4.517E-01   0.000E+00   1.456E-03
   2.500E-02   2.781E-01   5.746E-01   0.000E+00   1.776E-03
   2.400E-02   3.054E-01   6.356E-01   0.000E+00   1.929E-03
   2.000E-02   4.477E-01   9.797E-01   0.000E+00   2.807E-03
   1.800E-02   5.586E-01   1.205E+00   0.000E+00   3.464E-03
   1.600E-02   7.440E-01   1.481E+00   0.000E+00   4.370E-03
   1.500E-02   8.880E-01   1.650E+00   0.000E+00   4.963E-03
   1.400E-02   1.011E+00   1.837E+00   0.000E+00   5.564E-03
   1.200E-02   1.548E+00   2.298E+00   0.000E+00   7.480E-03
   1.000E-02   2.357E+00   2.956E+00   0.000E+00   1.032E-02
   9.000E-03   3.147E+00   3.322E+00   0.000E+00   1.253E-02
   8.000E-03   4.151E+00   3.824E+00   0.000E+00   1.513E-02
   7.500E-03   4.866E+00   4.216E+00   0.000E+00   1.717E-02
   7.000E-03   5.857E+00   4.699E+00   0.000E+00   1.957E-02
   6.000E-03   8.318E+00   5.947E+00   0.000E+00   2.598E-02
   5.000E-03   1.156E+01   8.248E+00   0.000E+00   3.633E-02
   4.500E-03   1.391E+01   9.850E+00   0.000E+00   4.436E-02
   4.000E-03   1.601E+01   1.164E+01   0.000E+00   5.469E-02
   3.500E-03   1.866E+01   1.347E+01   0.000E+00   6.892E-02
   3.000E-03   2.174E+01   1.486E+01   0.000E+00   8.910E-02
   2.750E-03   2.295E+01   1.522E+01   0.000E+00   1.016E-01
   2.500E-03   2.372E+01   1.538E+01   0.000E+00   1.163E-01
   2.400E-03   2.423E+01   1.540E+01   0.000E+00   1.231E-01
   2.350E-03   2.453E+01   1.542E+01   0.000E+00   1.268E-01
   2.320E-03   2.466E+01   1.543E+01   0.000E+00   1.290E-01
   2.310E-03   2.471E+01   1.544E+01   0.000E+00   1.297E-01
   2.300E-03   2.476E+01   1.544E+01   0.000E+00   1.304E-01
   2.250E-03   2.490E+01   1.549E+01   0.000E+00   1.344E-01
   2.200E-03   2.505E+01   1.552E+01   0.000E+00   1.385E-01
   2.150E-03   2.530E+01   1.551E+01   0.000E+00   1.426E-01
   2.120E-03   2.545E+01   1.543E+01   0.000E+00   1.452E-01
   2.110E-03   2.547E+01   1.541E+01   0.000E+00   1.460E-01
   2.100E-03   2.548E+01   1.538E+01   0.000E+00   1.469E-01
   2.080E-03   2.545E+01   1.527E+01   0.000E+00   1.483E-01
   2.000E-03   2.545E+01   1.480E+01   0.000E+00   1.547E-01
   1.950E-03   2.561E+01   1.428E+01   0.000E+00   1.580E-01
   1.900E-03   2.594E+01   1.359E+01   0.000E+00   1.605E-01
   1.850E-03   2.625E+01   1.271E+01   0.000E+00   1.614E-01
   1.830E-03   2.640E+01   1.230E+01   0.000E+00   1.614E-01
   1.820E-03   2.641E+01   1.209E+01   0.000E+00   1.612E-01
   1.810E-03   2.645E+01   1.187E+01   0.000E+00   1.610E-01
