 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 1.76E-07 2.73E-16 5.12E-07 8.03E-17 1.37E-08 1.30E-22 1.87E-07 3.17E-22 2.45E-12 4.98E-06 1.25E-12 5.873E-06
9.000E-01 2.06E-07 4.15E-16 6.04E-07 1.22E-16 1.75E-08 1.99E-22 2.23E-07 4.83E-22 3.03E-12 5.81E-06 1.91E-12 6.856E-06
8.000E-01 2.46E-07 6.65E-16 7.28E-07 1.96E-16 2.29E-08 3.18E-22 2.71E-07 7.74E-22 3.83E-12 6.89E-06 3.05E-12 8.158E-06
7.000E-01 3.02E-07 1.13E-15 9.00E-07 3.34E-16 3.07E-08 5.43E-22 3.34E-07 1.32E-21 5.01E-12 8.37E-06 5.20E-12 9.931E-06
6.000E-01 3.82E-07 2.10E-15 1.15E-06 6.19E-16 4.26E-08 1.01E-21 4.29E-07 2.45E-21 6.82E-12 1.05E-05 9.61E-12 1.249E-05
5.500E-01 4.37E-07 2.97E-15 1.32E-06 8.77E-16 5.09E-08 1.42E-21 4.95E-07 3.46E-21 8.11E-12 1.19E-05 1.36E-11 1.422E-05
5.000E-01 5.06E-07 4.35E-15 1.54E-06 1.28E-15 6.18E-08 2.08E-21 5.73E-07 5.07E-21 9.82E-12 1.37E-05 1.99E-11 1.639E-05
4.500E-01 5.96E-07 6.63E-15 1.82E-06 1.96E-15 7.60E-08 3.18E-21 6.83E-07 7.72E-21 1.21E-11 1.60E-05 3.03E-11 1.921E-05
4.000E-01 7.16E-07 1.06E-14 2.20E-06 3.14E-15 9.53E-08 5.09E-21 8.21E-07 1.24E-20 1.53E-11 1.91E-05 4.85E-11 2.293E-05
3.500E-01 8.84E-07 1.81E-14 2.73E-06 5.35E-15 1.22E-07 8.68E-21 1.03E-06 2.11E-20 2.00E-11 2.33E-05 8.26E-11 2.810E-05
3.000E-01 1.13E-06 3.35E-14 3.50E-06 9.91E-15 1.61E-07 1.61E-20 1.30E-06 3.91E-20 2.73E-11 2.94E-05 1.53E-10 3.551E-05
2.500E-01 1.51E-06 6.95E-14 4.70E-06 2.06E-14 2.19E-07 3.33E-20 1.75E-06 8.09E-20 3.93E-11 3.88E-05 3.16E-10 4.699E-05
2.098E-01 2.01E-06 1.40E-13 6.25E-06 4.15E-14 2.92E-07 6.72E-20 2.33E-06 1.63E-19 5.58E-11 5.08E-05 6.36E-10 6.164E-05
1.500E-01 3.50E-06 5.36E-13 1.08E-05 1.59E-13 5.57E-07 2.57E-19 3.99E-06 6.23E-19 1.09E-10 8.55E-05 2.42E-09 1.043E-04
1.382E-01 4.01E-06 7.43E-13 1.24E-05 2.20E-13 6.56E-07 3.57E-19 4.58E-06 8.65E-19 1.28E-10 9.73E-05 3.36E-09 1.189E-04
