 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 5.56E-09 9.59E-19 3.08E-07 7.48E-17 5.16E-09 4.89E-23 3.35E-08 5.67E-23 1.02E-11 5.91E-06 1.48E-12 6.263E-06
9.000E-01 6.51E-09 1.46E-18 3.63E-07 1.14E-16 6.58E-09 7.46E-23 3.98E-08 8.64E-23 1.26E-11 6.88E-06 2.25E-12 7.301E-06
8.000E-01 7.77E-09 2.34E-18 4.38E-07 1.83E-16 8.58E-09 1.19E-22 4.85E-08 1.38E-22 1.60E-11 8.17E-06 3.60E-12 8.673E-06
7.000E-01 9.52E-09 3.99E-18 5.41E-07 3.12E-16 1.15E-08 2.04E-22 5.97E-08 2.36E-22 2.09E-11 9.92E-06 6.14E-12 1.054E-05
6.000E-01 1.21E-08 7.39E-18 6.91E-07 5.78E-16 1.60E-08 3.77E-22 7.67E-08 4.37E-22 2.84E-11 1.24E-05 1.14E-11 1.323E-05
5.500E-01 1.38E-08 1.05E-17 7.94E-07 8.18E-16 1.91E-08 5.35E-22 8.84E-08 6.19E-22 3.38E-11 1.41E-05 1.61E-11 1.505E-05
5.000E-01 1.60E-08 1.53E-17 9.25E-07 1.20E-15 2.32E-08 7.83E-22 1.02E-07 9.06E-22 4.09E-11 1.63E-05 2.35E-11 1.733E-05
4.500E-01 1.88E-08 2.33E-17 1.09E-06 1.83E-15 2.86E-08 1.19E-21 1.22E-07 1.38E-21 5.05E-11 1.90E-05 3.58E-11 2.028E-05
4.000E-01 2.26E-08 3.74E-17 1.32E-06 2.92E-15 3.58E-08 1.91E-21 1.47E-07 2.21E-21 6.39E-11 2.27E-05 5.73E-11 2.418E-05
3.500E-01 2.79E-08 6.37E-17 1.64E-06 4.99E-15 4.58E-08 3.26E-21 1.84E-07 3.77E-21 8.34E-11 2.77E-05 9.75E-11 2.957E-05
3.000E-01 3.56E-08 1.18E-16 2.10E-06 9.24E-15 6.04E-08 6.04E-21 2.33E-07 6.98E-21 1.14E-10 3.49E-05 1.80E-10 3.732E-05
2.500E-01 4.77E-08 2.44E-16 2.83E-06 1.92E-14 8.24E-08 1.25E-20 3.13E-07 1.45E-20 1.63E-10 4.60E-05 3.73E-10 4.929E-05
2.098E-01 6.34E-08 4.93E-16 3.76E-06 3.87E-14 1.10E-07 2.52E-20 4.17E-07 2.91E-20 2.32E-10 6.02E-05 7.51E-10 6.454E-05
1.500E-01 1.10E-07 1.88E-15 6.50E-06 1.48E-13 2.09E-07 9.66E-20 7.13E-07 1.11E-19 4.54E-10 1.01E-04 2.86E-09 1.089E-04
1.382E-01 1.26E-07 2.61E-15 7.43E-06 2.05E-13 2.46E-07 1.34E-19 8.18E-07 1.55E-19 5.35E-10 1.15E-04 3.96E-09 1.240E-04
1.320E-01 1.37E-07 3.14E-15 8.02E-06 2.47E-13 2.70E-07 1.61E-19 8.80E-07 1.86E-19 5.86E-10 1.24E-04 4.76E-09 1.333E-04
1.150E-01 1.73E-07 5.45E-15 1.01E-05 4.28E-13 3.54E-07 2.80E-19 1.10E-06 3.22E-19 7.73E-10 1.54E-04 8.25E-09 1.661E-04
1.000E-01 2.20E-07 9.52E-15 1.27E-05 7.49E-13 4.64E-07 4.89E-19 1.37E-06 5.63E-19 1.02E-09 1.93E-04 1.44E-08 2.081E-04
9.970E-02 2.21E-07 9.64E-15 1.27E-05 7.58E-13 4.67E-07 4.95E-19 1.38E-06 5.70E-19 1.03E-09 1.94E-04 1.46E-08 2.091E-04
8.670E-02 2.78E-07 1.68E-14 1.60E-05 1.33E-12 6.18E-07 8.65E-19 1.73E-06 9.96E-19 1.36E-09 2.42E-04 2.54E-08 2.605E-04
8.500E-02 2.88E-07 1.82E-14 1.66E-05 1.43E-12 6.42E-07 9.37E-19 1.79E-06 1.08E-18 1.41E-09 2.50E-04 2.75E-08 2.694E-04
7.500E-02 3.65E-07 3.01E-14 2.04E-05 2.37E-12 8.16E-07 1.55E-18 2.18E-06 1.78E-18 1.82E-09 3.13E-04 4.53E-08 3.364E-04
6.000E-02 5.37E-07 7.34E-14 2.94E-05 5.81E-12 1.25E-06 3.77E-18 3.17E-06 4.34E-18 2.84E-09 4.45E-04 1.10E-07 4.795E-04
5.500E-02 6.23E-07 1.04E-13 3.30E-05 8.27E-12 1.48E-06 5.34E-18 3.69E-06 6.15E-18 3.38E-09 5.14E-04 1.56E-07 5.528E-04
5.000E-02 7.41E-07 1.52E-13 4.08E-05 1.22E-11 1.76E-06 7.82E-18 4.40E-06 9.01E-18 4.09E-09 6.10E-04 2.28E-07 6.575E-04
4.500E-02 9.13E-07 2.33E-13 5.41E-05 1.87E-11 2.15E-06 1.19E-17 5.38E-06 1.37E-17 5.05E-09 7.45E-04 3.48E-07 8.076E-04
4.000E-02 1.17E-06 3.73E-13 7.22E-05 3.03E-11 2.68E-06 1.91E-17 6.80E-06 2.20E-17 6.39E-09 9.37E-04 5.56E-07 1.020E-03
3.500E-02 1.47E-06 6.37E-13 1.10E-04 5.21E-11 3.44E-06 3.26E-17 8.99E-06 3.77E-17 8.35E-09 1.16E-03 9.46E-07 1.281E-03
3.000E-02 2.07E-06 1.18E-12 1.71E-04 9.70E-11 4.58E-06 6.03E-17 1.26E-05 6.99E-17 1.14E-08 1.59E-03 1.75E-06 1.781E-03
2.750E-02 2.48E-06 1.68E-12 2.16E-04 1.37E-10 5.40E-06 8.55E-17 1.54E-05 9.91E-17 1.35E-08 1.86E-03 2.47E-06 2.100E-03
2.500E-02 2.98E-06 2.47E-12 2.74E-04 2.01E-10 6.45E-06 1.25E-16 1.93E-05 1.45E-16 1.64E-08 2.23E-03 3.61E-06 2.533E-03
