 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 3.88E-07 1.76E-16 3.64E-07 1.94E-17 9.57E-09 7.88E-23 1.55E-07 2.28E-22 1.08E-11 0.00E+00 0.00E+00 9.159E-07
9.000E-01 4.54E-07 2.69E-16 4.29E-07 2.96E-17 1.22E-08 1.20E-22 1.84E-07 3.47E-22 1.33E-11 0.00E+00 0.00E+00 1.080E-06
8.000E-01 5.43E-07 4.30E-16 5.17E-07 4.74E-17 1.59E-08 1.92E-22 2.24E-07 5.56E-22 1.68E-11 0.00E+00 0.00E+00 1.300E-06
7.000E-01 6.65E-07 7.33E-16 6.39E-07 8.08E-17 2.14E-08 3.28E-22 2.76E-07 9.48E-22 2.20E-11 0.00E+00 0.00E+00 1.601E-06
6.000E-01 8.41E-07 1.36E-15 8.16E-07 1.50E-16 2.97E-08 6.08E-22 3.55E-07 1.75E-21 2.99E-11 0.00E+00 0.00E+00 2.042E-06
5.500E-01 9.62E-07 1.92E-15 9.38E-07 2.12E-16 3.55E-08 8.61E-22 4.09E-07 2.48E-21 3.56E-11 0.00E+00 0.00E+00 2.344E-06
5.000E-01 1.11E-06 2.82E-15 1.09E-06 3.11E-16 4.31E-08 1.26E-21 4.74E-07 3.64E-21 4.31E-11 0.00E+00 0.00E+00 2.724E-06
4.500E-01 1.31E-06 4.29E-15 1.29E-06 4.73E-16 5.30E-08 1.92E-21 5.65E-07 5.54E-21 5.32E-11 0.00E+00 0.00E+00 3.224E-06
4.000E-01 1.58E-06 6.87E-15 1.56E-06 7.58E-16 6.64E-08 3.08E-21 6.79E-07 8.88E-21 6.73E-11 0.00E+00 0.00E+00 3.886E-06
3.500E-01 1.95E-06 1.17E-14 1.94E-06 1.29E-15 8.51E-08 5.25E-21 8.50E-07 1.51E-20 8.79E-11 0.00E+00 0.00E+00 4.820E-06
3.000E-01 2.49E-06 2.17E-14 2.48E-06 2.40E-15 1.12E-07 9.73E-21 1.08E-06 2.80E-20 1.20E-10 0.00E+00 0.00E+00 6.162E-06
