 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 3.25E-07 3.12E-16 3.91E-07 7.89E-17 8.30E-09 7.65E-23 9.55E-08 1.57E-22 1.46E-11 7.32E-06 1.76E-12 8.137E-06
9.000E-01 3.81E-07 4.76E-16 4.62E-07 1.20E-16 1.06E-08 1.17E-22 1.13E-07 2.40E-22 1.80E-11 8.52E-06 2.69E-12 9.489E-06
8.000E-01 4.56E-07 7.62E-16 5.56E-07 1.93E-16 1.38E-08 1.87E-22 1.38E-07 3.84E-22 2.28E-11 1.01E-05 4.30E-12 1.128E-05
7.000E-01 5.58E-07 1.30E-15 6.87E-07 3.29E-16 1.85E-08 3.19E-22 1.70E-07 6.54E-22 2.97E-11 1.23E-05 7.33E-12 1.371E-05
6.000E-01 7.06E-07 2.41E-15 8.78E-07 6.09E-16 2.57E-08 5.90E-22 2.19E-07 1.21E-21 4.05E-11 1.54E-05 1.36E-11 1.722E-05
5.500E-01 8.07E-07 3.41E-15 1.01E-06 8.63E-16 3.08E-08 8.36E-22 2.52E-07 1.72E-21 4.82E-11 1.75E-05 1.92E-11 1.959E-05
5.000E-01 9.35E-07 4.99E-15 1.17E-06 1.26E-15 3.73E-08 1.22E-21 2.92E-07 2.51E-21 5.83E-11 2.01E-05 2.81E-11 2.257E-05
4.500E-01 1.10E-06 7.60E-15 1.39E-06 1.92E-15 4.59E-08 1.87E-21 3.48E-07 3.83E-21 7.19E-11 2.35E-05 4.27E-11 2.643E-05
4.000E-01 1.32E-06 1.22E-14 1.68E-06 3.08E-15 5.76E-08 2.99E-21 4.18E-07 6.13E-21 9.11E-11 2.80E-05 6.83E-11 3.152E-05
3.500E-01 1.63E-06 2.07E-14 2.08E-06 5.26E-15 7.37E-08 5.10E-21 5.24E-07 1.05E-20 1.19E-10 3.43E-05 1.16E-10 3.858E-05
3.000E-01 2.09E-06 3.84E-14 2.67E-06 9.75E-15 9.71E-08 9.45E-21 6.65E-07 1.94E-20 1.62E-10 4.32E-05 2.15E-10 4.870E-05
2.500E-01 2.80E-06 7.96E-14 3.59E-06 2.02E-14 1.32E-07 1.96E-20 8.93E-07 4.01E-20 2.33E-10 5.70E-05 4.45E-10 6.438E-05
2.098E-01 3.72E-06 1.60E-13 4.77E-06 4.08E-14 1.76E-07 3.95E-20 1.19E-06 8.08E-20 3.31E-10 7.45E-05 8.96E-10 8.437E-05
1.500E-01 6.46E-06 6.13E-13 8.26E-06 1.56E-13 3.36E-07 1.51E-19 2.03E-06 3.09E-19 6.48E-10 1.25E-04 3.41E-09 1.425E-04
1.382E-01 7.41E-06 8.51E-13 9.45E-06 2.16E-13 3.96E-07 2.10E-19 2.33E-06 4.29E-19 7.63E-10 1.43E-04 4.73E-09 1.624E-04
1.320E-01 8.01E-06 1.02E-12 1.02E-05 2.60E-13 4.34E-07 2.52E-19 2.51E-06 5.15E-19 8.36E-10 1.53E-04 5.68E-09 1.746E-04
