 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 1.23E-07 1.91E-16 2.90E-07 5.26E-17 5.64E-09 5.35E-23 5.65E-08 9.57E-23 6.97E-12 2.04E-06 5.11E-13 2.510E-06
9.000E-01 1.44E-07 2.91E-16 3.42E-07 8.01E-17 7.20E-09 8.16E-23 6.72E-08 1.46E-22 8.61E-12 2.37E-06 7.78E-13 2.931E-06
8.000E-01 1.72E-07 4.66E-16 4.12E-07 1.28E-16 9.39E-09 1.31E-22 8.19E-08 2.34E-22 1.09E-11 2.81E-06 1.24E-12 3.489E-06
7.000E-01 2.11E-07 7.94E-16 5.09E-07 2.19E-16 1.26E-08 2.23E-22 1.01E-07 3.98E-22 1.42E-11 3.42E-06 2.12E-12 4.249E-06
6.000E-01 2.67E-07 1.47E-15 6.51E-07 4.06E-16 1.75E-08 4.13E-22 1.29E-07 7.38E-22 1.94E-11 4.28E-06 3.92E-12 5.346E-06
5.500E-01 3.06E-07 2.08E-15 7.47E-07 5.75E-16 2.09E-08 5.85E-22 1.49E-07 1.04E-21 2.30E-11 4.87E-06 5.55E-12 6.089E-06
5.000E-01 3.54E-07 3.05E-15 8.70E-07 8.41E-16 2.54E-08 8.56E-22 1.73E-07 1.53E-21 2.79E-11 5.60E-06 8.12E-12 7.022E-06
4.500E-01 4.17E-07 4.65E-15 1.03E-06 1.28E-15 3.12E-08 1.31E-21 2.06E-07 2.33E-21 3.44E-11 6.55E-06 1.24E-11 8.232E-06
4.000E-01 5.02E-07 7.44E-15 1.24E-06 2.05E-15 3.92E-08 2.09E-21 2.48E-07 3.73E-21 4.36E-11 7.80E-06 1.98E-11 9.831E-06
3.500E-01 6.19E-07 1.27E-14 1.54E-06 3.50E-15 5.02E-08 3.57E-21 3.10E-07 6.36E-21 5.69E-11 9.53E-06 3.37E-11 1.205E-05
3.000E-01 7.90E-07 2.35E-14 1.98E-06 6.49E-15 6.60E-08 6.61E-21 3.94E-07 1.18E-20 7.75E-11 1.20E-05 6.23E-11 1.524E-05
2.500E-01 1.06E-06 4.87E-14 2.66E-06 1.35E-14 9.01E-08 1.37E-20 5.29E-07 2.44E-20 1.12E-10 1.58E-05 1.29E-10 2.018E-05
2.098E-01 1.41E-06 9.81E-14 3.54E-06 2.72E-14 1.20E-07 2.76E-20 7.03E-07 4.92E-20 1.58E-10 2.07E-05 2.59E-10 2.649E-05
1.500E-01 2.45E-06 3.75E-13 6.12E-06 1.04E-13 2.29E-07 1.06E-19 1.20E-06 1.88E-19 3.10E-10 3.49E-05 9.89E-10 4.489E-05
1.382E-01 2.81E-06 5.20E-13 7.00E-06 1.44E-13 2.69E-07 1.47E-19 1.38E-06 2.61E-19 3.65E-10 3.97E-05 1.37E-09 5.116E-05
1.320E-01 3.03E-06 6.25E-13 7.55E-06 1.73E-13 2.95E-07 1.76E-19 1.49E-06 3.13E-19 4.00E-10 4.27E-05 1.65E-09 5.506E-05
1.150E-01 3.83E-06 1.08E-12 9.47E-06 3.01E-13 3.87E-07 3.06E-19 1.86E-06 5.44E-19 5.27E-10 5.32E-05 2.85E-09 6.871E-05
1.000E-01 4.88E-06 1.90E-12 1.19E-05 5.26E-13 5.08E-07 5.35E-19 2.32E-06 9.51E-19 6.97E-10 6.66E-05 4.97E-09 8.619E-05
9.970E-02 4.90E-06 1.92E-12 1.20E-05 5.32E-13 5.11E-07 5.42E-19 2.33E-06 9.62E-19 7.01E-10 6.69E-05 5.03E-09 8.662E-05
8.670E-02 6.17E-06 3.36E-12 1.51E-05 9.31E-13 6.76E-07 9.47E-19 2.92E-06 1.68E-18 9.28E-10 8.32E-05 8.79E-09 1.081E-04
8.500E-02 6.39E-06 3.63E-12 1.56E-05 1.01E-12 7.02E-07 1.02E-18 3.02E-06 1.82E-18 9.65E-10 8.61E-05 9.51E-09 1.118E-04
7.500E-02 8.12E-06 5.99E-12 1.92E-05 1.66E-12 8.93E-07 1.69E-18 3.68E-06 3.00E-18 1.24E-09 1.08E-04 1.57E-08 1.395E-04
6.000E-02 1.19E-05 1.46E-11 2.77E-05 4.08E-12 1.37E-06 4.13E-18 5.34E-06 7.33E-18 1.94E-09 1.53E-04 3.81E-08 1.996E-04
5.500E-02 1.38E-05 2.07E-11 3.10E-05 5.81E-12 1.62E-06 5.84E-18 6.23E-06 1.04E-17 2.31E-09 1.77E-04 5.39E-08 2.297E-04
5.000E-02 1.65E-05 3.04E-11 3.84E-05 8.57E-12 1.93E-06 8.55E-18 7.42E-06 1.52E-17 2.79E-09 2.10E-04 7.89E-08 2.742E-04
4.500E-02 2.03E-05 4.63E-11 5.09E-05 1.32E-11 2.36E-06 1.30E-17 9.08E-06 2.32E-17 3.45E-09 2.56E-04 1.20E-07 3.391E-04
4.000E-02 2.61E-05 7.43E-11 6.80E-05 2.13E-11 2.93E-06 2.09E-17 1.15E-05 3.72E-17 4.36E-09 3.23E-04 1.92E-07 4.312E-04
3.500E-02 3.27E-05 1.27E-10 1.03E-04 3.66E-11 3.76E-06 3.56E-17 1.52E-05 6.36E-17 5.70E-09 3.98E-04 3.27E-07 5.536E-04
3.000E-02 4.62E-05 2.36E-10 1.61E-04 6.81E-11 5.01E-06 6.60E-17 2.13E-05 1.18E-16 7.76E-09 5.47E-04 6.04E-07 7.812E-04
2.750E-02 5.51E-05 3.34E-10 2.03E-04 9.65E-11 5.91E-06 9.35E-17 2.60E-05 1.67E-16 9.24E-09 6.40E-04 8.53E-07 9.308E-04
2.500E-02 6.63E-05 4.91E-10 2.58E-04 1.41E-10 7.06E-06 1.37E-16 3.26E-05 2.45E-16 1.12E-08 7.66E-04 1.25E-06 1.132E-03
2.400E-02 7.28E-05 5.78E-10 2.86E-04 1.66E-10 7.64E-06 1.61E-16 3.56E-05 2.88E-16 1.21E-08 8.25E-04 1.47E-06 1.228E-03
2.000E-02 1.07E-04 1.21E-09 4.45E-04 3.39E-10 1.08E-05 3.35E-16 5.16E-05 5.98E-16 1.75E-08 1.16E-03 3.03E-06 1.781E-03
