 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.000E+00   9.398E-04   8.016E-04   0.000E+00   1.041E-05
   9.000E-01   1.101E-03   9.463E-04   0.000E+00   1.214E-05
   8.000E-01   1.315E-03   1.140E-03   0.000E+00   1.441E-05
   7.000E-01   1.610E-03   1.408E-03   0.000E+00   1.751E-05
   6.000E-01   2.038E-03   1.800E-03   0.000E+00   2.197E-05
   5.500E-01   2.330E-03   2.067E-03   0.000E+00   2.499E-05
   5.000E-01   2.699E-03   2.408E-03   0.000E+00   2.877E-05
   4.500E-01   3.179E-03   2.850E-03   0.000E+00   3.367E-05
   4.000E-01   3.821E-03   3.444E-03   0.000E+00   4.013E-05
   3.500E-01   4.714E-03   4.270E-03   0.000E+00   4.907E-05
   3.000E-01   6.019E-03   5.477E-03   0.000E+00   6.191E-05
   2.500E-01   8.061E-03   7.360E-03   0.000E+00   8.175E-05
   2.098E-01   1.071E-02   9.786E-03   0.000E+00   1.070E-04
   1.500E-01   1.862E-02   1.694E-02   0.000E+00   1.805E-04
   1.382E-01   2.136E-02   1.936E-02   0.000E+00   2.055E-04
   1.320E-01   2.307E-02   2.088E-02   0.000E+00   2.210E-04
   1.150E-01   2.914E-02   2.620E-02   0.000E+00   2.754E-04
   1.000E-01   3.706E-02   3.295E-02   0.000E+00   3.450E-04
   9.970E-02   3.726E-02   3.312E-02   0.000E+00   3.468E-04
   8.670E-02   4.691E-02   4.178E-02   0.000E+00   4.318E-04
   8.500E-02   4.859E-02   4.318E-02   0.000E+00   4.467E-04
   7.500E-02   6.165E-02   5.312E-02   0.000E+00   5.579E-04
   6.000E-02   9.068E-02   7.684E-02   0.000E+00   7.954E-04
   5.500E-02   1.051E-01   8.623E-02   0.000E+00   9.177E-04
   5.000E-02   1.251E-01   1.072E-01   0.000E+00   1.090E-03
   4.500E-02   1.542E-01   1.424E-01   0.000E+00   1.336E-03
   4.000E-02   1.981E-01   1.910E-01   0.000E+00   1.686E-03
   3.500E-02   2.484E-01   2.916E-01   0.000E+00   2.105E-03
   3.000E-02   3.509E-01   4.554E-01   0.000E+00   2.913E-03
   2.750E-02   4.189E-01   5.729E-01   0.000E+00   3.427E-03
   2.500E-02   5.047E-01   7.288E-01   0.000E+00   4.123E-03
   2.400E-02   5.543E-01   8.062E-01   0.000E+00   4.448E-03
   2.000E-02   8.124E-01   1.243E+00   0.000E+00   6.328E-03
   1.800E-02   1.014E+00   1.528E+00   0.000E+00   7.790E-03
   1.600E-02   1.350E+00   1.879E+00   0.000E+00   9.843E-03
   1.500E-02   1.612E+00   2.093E+00   0.000E+00   1.119E-02
   1.400E-02   1.834E+00   2.330E+00   0.000E+00   1.251E-02
   1.200E-02   2.810E+00   2.915E+00   0.000E+00   1.695E-02
   1.000E-02   4.277E+00   3.749E+00   0.000E+00   2.346E-02
   9.000E-03   5.710E+00   4.213E+00   0.000E+00   2.877E-02
   8.000E-03   7.533E+00   4.850E+00   0.000E+00   3.466E-02
   7.500E-03   8.830E+00   5.347E+00   0.000E+00   3.947E-02
   7.000E-03   1.063E+01   5.960E+00   0.000E+00   4.485E-02
   6.000E-03   1.509E+01   7.542E+00   0.000E+00   5.940E-02
   5.000E-03   2.097E+01   1.046E+01   0.000E+00   8.228E-02
   4.500E-03   2.522E+01   1.249E+01   0.000E+00   1.002E-01
   4.000E-03   2.904E+01   1.476E+01   0.000E+00   1.235E-01
   3.500E-03   3.385E+01   1.709E+01   0.000E+00   1.574E-01
   3.000E-03   3.942E+01   1.885E+01   0.000E+00   2.082E-01
   2.750E-03   4.161E+01   1.930E+01   0.000E+00   2.414E-01
   2.500E-03   4.299E+01   1.951E+01   0.000E+00   2.810E-01
   2.400E-03   4.391E+01   1.953E+01   0.000E+00   2.990E-01
   2.350E-03   4.445E+01   1.955E+01   0.000E+00   3.086E-01
   2.320E-03   4.469E+01   1.957E+01   0.000E+00   3.142E-01
   2.310E-03   4.478E+01   1.958E+01   0.000E+00   3.161E-01
   2.300E-03   4.487E+01   1.958E+01   0.000E+00   3.180E-01
   2.250E-03   4.512E+01   1.964E+01   0.000E+00   3.282E-01
   2.200E-03   4.540E+01   1.967E+01   0.000E+00   3.382E-01
   2.150E-03   4.585E+01   1.966E+01   0.000E+00   3.480E-01
   2.120E-03   4.611E+01   1.957E+01   0.000E+00   3.541E-01
   2.110E-03   4.615E+01   1.954E+01   0.000E+00   3.560E-01
   2.100E-03   4.616E+01   1.950E+01   0.000E+00   3.579E-01
   2.080E-03   4.611E+01   1.936E+01   0.000E+00   3.613E-01
   2.000E-03   4.610E+01   1.877E+01   0.000E+00   3.762E-01
   1.950E-03   4.639E+01   1.811E+01   0.000E+00   3.830E-01
   1.900E-03   4.698E+01   1.723E+01   0.000E+00   3.879E-01
   1.850E-03   4.755E+01   1.611E+01   0.000E+00   3.894E-01
   1.830E-03   4.781E+01   1.560E+01   0.000E+00   3.890E-01
   1.820E-03   4.783E+01   1.533E+01   0.000E+00   3.885E-01
   1.810E-03   4.791E+01   1.505E+01   0.000E+00   3.880E-01
   1.800E-03   4.803E+01   1.477E+01   0.000E+00   3.876E-01
   1.750E-03   4.857E+01   1.319E+01   0.000E+00   3.838E-01
   1.700E-03   4.865E+01   1.150E+01   0.000E+00   3.780E-01
   1.670E-03   4.917E+01   1.049E+01   0.000E+00   3.755E-01
   1.650E-03   4.966E+01   9.820E+00   0.000E+00   3.740E-01
   1.640E-03   4.981E+01   9.496E+00   0.000E+00   3.731E-01
   1.630E-03   4.996E+01   9.172E+00   0.000E+00   3.721E-01
   1.610E-03   5.018E+01   8.547E+00   0.000E+00   3.709E-01
   1.600E-03   5.032E+01   8.244E+00   0.000E+00   3.704E-01
   1.590E-03   5.047E+01   7.955E+00   0.000E+00   3.699E-01
   1.580E-03   5.058E+01   7.684E+00   0.000E+00   3.697E-01
   1.570E-03   5.058E+01   7.426E+00   0.000E+00   3.694E-01
   1.560E-03   5.081E+01   7.201E+00   0.000E+00   3.697E-01
   1.540E-03   5.123E+01   6.837E+00   0.000E+00   3.706E-01
   1.520E-03   5.126E+01   6.611E+00   0.000E+00   3.717E-01
   1.510E-03   5.127E+01   6.556E+00   0.000E+00   3.726E-01
   1.500E-03   5.119E+01   6.532E+00   0.000E+00   3.737E-01
   1.450E-03   5.151E+01   6.757E+00   0.000E+00   3.864E-01
   1.440E-03   5.163E+01   6.843E+00   0.000E+00   3.900E-01
   1.430E-03   5.174E+01   6.914E+00   0.000E+00   3.951E-01
   1.420E-03   5.184E+01   6.984E+00   0.000E+00   4.002E-01
   1.400E-03   5.216E+01   7.142E+00   0.000E+00   4.126E-01
