 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.800E-02 1.81E-04 1.51E-09 5.89E-04 4.33E-10 6.21E-06 2.26E-16 7.05E-05 9.49E-16 9.86E-09 6.92E-03 2.08E-05 7.790E-03
1.600E-02 2.40E-04 2.43E-09 7.32E-04 6.79E-10 7.87E-06 3.63E-16 8.99E-05 1.52E-15 1.25E-08 8.74E-03 3.31E-05 9.843E-03
1.500E-02 2.86E-04 3.16E-09 8.21E-04 8.69E-10 8.96E-06 4.71E-16 1.02E-04 1.97E-15 1.42E-08 9.93E-03 4.26E-05 1.119E-02
1.400E-02 3.26E-04 4.18E-09 9.22E-04 1.13E-09 1.03E-05 6.21E-16 1.18E-04 2.60E-15 1.64E-08 1.11E-02 5.60E-05 1.251E-02
1.200E-02 4.97E-04 7.83E-09 1.17E-03 2.02E-09 1.44E-05 1.16E-15 1.61E-04 4.82E-15 2.24E-08 1.50E-02 1.02E-04 1.695E-02
1.000E-02 7.54E-04 1.64E-08 1.55E-03 4.01E-09 2.18E-05 2.41E-15 2.36E-04 1.00E-14 3.24E-08 2.07E-02 2.10E-04 2.346E-02
9.000E-03 1.00E-03 2.53E-08 1.77E-03 5.95E-09 2.80E-05 3.70E-15 2.94E-04 1.53E-14 4.02E-08 2.54E-02 3.17E-04 2.877E-02
8.000E-03 1.33E-03 3.99E-08 2.05E-03 9.40E-09 3.74E-05 5.97E-15 3.77E-04 2.45E-14 5.12E-08 3.04E-02 4.98E-04 3.466E-02
7.500E-03 1.56E-03 5.23E-08 2.27E-03 1.21E-08 4.41E-05 7.77E-15 4.33E-04 3.17E-14 5.85E-08 3.45E-02 6.45E-04 3.947E-02
7.000E-03 1.88E-03 6.85E-08 2.55E-03 1.59E-08 5.30E-05 1.03E-14 5.01E-04 4.18E-14 6.75E-08 3.90E-02 8.39E-04 4.485E-02
6.000E-03 2.70E-03 1.24E-07 3.27E-03 2.89E-08 8.16E-05 1.94E-14 6.98E-04 7.73E-14 9.34E-08 5.11E-02 1.53E-03 5.940E-02
5.000E-03 3.86E-03 2.43E-07 4.64E-03 5.89E-08 1.43E-04 4.12E-14 1.03E-03 1.60E-13 1.38E-07 6.95E-02 3.09E-03 8.228E-02
4.500E-03 4.75E-03 3.53E-07 5.67E-03 8.79E-08 2.02E-04 6.35E-14 1.28E-03 2.42E-13 1.75E-07 8.37E-02 4.61E-03 1.002E-01
4.000E-03 5.65E-03 5.25E-07 7.08E-03 1.32E-07 2.96E-04 1.01E-13 1.64E-03 3.83E-13 2.29E-07 1.02E-01 7.19E-03 1.235E-01
3.500E-03 6.83E-03 8.31E-07 8.73E-03 2.08E-07 4.11E-04 1.62E-13 2.14E-03 6.46E-13 3.18E-07 1.27E-01 1.19E-02 1.574E-01
3.000E-03 8.43E-03 1.37E-06 1.07E-02 3.34E-07 4.34E-04 2.53E-13 2.92E-03 1.18E-12 4.92E-07 1.65E-01 2.06E-02 2.082E-01
2.750E-03 9.24E-03 1.80E-06 1.18E-02 4.31E-07 3.74E-04 3.26E-13 3.51E-03 1.64E-12 6.74E-07 1.89E-01 2.74E-02 2.414E-01
2.500E-03 9.98E-03 2.40E-06 1.29E-02 5.64E-07 2.95E-04 4.49E-13 4.31E-03 2.37E-12 1.15E-06 2.17E-01 3.67E-02 2.810E-01
2.400E-03 1.03E-02 2.74E-06 1.33E-02 6.33E-07 2.64E-04 5.21E-13 4.70E-03 2.75E-12 1.64E-06 2.29E-01 4.11E-02 2.990E-01
2.350E-03 1.06E-02 2.93E-06 1.36E-02 6.72E-07 2.50E-04 5.64E-13 4.92E-03 2.97E-12 1.95E-06 2.36E-01 4.35E-02 3.086E-01
