 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 1.28E-07 1.70E-16 4.70E-07 7.33E-17 9.71E-09 8.27E-23 1.48E-07 2.25E-22 5.66E-12 2.08E-06 4.55E-13 2.832E-06
9.000E-01 1.50E-07 2.59E-16 5.55E-07 1.12E-16 1.24E-08 1.26E-22 1.76E-07 3.43E-22 6.99E-12 2.42E-06 6.92E-13 3.311E-06
8.000E-01 1.79E-07 4.15E-16 6.68E-07 1.79E-16 1.62E-08 2.02E-22 2.14E-07 5.49E-22 8.84E-12 2.87E-06 1.11E-12 3.948E-06
7.000E-01 2.19E-07 7.08E-16 8.26E-07 3.05E-16 2.17E-08 3.45E-22 2.63E-07 9.37E-22 1.15E-11 3.48E-06 1.89E-12 4.815E-06
6.000E-01 2.78E-07 1.31E-15 1.06E-06 5.65E-16 3.01E-08 6.38E-22 3.39E-07 1.73E-21 1.57E-11 4.37E-06 3.49E-12 6.069E-06
5.500E-01 3.17E-07 1.86E-15 1.21E-06 8.01E-16 3.60E-08 9.04E-22 3.90E-07 2.46E-21 1.87E-11 4.96E-06 4.94E-12 6.921E-06
5.000E-01 3.68E-07 2.72E-15 1.41E-06 1.17E-15 4.37E-08 1.32E-21 4.53E-07 3.60E-21 2.26E-11 5.71E-06 7.23E-12 7.988E-06
4.500E-01 4.33E-07 4.14E-15 1.67E-06 1.79E-15 5.37E-08 2.02E-21 5.40E-07 5.48E-21 2.79E-11 6.68E-06 1.10E-11 9.377E-06
4.000E-01 5.21E-07 6.63E-15 2.02E-06 2.86E-15 6.73E-08 3.23E-21 6.48E-07 8.77E-21 3.54E-11 7.96E-06 1.76E-11 1.121E-05
3.500E-01 6.43E-07 1.13E-14 2.50E-06 4.88E-15 8.63E-08 5.51E-21 8.12E-07 1.50E-20 4.62E-11 9.72E-06 3.00E-11 1.377E-05
3.000E-01 8.21E-07 2.09E-14 3.21E-06 9.05E-15 1.14E-07 1.02E-20 1.03E-06 2.77E-20 6.29E-11 1.23E-05 5.55E-11 1.743E-05
2.500E-01 1.10E-06 4.34E-14 4.32E-06 1.88E-14 1.55E-07 2.12E-20 1.38E-06 5.74E-20 9.05E-11 1.62E-05 1.15E-10 2.312E-05
2.098E-01 1.46E-06 8.74E-14 5.74E-06 3.78E-14 2.06E-07 4.27E-20 1.84E-06 1.16E-19 1.29E-10 2.11E-05 2.31E-10 3.039E-05
1.500E-01 2.54E-06 3.34E-13 9.93E-06 1.45E-13 3.93E-07 1.63E-19 3.15E-06 4.42E-19 2.51E-10 3.56E-05 8.80E-10 5.161E-05
1.382E-01 2.92E-06 4.64E-13 1.14E-05 2.01E-13 4.63E-07 2.27E-19 3.61E-06 6.14E-19 2.96E-10 4.05E-05 1.22E-09 5.885E-05
1.320E-01 3.15E-06 5.57E-13 1.22E-05 2.41E-13 5.07E-07 2.72E-19 3.89E-06 7.37E-19 3.25E-10 4.35E-05 1.46E-09 6.334E-05
1.150E-01 3.98E-06 9.66E-13 1.54E-05 4.19E-13 6.65E-07 4.73E-19 4.85E-06 1.28E-18 4.28E-10 5.42E-05 2.54E-09 7.910E-05
1.000E-01 5.06E-06 1.69E-12 1.93E-05 7.33E-13 8.74E-07 8.27E-19 6.06E-06 2.24E-18 5.66E-10 6.79E-05 4.43E-09 9.923E-05
9.970E-02 5.09E-06 1.71E-12 1.94E-05 7.42E-13 8.79E-07 8.37E-19 6.09E-06 2.26E-18 5.69E-10 6.82E-05 4.48E-09 9.973E-05
8.670E-02 6.41E-06 2.99E-12 2.45E-05 1.30E-12 1.16E-06 1.46E-18 7.65E-06 3.95E-18 7.53E-10 8.49E-05 7.82E-09 1.246E-04
8.500E-02 6.64E-06 3.24E-12 2.53E-05 1.40E-12 1.21E-06 1.58E-18 7.90E-06 4.28E-18 7.83E-10 8.78E-05 8.46E-09 1.289E-04
7.500E-02 8.43E-06 5.34E-12 3.11E-05 2.32E-12 1.54E-06 2.61E-18 9.64E-06 7.06E-18 1.01E-09 1.10E-04 1.39E-08 1.605E-04
6.000E-02 1.24E-05 1.30E-11 4.49E-05 5.69E-12 2.36E-06 6.38E-18 1.40E-05 1.72E-17 1.57E-09 1.56E-04 3.39E-08 2.299E-04
5.500E-02 1.44E-05 1.85E-11 5.03E-05 8.09E-12 2.78E-06 9.03E-18 1.63E-05 2.44E-17 1.87E-09 1.80E-04 4.79E-08 2.642E-04
5.000E-02 1.71E-05 2.71E-11 6.23E-05 1.19E-11 3.32E-06 1.32E-17 1.94E-05 3.58E-17 2.26E-09 2.14E-04 7.02E-08 3.161E-04
4.500E-02 2.11E-05 4.13E-11 8.26E-05 1.83E-11 4.05E-06 2.02E-17 2.37E-05 5.46E-17 2.80E-09 2.61E-04 1.07E-07 3.928E-04
4.000E-02 2.71E-05 6.62E-11 1.10E-04 2.96E-11 5.05E-06 3.23E-17 3.00E-05 8.75E-17 3.54E-09 3.29E-04 1.71E-07 5.013E-04
3.500E-02 3.40E-05 1.13E-10 1.68E-04 5.10E-11 6.47E-06 5.51E-17 3.97E-05 1.50E-16 4.62E-09 4.06E-04 2.91E-07 6.538E-04
3.000E-02 4.79E-05 2.10E-10 2.62E-04 9.49E-11 8.62E-06 1.02E-16 5.57E-05 2.77E-16 6.30E-09 5.57E-04 5.37E-07 9.312E-04
2.750E-02 5.72E-05 2.98E-10 3.29E-04 1.34E-10 1.02E-05 1.45E-16 6.81E-05 3.93E-16 7.49E-09 6.51E-04 7.59E-07 1.117E-03
2.500E-02 6.88E-05 4.38E-10 4.19E-04 1.97E-10 1.21E-05 2.12E-16 8.53E-05 5.76E-16 9.07E-09 7.80E-04 1.11E-06 1.366E-03
2.400E-02 7.56E-05 5.15E-10 4.64E-04 2.31E-10 1.31E-05 2.49E-16 9.31E-05 6.78E-16 9.84E-09 8.39E-04 1.30E-06 1.486E-03
2.000E-02 1.11E-04 1.08E-09 7.22E-04 4.72E-10 1.86E-05 5.18E-16 1.35E-04 1.41E-15 1.42E-08 1.18E-03 2.69E-06 2.172E-03
1.800E-02 1.38E-04 1.65E-09 8.96E-04 7.08E-10 2.28E-05 7.90E-16 1.68E-04 2.14E-15 1.75E-08 1.45E-03 4.10E-06 2.682E-03
1.600E-02 1.83E-04 2.67E-09 1.11E-03 1.11E-09 2.89E-05 1.27E-15 2.14E-04 3.43E-15 2.22E-08 1.83E-03 6.54E-06 3.382E-03
1.500E-02 2.18E-04 3.46E-09 1.25E-03 1.42E-09 3.29E-05 1.64E-15 2.42E-04 4.45E-15 2.53E-08 2.08E-03 8.42E-06 3.837E-03
1.400E-02 2.48E-04 4.57E-09 1.40E-03 1.85E-09 3.80E-05 2.17E-15 2.80E-04 5.86E-15 2.91E-08 2.33E-03 1.11E-05 4.306E-03
1.200E-02 3.78E-04 8.57E-09 1.79E-03 3.31E-09 5.29E-05 4.03E-15 3.84E-04 1.09E-14 3.96E-08 3.15E-03 2.02E-05 5.771E-03
1.000E-02 5.74E-04 1.80E-08 2.36E-03 6.56E-09 8.00E-05 8.43E-15 5.60E-04 2.26E-14 5.73E-08 4.34E-03 4.15E-05 7.955E-03
9.000E-03 7.64E-04 2.78E-08 2.69E-03 9.74E-09 1.03E-04 1.29E-14 6.99E-04 3.45E-14 7.09E-08 5.31E-03 6.27E-05 9.635E-03
8.000E-03 1.01E-03 4.37E-08 3.13E-03 1.54E-08 1.38E-04 2.08E-14 8.97E-04 5.52E-14 9.02E-08 6.36E-03 9.85E-05 1.163E-02
7.500E-03 1.19E-03 5.73E-08 3.46E-03 1.98E-08 1.62E-04 2.71E-14 1.03E-03 7.15E-14 1.03E-07 7.23E-03 1.27E-04 1.319E-02
7.000E-03 1.43E-03 7.50E-08 3.88E-03 2.60E-08 1.95E-04 3.60E-14 1.19E-03 9.43E-14 1.19E-07 8.17E-03 1.66E-04 1.503E-02
6.000E-03 2.06E-03 1.36E-07 4.97E-03 4.74E-08 3.00E-04 6.77E-14 1.66E-03 1.75E-13 1.63E-07 1.07E-02 3.01E-04 1.998E-02
5.000E-03 2.93E-03 2.67E-07 7.07E-03 9.64E-08 5.26E-04 1.44E-13 2.45E-03 3.60E-13 2.39E-07 1.45E-02 6.11E-04 2.810E-02
