 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.000E+00   1.263E-03   7.580E-04   0.000E+00   1.007E-05
   9.000E-01   1.480E-03   8.949E-04   0.000E+00   1.174E-05
   8.000E-01   1.767E-03   1.078E-03   0.000E+00   1.394E-05
   7.000E-01   2.164E-03   1.332E-03   0.000E+00   1.694E-05
   6.000E-01   2.739E-03   1.702E-03   0.000E+00   2.126E-05
   5.500E-01   3.131E-03   1.955E-03   0.000E+00   2.419E-05
   5.000E-01   3.628E-03   2.277E-03   0.000E+00   2.785E-05
   4.500E-01   4.273E-03   2.695E-03   0.000E+00   3.259E-05
   4.000E-01   5.136E-03   3.257E-03   0.000E+00   3.886E-05
   3.500E-01   6.336E-03   4.038E-03   0.000E+00   4.754E-05
   3.000E-01   8.091E-03   5.179E-03   0.000E+00   5.999E-05
   2.500E-01   1.084E-02   6.960E-03   0.000E+00   7.924E-05
   2.098E-01   1.440E-02   9.254E-03   0.000E+00   1.038E-04
   1.500E-01   2.503E-02   1.601E-02   0.000E+00   1.751E-04
   1.382E-01   2.871E-02   1.831E-02   0.000E+00   1.994E-04
   1.320E-01   3.101E-02   1.974E-02   0.000E+00   2.145E-04
   1.150E-01   3.917E-02   2.478E-02   0.000E+00   2.673E-04
   1.000E-01   4.982E-02   3.116E-02   0.000E+00   3.350E-04
   9.970E-02   5.008E-02   3.132E-02   0.000E+00   3.367E-04
   8.670E-02   6.306E-02   3.951E-02   0.000E+00   4.194E-04
   8.500E-02   6.531E-02   4.083E-02   0.000E+00   4.338E-04
   7.500E-02   8.288E-02   5.024E-02   0.000E+00   5.419E-04
   6.000E-02   1.219E-01   7.266E-02   0.000E+00   7.730E-04
   5.500E-02   1.412E-01   8.154E-02   0.000E+00   8.917E-04
   5.000E-02   1.681E-01   1.014E-01   0.000E+00   1.060E-03
   4.500E-02   2.072E-01   1.347E-01   0.000E+00   1.300E-03
   4.000E-02   2.663E-01   1.806E-01   0.000E+00   1.641E-03
   3.500E-02   3.339E-01   2.757E-01   0.000E+00   2.052E-03
   3.000E-02   4.717E-01   4.307E-01   0.000E+00   2.844E-03
   2.750E-02   5.631E-01   5.418E-01   0.000E+00   3.349E-03
   2.500E-02   6.784E-01   6.892E-01   0.000E+00   4.031E-03
   2.400E-02   7.452E-01   7.623E-01   0.000E+00   4.352E-03
   2.000E-02   1.092E+00   1.175E+00   0.000E+00   6.200E-03
   1.800E-02   1.363E+00   1.445E+00   0.000E+00   7.634E-03
   1.600E-02   1.815E+00   1.777E+00   0.000E+00   9.650E-03
   1.500E-02   2.166E+00   1.979E+00   0.000E+00   1.098E-02
   1.400E-02   2.465E+00   2.204E+00   0.000E+00   1.228E-02
   1.200E-02   3.777E+00   2.756E+00   0.000E+00   1.665E-02
   1.000E-02   5.749E+00   3.545E+00   0.000E+00   2.307E-02
   9.000E-03   7.676E+00   3.984E+00   0.000E+00   2.831E-02
   8.000E-03   1.013E+01   4.587E+00   0.000E+00   3.417E-02
   7.500E-03   1.187E+01   5.057E+00   0.000E+00   3.892E-02
   7.000E-03   1.429E+01   5.636E+00   0.000E+00   4.428E-02
   6.000E-03   2.029E+01   7.133E+00   0.000E+00   5.874E-02
   5.000E-03   2.819E+01   9.893E+00   0.000E+00   8.142E-02
   4.500E-03   3.391E+01   1.181E+01   0.000E+00   9.916E-02
   4.000E-03   3.905E+01   1.396E+01   0.000E+00   1.221E-01
   3.500E-03   4.551E+01   1.616E+01   0.000E+00   1.552E-01
   3.000E-03   5.301E+01   1.783E+01   0.000E+00   2.044E-01
   2.750E-03   5.596E+01   1.826E+01   0.000E+00   2.362E-01
   2.500E-03   5.782E+01   1.845E+01   0.000E+00   2.740E-01
   2.400E-03   5.906E+01   1.847E+01   0.000E+00   2.912E-01
   2.350E-03   5.979E+01   1.849E+01   0.000E+00   3.005E-01
   2.320E-03   6.011E+01   1.851E+01   0.000E+00   3.059E-01
   2.310E-03   6.022E+01   1.852E+01   0.000E+00   3.077E-01
   2.300E-03   6.035E+01   1.852E+01   0.000E+00   3.095E-01
   2.250E-03   6.069E+01   1.857E+01   0.000E+00   3.193E-01
   2.200E-03   6.106E+01   1.861E+01   0.000E+00   3.289E-01
   2.150E-03   6.167E+01   1.860E+01   0.000E+00   3.384E-01
   2.120E-03   6.202E+01   1.851E+01   0.000E+00   3.443E-01
   2.110E-03   6.208E+01   1.848E+01   0.000E+00   3.462E-01
   2.100E-03   6.209E+01   1.844E+01   0.000E+00   3.481E-01
   2.080E-03   6.202E+01   1.832E+01   0.000E+00   3.514E-01
   2.000E-03   6.201E+01   1.775E+01   0.000E+00   3.658E-01
   1.950E-03   6.241E+01   1.713E+01   0.000E+00   3.725E-01
   1.900E-03   6.320E+01   1.630E+01   0.000E+00   3.774E-01
   1.850E-03   6.397E+01   1.524E+01   0.000E+00   3.790E-01
   1.830E-03   6.431E+01   1.476E+01   0.000E+00   3.788E-01
   1.820E-03   6.434E+01   1.450E+01   0.000E+00   3.784E-01
   1.810E-03   6.445E+01   1.423E+01   0.000E+00   3.780E-01
   1.800E-03   6.461E+01   1.397E+01   0.000E+00   3.776E-01
   1.750E-03   6.533E+01   1.248E+01   0.000E+00   3.740E-01
   1.700E-03   6.545E+01   1.088E+01   0.000E+00   3.684E-01
   1.670E-03   6.615E+01   9.920E+00   0.000E+00   3.659E-01
   1.650E-03   6.681E+01   9.289E+00   0.000E+00   3.645E-01
   1.640E-03   6.701E+01   8.982E+00   0.000E+00   3.635E-01
   1.630E-03   6.722E+01   8.676E+00   0.000E+00   3.625E-01
   1.610E-03   6.751E+01   8.085E+00   0.000E+00   3.612E-01
   1.600E-03   6.771E+01   7.799E+00   0.000E+00   3.607E-01
   1.590E-03   6.791E+01   7.526E+00   0.000E+00   3.601E-01
   1.580E-03   6.806E+01   7.269E+00   0.000E+00   3.599E-01
   1.570E-03   6.806E+01   7.025E+00   0.000E+00   3.595E-01
   1.560E-03   6.836E+01   6.813E+00   0.000E+00   3.596E-01
   1.540E-03   6.894E+01   6.468E+00   0.000E+00   3.604E-01
   1.520E-03   6.897E+01   6.255E+00   0.000E+00   3.613E-01
   1.510E-03   6.898E+01   6.203E+00   0.000E+00   3.620E-01
   1.500E-03   6.888E+01   6.180E+00   0.000E+00   3.630E-01
   1.450E-03   6.932E+01   6.394E+00   0.000E+00   3.747E-01
   1.440E-03   6.948E+01   6.475E+00   0.000E+00   3.781E-01
   1.430E-03   6.963E+01   6.543E+00   0.000E+00   3.828E-01
   1.420E-03   6.976E+01   6.609E+00   0.000E+00   3.876E-01
   1.400E-03   7.019E+01   6.759E+00   0.000E+00   3.993E-01
   1.380E-03   7.052E+01   6.900E+00   0.000E+00   4.126E-01
   1.370E-03   7.067E+01   6.979E+00   0.000E+00   4.199E-01
   1.360E-03   7.093E+01   7.058E+00   0.000E+00   4.275E-01
   1.350E-03   7.125E+01   7.156E+00   0.000E+00   4.352E-01
   1.340E-03   7.154E+01   7.253E+00   0.000E+00   4.424E-01
   1.330E-03   7.169E+01   7.374E+00   0.000E+00   4.494E-01
   1.320E-03   7.195E+01   7.500E+00   0.000E+00   4.565E-01
   1.310E-03   7.195E+01   7.647E+00   0.000E+00   4.631E-01
   1.290E-03   7.173E+01   7.998E+00   0.000E+00   4.764E-01
   1.280E-03   7.171E+01   8.184E+00   0.000E+00   4.832E-01
   1.270E-03   7.187E+01   8.341E+00   0.000E+00   4.901E-01
   1.260E-03   7.199E+01   8.573E+00   0.000E+00   4.965E-01
   1.250E-03   7.201E+01   8.878E+00   0.000E+00   5.024E-01
   1.220E-03   7.313E+01   1.069E+01   0.000E+00   5.219E-01
   1.210E-03   7.317E+01   1.188E+01   0.000E+00   5.282E-01
   1.200E-03   7.318E+01   1.327E+01   0.000E+00   5.348E-01
   1.190E-03   7.369E+01   1.472E+01   0.000E+00   5.419E-01
   1.180E-03   7.394E+01   1.607E+01   0.000E+00   5.476E-01
   1.170E-03   7.412E+01   1.724E+01   0.000E+00   5.532E-01
   1.160E-03   7.437E+01   1.819E+01   0.000E+00   5.583E-01
   1.150E-03   7.431E+01   1.893E+01   0.000E+00   5.632E-01
   1.140E-03   7.418E+01   1.952E+01   0.000E+00   5.679E-01
   1.130E-03   7.417E+01   1.998E+01   0.000E+00   5.728E-01
   1.120E-03   7.418E+01   2.038E+01   0.000E+00   5.770E-01
   1.110E-03   7.413E+01   2.075E+01   0.000E+00   5.810E-01
   1.090E-03   7.430E+01   2.139E+01   0.000E+00   5.886E-01
   1.050E-03   7.537E+01   2.200E+01   0.000E+00   6.018E-01
   1.000E-03   7.714E+01   2.144E+01   0.000E+00   5.949E-01
   9.800E-04   7.796E+01   2.048E+01   0.000E+00   5.915E-01
   9.600E-04   7.865E+01   1.900E+01   0.000E+00   5.834E-01
   9.500E-04   7.926E+01   1.811E+01   0.000E+00   5.759E-01
   9.400E-04   7.926E+01   1.718E+01   0.000E+00   5.651E-01
   9.200E-04   7.965E+01   1.535E+01   0.000E+00   5.352E-01
   8.900E-04   8.082E+01   1.262E+01   0.000E+00   4.847E-01
   8.700E-04   8.053E+01   1.111E+01   0.000E+00   4.571E-01
   8.600E-04   8.108E+01   1.045E+01   0.000E+00   4.476E-01
   8.500E-04   8.107E+01   9.762E+00   0.000E+00   4.382E-01
   8.400E-04   8.170E+01   9.031E+00   0.000E+00   4.286E-01
   8.200E-04   8.129E+01   7.535E+00   0.000E+00   4.043E-01
   8.000E-04   8.173E+01   6.293E+00   0.000E+00   3.851E-01
   7.900E-04   8.224E+01   5.847E+00   0.000E+00   3.849E-01
   7.800E-04   8.197E+01   5.485E+00   0.000E+00   3.844E-01
   7.700E-04   8.172E+01   5.172E+00   0.000E+00   3.874E-01
   7.600E-04   8.152E+01   4.899E+00   0.000E+00   3.939E-01
   7.500E-04   8.133E+01   4.651E+00   0.000E+00   4.016E-01
   7.300E-04   8.190E+01   4.276E+00   0.000E+00   4.242E-01
   7.200E-04   8.167E+01   4.174E+00   0.000E+00   4.345E-01
   7.100E-04   8.159E+01   4.120E+00   0.000E+00   4.460E-01
   7.000E-04   8.217E+01   4.055E+00   0.000E+00   4.576E-01
   6.900E-04   8.171E+01   3.933E+00   0.000E+00   4.670E-01
   6.800E-04   8.016E+01   3.763E+00   0.000E+00   4.754E-01
   6.600E-04   8.122E+01   3.461E+00   0.000E+00   4.996E-01
   6.400E-04   8.375E+01   3.064E+00   0.000E+00   5.235E-01
   6.300E-04   8.498E+01   2.898E+00   0.000E+00   5.338E-01
   6.200E-04   8.486E+01   2.886E+00   0.000E+00   5.433E-01
   6.100E-04   8.549E+01   2.891E+00   0.000E+00   5.540E-01
   5.900E-04   8.815E+01   2.422E+00   0.000E+00   5.752E-01
   5.500E-04   8.265E+01   1.903E+00   0.000E+00   6.104E-01
   5.300E-04   8.391E+01   1.752E+00   0.000E+00   6.347E-01
   5.200E-04   8.411E+01   1.676E+00   0.000E+00   6.463E-01
   5.100E-04   8.512E+01   1.598E+00   0.000E+00   6.585E-01
   5.000E-04   8.610E+01   1.526E+00   0.000E+00   6.702E-01
   4.800E-04   8.726E+01   1.418E+00   0.000E+00   6.930E-01
   4.500E-04   8.993E+01   1.305E+00   0.000E+00   7.253E-01
   4.000E-04   9.463E+01   1.235E+00   0.000E+00   7.774E-01
   3.800E-04   9.765E+01   1.262E+00   0.000E+00   7.966E-01
   3.600E-04   1.013E+02   1.334E+00   0.000E+00   8.143E-01
   3.400E-04   1.068E+02   1.468E+00   0.000E+00   8.304E-01
   3.300E-04   1.071E+02   1.564E+00   0.000E+00   8.374E-01
   3.200E-04   1.092E+02   1.682E+00   0.000E+00   8.448E-01
   3.150E-04   1.110E+02   1.753E+00   0.000E+00   8.486E-01
   3.100E-04   1.127E+02   1.832E+00   0.000E+00   8.522E-01
   3.080E-04   1.133E+02   1.866E+00   0.000E+00   8.536E-01
   3.050E-04   1.141E+02   1.919E+00   0.000E+00   8.557E-01
   3.000E-04   1.157E+02   2.017E+00   0.000E+00   8.593E-01
   2.900E-04   1.196E+02   2.246E+00   0.000E+00   8.664E-01
   2.800E-04   1.224E+02   2.529E+00   0.000E+00   8.731E-01
   2.600E-04   1.321E+02   3.314E+00   0.000E+00   8.888E-01
   2.500E-04   1.388E+02   3.856E+00   0.000E+00   8.978E-01
   2.200E-04   1.669E+02   6.491E+00   0.000E+00   9.318E-01
