 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 2.39E-07 2.82E-16 5.02E-07 6.98E-17 1.07E-08 8.39E-23 1.29E-07 1.81E-22 8.57E-12 0.00E+00 0.00E+00 8.809E-07
9.000E-01 2.80E-07 4.30E-16 5.93E-07 1.06E-16 1.36E-08 1.28E-22 1.53E-07 2.76E-22 1.06E-11 0.00E+00 0.00E+00 1.040E-06
8.000E-01 3.34E-07 6.89E-16 7.15E-07 1.71E-16 1.78E-08 2.05E-22 1.87E-07 4.42E-22 1.34E-11 0.00E+00 0.00E+00 1.253E-06
7.000E-01 4.09E-07 1.18E-15 8.83E-07 2.91E-16 2.38E-08 3.50E-22 2.30E-07 7.54E-22 1.75E-11 0.00E+00 0.00E+00 1.546E-06
6.000E-01 5.18E-07 2.18E-15 1.13E-06 5.39E-16 3.31E-08 6.48E-22 2.95E-07 1.40E-21 2.38E-11 0.00E+00 0.00E+00 1.975E-06
5.500E-01 5.92E-07 3.08E-15 1.30E-06 7.63E-16 3.96E-08 9.17E-22 3.41E-07 1.98E-21 2.83E-11 0.00E+00 0.00E+00 2.268E-06
5.000E-01 6.86E-07 4.51E-15 1.51E-06 1.12E-15 4.80E-08 1.34E-21 3.95E-07 2.90E-21 3.43E-11 0.00E+00 0.00E+00 2.638E-06
4.500E-01 8.08E-07 6.87E-15 1.79E-06 1.70E-15 5.91E-08 2.05E-21 4.71E-07 4.41E-21 4.23E-11 0.00E+00 0.00E+00 3.125E-06
4.000E-01 9.71E-07 1.10E-14 2.16E-06 2.73E-15 7.40E-08 3.28E-21 5.66E-07 7.06E-21 5.36E-11 0.00E+00 0.00E+00 3.770E-06
3.500E-01 1.20E-06 1.88E-14 2.68E-06 4.65E-15 9.48E-08 5.59E-21 7.08E-07 1.20E-20 7.00E-11 0.00E+00 0.00E+00 4.678E-06
3.000E-01 1.53E-06 3.48E-14 3.43E-06 8.62E-15 1.25E-07 1.04E-20 8.99E-07 2.23E-20 9.52E-11 0.00E+00 0.00E+00 5.988E-06
2.500E-01 2.05E-06 7.20E-14 4.61E-06 1.79E-14 1.70E-07 2.15E-20 1.21E-06 4.62E-20 1.37E-10 0.00E+00 0.00E+00 8.042E-06
2.098E-01 2.73E-06 1.45E-13 6.13E-06 3.61E-14 2.27E-07 4.33E-20 1.61E-06 9.32E-20 1.95E-10 0.00E+00 0.00E+00 1.069E-05
1.500E-01 4.74E-06 5.55E-13 1.06E-05 1.38E-13 4.32E-07 1.66E-19 2.75E-06 3.56E-19 3.81E-10 0.00E+00 0.00E+00 1.854E-05
1.382E-01 5.44E-06 7.70E-13 1.21E-05 1.92E-13 5.10E-07 2.30E-19 3.15E-06 4.94E-19 4.49E-10 0.00E+00 0.00E+00 2.124E-05
1.320E-01 5.87E-06 9.25E-13 1.31E-05 2.30E-13 5.58E-07 2.76E-19 3.39E-06 5.93E-19 4.92E-10 0.00E+00 0.00E+00 2.291E-05
1.150E-01 7.42E-06 1.60E-12 1.64E-05 3.99E-13 7.31E-07 4.80E-19 4.24E-06 1.03E-18 6.48E-10 0.00E+00 0.00E+00 2.881E-05
1.000E-01 9.44E-06 2.81E-12 2.07E-05 6.99E-13 9.61E-07 8.39E-19 5.29E-06 1.80E-18 8.57E-10 0.00E+00 0.00E+00 3.635E-05
9.970E-02 9.49E-06 2.84E-12 2.08E-05 7.07E-13 9.67E-07 8.49E-19 5.32E-06 1.82E-18 8.62E-10 0.00E+00 0.00E+00 3.653E-05
8.670E-02 1.20E-05 4.96E-12 2.62E-05 1.24E-12 1.28E-06 1.48E-18 6.67E-06 3.18E-18 1.14E-09 0.00E+00 0.00E+00 4.609E-05
8.500E-02 1.24E-05 5.37E-12 2.71E-05 1.34E-12 1.33E-06 1.61E-18 6.89E-06 3.45E-18 1.19E-09 0.00E+00 0.00E+00 4.767E-05
7.500E-02 1.57E-05 8.87E-12 3.33E-05 2.21E-12 1.69E-06 2.65E-18 8.41E-06 5.68E-18 1.52E-09 0.00E+00 0.00E+00 5.909E-05
6.000E-02 2.31E-05 2.16E-11 4.80E-05 5.43E-12 2.59E-06 6.47E-18 1.22E-05 1.39E-17 2.38E-09 0.00E+00 0.00E+00 8.595E-05
5.500E-02 2.68E-05 3.07E-11 5.38E-05 7.71E-12 3.06E-06 9.16E-18 1.42E-05 1.97E-17 2.83E-09 0.00E+00 0.00E+00 9.788E-05
5.000E-02 3.19E-05 4.49E-11 6.66E-05 1.14E-11 3.65E-06 1.34E-17 1.69E-05 2.88E-17 3.43E-09 0.00E+00 0.00E+00 1.191E-04
4.500E-02 3.93E-05 6.85E-11 8.82E-05 1.75E-11 4.45E-06 2.04E-17 2.07E-05 4.39E-17 4.24E-09 0.00E+00 0.00E+00 1.527E-04
4.000E-02 5.05E-05 1.10E-10 1.18E-04 2.82E-11 5.55E-06 3.27E-17 2.62E-05 7.05E-17 5.36E-09 0.00E+00 0.00E+00 2.001E-04
3.500E-02 6.33E-05 1.88E-10 1.79E-04 4.86E-11 7.12E-06 5.59E-17 3.46E-05 1.20E-16 7.00E-09 0.00E+00 0.00E+00 2.843E-04
3.000E-02 8.93E-05 3.49E-10 2.80E-04 9.05E-11 9.48E-06 1.04E-16 4.86E-05 2.23E-16 9.54E-09 0.00E+00 0.00E+00 4.270E-04
2.750E-02 1.07E-04 4.95E-10 3.52E-04 1.28E-10 1.12E-05 1.47E-16 5.94E-05 3.17E-16 1.14E-08 0.00E+00 0.00E+00 5.291E-04
2.500E-02 1.28E-04 7.26E-10 4.48E-04 1.88E-10 1.33E-05 2.15E-16 7.44E-05 4.64E-16 1.37E-08 0.00E+00 0.00E+00 6.641E-04
2.400E-02 1.41E-04 8.55E-10 4.96E-04 2.21E-10 1.44E-05 2.53E-16 8.12E-05 5.46E-16 1.49E-08 0.00E+00 0.00E+00 7.326E-04
2.000E-02 2.06E-04 1.79E-09 7.72E-04 4.50E-10 2.04E-05 5.25E-16 1.18E-04 1.13E-15 2.15E-08 0.00E+00 0.00E+00 1.116E-03
1.800E-02 2.57E-04 2.74E-09 9.58E-04 6.75E-10 2.51E-05 8.01E-16 1.46E-04 1.73E-15 2.66E-08 0.00E+00 0.00E+00 1.386E-03
1.600E-02 3.41E-04 4.43E-09 1.19E-03 1.06E-09 3.18E-05 1.29E-15 1.87E-04 2.76E-15 3.37E-08 0.00E+00 0.00E+00 1.751E-03
1.500E-02 4.06E-04 5.75E-09 1.34E-03 1.36E-09 3.62E-05 1.67E-15 2.12E-04 3.58E-15 3.84E-08 0.00E+00 0.00E+00 1.991E-03
1.400E-02 4.62E-04 7.59E-09 1.50E-03 1.76E-09 4.18E-05 2.20E-15 2.44E-04 4.72E-15 4.41E-08 0.00E+00 0.00E+00 2.248E-03
1.200E-02 7.06E-04 1.42E-08 1.91E-03 3.16E-09 5.82E-05 4.09E-15 3.35E-04 8.75E-15 6.02E-08 0.00E+00 0.00E+00 3.011E-03
1.000E-02 1.07E-03 2.99E-08 2.52E-03 6.25E-09 8.80E-05 8.55E-15 4.89E-04 1.82E-14 8.71E-08 0.00E+00 0.00E+00 4.172E-03
9.000E-03 1.42E-03 4.61E-08 2.88E-03 9.28E-09 1.13E-04 1.31E-14 6.10E-04 2.77E-14 1.08E-07 0.00E+00 0.00E+00 5.026E-03
8.000E-03 1.89E-03 7.26E-08 3.34E-03 1.47E-08 1.51E-04 2.11E-14 7.83E-04 4.45E-14 1.37E-07 0.00E+00 0.00E+00 6.167E-03
7.500E-03 2.21E-03 9.51E-08 3.70E-03 1.89E-08 1.78E-04 2.75E-14 8.98E-04 5.76E-14 1.57E-07 0.00E+00 0.00E+00 6.984E-03
7.000E-03 2.67E-03 1.25E-07 4.15E-03 2.47E-08 2.14E-04 3.65E-14 1.04E-03 7.59E-14 1.81E-07 0.00E+00 0.00E+00 8.072E-03
6.000E-03 3.84E-03 2.26E-07 5.32E-03 4.52E-08 3.30E-04 6.87E-14 1.45E-03 1.41E-13 2.50E-07 0.00E+00 0.00E+00 1.093E-02
5.000E-03 5.47E-03 4.43E-07 7.56E-03 9.19E-08 5.78E-04 1.46E-13 2.13E-03 2.90E-13 3.68E-07 0.00E+00 0.00E+00 1.574E-02
4.500E-03 6.74E-03 6.42E-07 9.23E-03 1.37E-07 8.18E-04 2.25E-13 2.66E-03 4.40E-13 4.64E-07 0.00E+00 0.00E+00 1.945E-02
4.000E-03 8.02E-03 9.55E-07 1.15E-02 2.06E-07 1.20E-03 3.58E-13 3.40E-03 6.97E-13 6.05E-07 0.00E+00 0.00E+00 2.415E-02
3.500E-03 9.69E-03 1.51E-06 1.42E-02 3.24E-07 1.66E-03 5.73E-13 4.44E-03 1.17E-12 8.33E-07 0.00E+00 0.00E+00 3.001E-02
3.000E-03 1.20E-02 2.50E-06 1.75E-02 5.21E-07 1.76E-03 8.97E-13 6.07E-03 2.14E-12 1.27E-06 0.00E+00 0.00E+00 3.728E-02
