 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 2.71E-07 2.77E-16 3.51E-07 6.52E-17 6.86E-09 5.97E-23 6.05E-08 9.41E-23 6.64E-12 9.38E-06 2.10E-12 1.007E-05
9.000E-01 3.17E-07 4.22E-16 4.14E-07 9.94E-17 8.75E-09 9.10E-23 7.20E-08 1.43E-22 8.19E-12 1.09E-05 3.20E-12 1.174E-05
8.000E-01 3.79E-07 6.75E-16 4.99E-07 1.59E-16 1.14E-08 1.46E-22 8.77E-08 2.30E-22 1.04E-11 1.30E-05 5.12E-12 1.394E-05
7.000E-01 4.64E-07 1.15E-15 6.17E-07 2.72E-16 1.53E-08 2.49E-22 1.08E-07 3.92E-22 1.35E-11 1.57E-05 8.72E-12 1.694E-05
6.000E-01 5.87E-07 2.13E-15 7.88E-07 5.03E-16 2.12E-08 4.61E-22 1.39E-07 7.25E-22 1.84E-11 1.97E-05 1.61E-11 2.126E-05
5.500E-01 6.71E-07 3.02E-15 9.05E-07 7.13E-16 2.54E-08 6.52E-22 1.60E-07 1.03E-21 2.19E-11 2.24E-05 2.28E-11 2.419E-05
5.000E-01 7.78E-07 4.42E-15 1.05E-06 1.04E-15 3.08E-08 9.55E-22 1.85E-07 1.50E-21 2.65E-11 2.58E-05 3.34E-11 2.785E-05
4.500E-01 9.16E-07 6.73E-15 1.25E-06 1.59E-15 3.80E-08 1.46E-21 2.21E-07 2.29E-21 3.28E-11 3.02E-05 5.08E-11 3.259E-05
4.000E-01 1.10E-06 1.08E-14 1.51E-06 2.55E-15 4.76E-08 2.33E-21 2.65E-07 3.67E-21 4.15E-11 3.59E-05 8.13E-11 3.886E-05
3.500E-01 1.36E-06 1.84E-14 1.87E-06 4.35E-15 6.09E-08 3.98E-21 3.32E-07 6.25E-21 5.42E-11 4.39E-05 1.39E-10 4.754E-05
3.000E-01 1.74E-06 3.40E-14 2.40E-06 8.05E-15 8.02E-08 7.37E-21 4.22E-07 1.16E-20 7.37E-11 5.53E-05 2.56E-10 5.999E-05
2.500E-01 2.33E-06 7.06E-14 3.22E-06 1.67E-14 1.09E-07 1.53E-20 5.66E-07 2.40E-20 1.06E-10 7.30E-05 5.30E-10 7.924E-05
2.098E-01 3.09E-06 1.42E-13 4.28E-06 3.37E-14 1.46E-07 3.08E-20 7.53E-07 4.84E-20 1.51E-10 9.55E-05 1.07E-09 1.038E-04
1.500E-01 5.38E-06 5.44E-13 7.41E-06 1.29E-13 2.78E-07 1.18E-19 1.29E-06 1.85E-19 2.95E-10 1.61E-04 4.06E-09 1.751E-04
