 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 5.13E-08 7.03E-17 7.53E-07 1.88E-16 1.48E-09 1.28E-23 8.92E-08 1.39E-22 5.23E-11 3.66E-06 3.00E-13 4.551E-06
9.000E-01 6.01E-08 1.07E-16 8.89E-07 2.86E-16 1.88E-09 1.96E-23 1.06E-07 2.11E-22 6.46E-11 4.26E-06 4.57E-13 5.315E-06
8.000E-01 7.18E-08 1.72E-16 1.07E-06 4.58E-16 2.46E-09 3.14E-23 1.29E-07 3.38E-22 8.18E-11 5.05E-06 7.32E-13 6.328E-06
7.000E-01 8.80E-08 2.93E-16 1.32E-06 7.81E-16 3.29E-09 5.35E-23 1.59E-07 5.77E-22 1.07E-10 6.14E-06 1.25E-12 7.709E-06
6.000E-01 1.11E-07 5.42E-16 1.69E-06 1.45E-15 4.57E-09 9.91E-23 2.04E-07 1.07E-21 1.45E-10 7.69E-06 2.31E-12 9.701E-06
5.500E-01 1.27E-07 7.67E-16 1.94E-06 2.05E-15 5.47E-09 1.40E-22 2.36E-07 1.51E-21 1.73E-10 8.74E-06 3.26E-12 1.105E-05
5.000E-01 1.48E-07 1.12E-15 2.26E-06 3.00E-15 6.64E-09 2.06E-22 2.73E-07 2.22E-21 2.09E-10 1.01E-05 4.78E-12 1.275E-05
4.500E-01 1.74E-07 1.71E-15 2.68E-06 4.57E-15 8.17E-09 3.13E-22 3.25E-07 3.38E-21 2.58E-10 1.18E-05 7.27E-12 1.495E-05
4.000E-01 2.09E-07 2.74E-15 3.23E-06 7.33E-15 1.02E-08 5.02E-22 3.91E-07 5.41E-21 3.27E-10 1.40E-05 1.16E-11 1.785E-05
3.500E-01 2.58E-07 4.67E-15 4.01E-06 1.25E-14 1.31E-08 8.56E-22 4.90E-07 9.22E-21 4.27E-10 1.71E-05 1.98E-11 2.189E-05
3.000E-01 3.29E-07 8.65E-15 5.14E-06 2.32E-14 1.73E-08 1.59E-21 6.21E-07 1.71E-20 5.82E-10 2.16E-05 3.66E-11 2.769E-05
2.500E-01 4.41E-07 1.79E-14 6.91E-06 4.80E-14 2.36E-08 3.29E-21 8.35E-07 3.54E-20 8.37E-10 2.85E-05 7.58E-11 3.667E-05
2.098E-01 5.86E-07 3.61E-14 9.19E-06 9.69E-14 3.13E-08 6.63E-21 1.11E-06 7.13E-20 1.19E-09 3.72E-05 1.53E-10 4.814E-05
1.500E-01 1.02E-06 1.38E-13 1.59E-05 3.71E-13 5.98E-08 2.54E-20 1.90E-06 2.73E-19 2.33E-09 6.26E-05 5.81E-10 8.153E-05
1.382E-01 1.17E-06 1.92E-13 1.82E-05 5.14E-13 7.05E-08 3.52E-20 2.18E-06 3.78E-19 2.74E-09 7.13E-05 8.05E-10 9.289E-05
1.320E-01 1.26E-06 2.30E-13 1.96E-05 6.18E-13 7.71E-08 4.23E-20 2.35E-06 4.54E-19 3.00E-09 7.66E-05 9.67E-10 9.994E-05
1.150E-01 1.60E-06 4.00E-13 2.46E-05 1.07E-12 1.01E-07 7.34E-20 2.93E-06 7.88E-19 3.96E-09 9.54E-05 1.68E-09 1.247E-04
