 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 2.52E-07 3.23E-16 4.46E-07 1.04E-16 5.16E-09 4.29E-23 4.03E-08 5.98E-23 4.97E-12 4.39E-06 9.32E-13 5.131E-06
9.000E-01 2.95E-07 4.93E-16 5.27E-07 1.59E-16 6.59E-09 6.55E-23 4.79E-08 9.11E-23 6.14E-12 5.11E-06 1.42E-12 5.987E-06
8.000E-01 3.53E-07 7.89E-16 6.34E-07 2.54E-16 8.59E-09 1.05E-22 5.83E-08 1.46E-22 7.77E-12 6.06E-06 2.27E-12 7.119E-06
7.000E-01 4.32E-07 1.35E-15 7.84E-07 4.33E-16 1.15E-08 1.79E-22 7.17E-08 2.49E-22 1.01E-11 7.36E-06 3.87E-12 8.663E-06
6.000E-01 5.47E-07 2.49E-15 1.00E-06 8.03E-16 1.60E-08 3.31E-22 9.22E-08 4.61E-22 1.38E-11 9.23E-06 7.16E-12 1.089E-05
5.500E-01 6.25E-07 3.53E-15 1.15E-06 1.14E-15 1.92E-08 4.69E-22 1.06E-07 6.53E-22 1.64E-11 1.05E-05 1.01E-11 1.239E-05
5.000E-01 7.25E-07 5.17E-15 1.34E-06 1.67E-15 2.32E-08 6.87E-22 1.23E-07 9.55E-22 1.99E-11 1.21E-05 1.48E-11 1.428E-05
4.500E-01 8.54E-07 7.87E-15 1.59E-06 2.54E-15 2.86E-08 1.05E-21 1.47E-07 1.46E-21 2.45E-11 1.41E-05 2.26E-11 1.673E-05
4.000E-01 1.03E-06 1.26E-14 1.92E-06 4.07E-15 3.58E-08 1.68E-21 1.77E-07 2.33E-21 3.11E-11 1.68E-05 3.61E-11 1.997E-05
3.500E-01 1.27E-06 2.15E-14 2.38E-06 6.94E-15 4.59E-08 2.86E-21 2.21E-07 3.98E-21 4.06E-11 2.05E-05 6.15E-11 2.445E-05
3.000E-01 1.62E-06 3.98E-14 3.05E-06 1.29E-14 6.04E-08 5.30E-21 2.81E-07 7.36E-21 5.52E-11 2.59E-05 1.14E-10 3.090E-05
2.500E-01 2.17E-06 8.25E-14 4.10E-06 2.66E-14 8.25E-08 1.10E-20 3.77E-07 1.53E-20 7.95E-11 3.42E-05 2.35E-10 4.088E-05
