 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 2.53E-08 1.21E-17 3.47E-07 1.13E-16 8.02E-09 7.60E-23 7.13E-08 1.21E-22 3.17E-12 7.22E-06 1.81E-12 7.672E-06
9.000E-01 2.96E-08 1.85E-17 4.10E-07 1.73E-16 1.02E-08 1.16E-22 8.48E-08 1.84E-22 3.91E-12 8.41E-06 2.75E-12 8.944E-06
8.000E-01 3.54E-08 2.96E-17 4.94E-07 2.76E-16 1.33E-08 1.86E-22 1.03E-07 2.95E-22 4.95E-12 9.98E-06 4.41E-12 1.063E-05
7.000E-01 4.33E-08 5.06E-17 6.10E-07 4.71E-16 1.79E-08 3.17E-22 1.27E-07 5.03E-22 6.46E-12 1.21E-05 7.51E-12 1.292E-05
6.000E-01 5.49E-08 9.36E-17 7.80E-07 8.73E-16 2.48E-08 5.87E-22 1.63E-07 9.31E-22 8.79E-12 1.52E-05 1.39E-11 1.621E-05
5.500E-01 6.27E-08 1.33E-16 8.96E-07 1.24E-15 2.97E-08 8.31E-22 1.88E-07 1.32E-21 1.05E-11 1.73E-05 1.97E-11 1.844E-05
5.000E-01 7.27E-08 1.94E-16 1.04E-06 1.81E-15 3.61E-08 1.22E-21 2.18E-07 1.93E-21 1.27E-11 1.99E-05 2.87E-11 2.123E-05
4.500E-01 8.56E-08 2.96E-16 1.24E-06 2.76E-15 4.44E-08 1.85E-21 2.60E-07 2.94E-21 1.56E-11 2.32E-05 4.38E-11 2.485E-05
4.000E-01 1.03E-07 4.73E-16 1.49E-06 4.42E-15 5.56E-08 2.97E-21 3.13E-07 4.71E-21 1.98E-11 2.77E-05 7.00E-11 2.963E-05
3.500E-01 1.27E-07 8.07E-16 1.85E-06 7.54E-15 7.13E-08 5.07E-21 3.91E-07 8.03E-21 2.58E-11 3.38E-05 1.19E-10 3.624E-05
3.000E-01 1.62E-07 1.49E-15 2.37E-06 1.40E-14 9.38E-08 9.39E-21 4.97E-07 1.49E-20 3.52E-11 4.26E-05 2.21E-10 4.573E-05
2.500E-01 2.17E-07 3.10E-15 3.19E-06 2.90E-14 1.28E-07 1.95E-20 6.67E-07 3.08E-20 5.07E-11 5.62E-05 4.56E-10 6.041E-05
2.098E-01 2.89E-07 6.24E-15 4.24E-06 5.85E-14 1.70E-07 3.92E-20 8.87E-07 6.21E-20 7.19E-11 7.35E-05 9.18E-10 7.911E-05
1.500E-01 5.02E-07 2.39E-14 7.34E-06 2.24E-13 3.25E-07 1.50E-19 1.52E-06 2.37E-19 1.41E-10 1.24E-04 3.50E-09 1.335E-04
1.382E-01 5.76E-07 3.31E-14 8.39E-06 3.10E-13 3.83E-07 2.08E-19 1.74E-06 3.29E-19 1.66E-10 1.41E-04 4.85E-09 1.520E-04
1.320E-01 6.22E-07 3.98E-14 9.05E-06 3.73E-13 4.19E-07 2.50E-19 1.87E-06 3.95E-19 1.82E-10 1.51E-04 5.82E-09 1.634E-04
1.150E-01 7.86E-07 6.90E-14 1.14E-05 6.47E-13 5.50E-07 4.35E-19 2.34E-06 6.86E-19 2.39E-10 1.89E-04 1.01E-08 2.036E-04
1.000E-01 1.00E-06 1.21E-13 1.43E-05 1.13E-12 7.22E-07 7.60E-19 2.92E-06 1.20E-18 3.17E-10 2.36E-04 1.76E-08 2.551E-04
9.970E-02 1.00E-06 1.22E-13 1.44E-05 1.15E-12 7.26E-07 7.69E-19 2.94E-06 1.21E-18 3.19E-10 2.37E-04 1.78E-08 2.564E-04
8.670E-02 1.27E-06 2.14E-13 1.81E-05 2.00E-12 9.60E-07 1.35E-18 3.69E-06 2.12E-18 4.21E-10 2.95E-04 3.11E-08 3.194E-04
8.500E-02 1.31E-06 2.31E-13 1.87E-05 2.17E-12 9.98E-07 1.46E-18 3.81E-06 2.30E-18 4.38E-10 3.05E-04 3.37E-08 3.304E-04
7.500E-02 1.66E-06 3.81E-13 2.30E-05 3.58E-12 1.27E-06 2.40E-18 4.65E-06 3.79E-18 5.63E-10 3.82E-04 5.54E-08 4.124E-04
6.000E-02 2.45E-06 9.30E-13 3.32E-05 8.79E-12 1.95E-06 5.86E-18 6.74E-06 9.25E-18 8.80E-10 5.44E-04 1.35E-07 5.880E-04
5.500E-02 2.84E-06 1.32E-12 3.72E-05 1.25E-11 2.30E-06 8.30E-18 7.86E-06 1.31E-17 1.05E-09 6.28E-04 1.91E-07 6.781E-04
5.000E-02 3.37E-06 1.93E-12 4.61E-05 1.85E-11 2.74E-06 1.22E-17 9.36E-06 1.92E-17 1.27E-09 7.44E-04 2.79E-07 8.063E-04
4.500E-02 4.16E-06 2.95E-12 6.10E-05 2.83E-11 3.35E-06 1.85E-17 1.14E-05 2.93E-17 1.56E-09 9.10E-04 4.25E-07 9.900E-04
4.000E-02 5.34E-06 4.73E-12 8.15E-05 4.58E-11 4.17E-06 2.97E-17 1.45E-05 4.69E-17 1.98E-09 1.14E-03 6.79E-07 1.251E-03
3.500E-02 6.70E-06 8.07E-12 1.24E-04 7.88E-11 5.35E-06 5.06E-17 1.91E-05 8.02E-17 2.59E-09 1.41E-03 1.16E-06 1.569E-03
3.000E-02 9.45E-06 1.50E-11 1.93E-04 1.47E-10 7.12E-06 9.38E-17 2.69E-05 1.49E-16 3.52E-09 1.94E-03 2.14E-06 2.179E-03
2.750E-02 1.13E-05 2.13E-11 2.43E-04 2.08E-10 8.40E-06 1.33E-16 3.28E-05 2.11E-16 4.20E-09 2.27E-03 3.02E-06 2.569E-03
2.500E-02 1.36E-05 3.12E-11 3.10E-04 3.04E-10 1.00E-05 1.95E-16 4.11E-05 3.09E-16 5.08E-09 2.72E-03 4.42E-06 3.098E-03
2.400E-02 1.49E-05 3.68E-11 3.43E-04 3.58E-10 1.09E-05 2.29E-16 4.49E-05 3.64E-16 5.51E-09 2.93E-03 5.19E-06 3.344E-03
2.000E-02 2.18E-05 7.68E-11 5.34E-04 7.30E-10 1.54E-05 4.76E-16 6.50E-05 7.54E-16 7.95E-09 4.13E-03 1.07E-05 4.774E-03
