 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.000E+00   3.861E-04   7.356E-04   0.000E+00   3.401E-06
   9.000E-01   4.523E-04   8.685E-04   0.000E+00   3.976E-06
   8.000E-01   5.402E-04   1.046E-03   0.000E+00   4.738E-06
   7.000E-01   6.616E-04   1.293E-03   0.000E+00   5.778E-06
   6.000E-01   8.373E-04   1.652E-03   0.000E+00   7.281E-06
   5.500E-01   9.571E-04   1.897E-03   0.000E+00   8.300E-06
   5.000E-01   1.109E-03   2.210E-03   0.000E+00   9.580E-06
   4.500E-01   1.306E-03   2.616E-03   0.000E+00   1.124E-05
   4.000E-01   1.570E-03   3.160E-03   0.000E+00   1.344E-05
   3.500E-01   1.937E-03   3.919E-03   0.000E+00   1.650E-05
   3.000E-01   2.473E-03   5.027E-03   0.000E+00   2.089E-05
   2.500E-01   3.312E-03   6.755E-03   0.000E+00   2.771E-05
   2.098E-01   4.400E-03   8.981E-03   0.000E+00   3.642E-05
   1.500E-01   7.650E-03   1.554E-02   0.000E+00   6.183E-05
   1.382E-01   8.774E-03   1.777E-02   0.000E+00   7.049E-05
   1.320E-01   9.478E-03   1.916E-02   0.000E+00   7.586E-05
   1.150E-01   1.197E-02   2.405E-02   0.000E+00   9.471E-05
   1.000E-01   1.523E-02   3.024E-02   0.000E+00   1.188E-04
   9.970E-02   1.531E-02   3.039E-02   0.000E+00   1.194E-04
   8.670E-02   1.927E-02   3.834E-02   0.000E+00   1.492E-04
   8.500E-02   1.996E-02   3.963E-02   0.000E+00   1.543E-04
   7.500E-02   2.533E-02   4.875E-02   0.000E+00   1.920E-04
   6.000E-02   3.726E-02   7.052E-02   0.000E+00   2.749E-04
   5.500E-02   4.317E-02   7.914E-02   0.000E+00   3.156E-04
   5.000E-02   5.139E-02   9.838E-02   0.000E+00   3.780E-04
   4.500E-02   6.334E-02   1.307E-01   0.000E+00   4.705E-04
   4.000E-02   8.139E-02   1.753E-01   0.000E+00   6.011E-04
   3.500E-02   1.021E-01   2.676E-01   0.000E+00   7.871E-04
   3.000E-02   1.442E-01   4.180E-01   0.000E+00   1.125E-03
   2.750E-02   1.721E-01   5.258E-01   0.000E+00   1.351E-03
   2.500E-02   2.074E-01   6.689E-01   0.000E+00   1.654E-03
   2.400E-02   2.278E-01   7.398E-01   0.000E+00   1.800E-03
   2.000E-02   3.338E-01   1.140E+00   0.000E+00   2.638E-03
   1.800E-02   4.166E-01   1.402E+00   0.000E+00   3.257E-03
   1.600E-02   5.548E-01   1.724E+00   0.000E+00   4.104E-03
   1.500E-02   6.622E-01   1.921E+00   0.000E+00   4.654E-03
   1.400E-02   7.536E-01   2.139E+00   0.000E+00   5.219E-03
   1.200E-02   1.155E+00   2.675E+00   0.000E+00   6.978E-03
   1.000E-02   1.757E+00   3.441E+00   0.000E+00   9.589E-03
   9.000E-03   2.346E+00   3.867E+00   0.000E+00   1.158E-02
   8.000E-03   3.095E+00   4.452E+00   0.000E+00   1.394E-02
   7.500E-03   3.628E+00   4.908E+00   0.000E+00   1.578E-02
   7.000E-03   4.368E+00   5.470E+00   0.000E+00   1.796E-02
   6.000E-03   6.202E+00   6.923E+00   0.000E+00   2.378E-02
   5.000E-03   8.618E+00   9.602E+00   0.000E+00   3.332E-02
   4.500E-03   1.037E+01   1.147E+01   0.000E+00   4.069E-02
   4.000E-03   1.194E+01   1.355E+01   0.000E+00   5.027E-02
   3.500E-03   1.391E+01   1.569E+01   0.000E+00   6.335E-02
   3.000E-03   1.621E+01   1.731E+01   0.000E+00   8.202E-02
   2.750E-03   1.711E+01   1.772E+01   0.000E+00   9.364E-02
   2.500E-03   1.768E+01   1.791E+01   0.000E+00   1.074E-01
   2.400E-03   1.806E+01   1.793E+01   0.000E+00   1.136E-01
   2.350E-03   1.828E+01   1.795E+01   0.000E+00   1.170E-01
   2.320E-03   1.838E+01   1.797E+01   0.000E+00   1.191E-01
   2.310E-03   1.842E+01   1.798E+01   0.000E+00   1.197E-01
   2.300E-03   1.846E+01   1.798E+01   0.000E+00   1.204E-01
   2.250E-03   1.856E+01   1.803E+01   0.000E+00   1.241E-01
   2.200E-03   1.867E+01   1.807E+01   0.000E+00   1.279E-01
   2.150E-03   1.886E+01   1.806E+01   0.000E+00   1.318E-01
   2.120E-03   1.897E+01   1.797E+01   0.000E+00   1.342E-01
   2.110E-03   1.899E+01   1.794E+01   0.000E+00   1.350E-01
   2.100E-03   1.899E+01   1.790E+01   0.000E+00   1.357E-01
   2.080E-03   1.897E+01   1.778E+01   0.000E+00   1.371E-01
   2.000E-03   1.897E+01   1.724E+01   0.000E+00   1.431E-01
   1.950E-03   1.909E+01   1.663E+01   0.000E+00   1.462E-01
