 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 2.81E-07 1.23E-16 3.25E-07 3.01E-17 4.55E-09 4.05E-23 8.32E-08 1.32E-22 8.05E-12 8.57E-06 1.97E-12 9.266E-06
9.000E-01 3.29E-07 1.88E-16 3.84E-07 4.59E-17 5.80E-09 6.18E-23 9.90E-08 2.02E-22 9.94E-12 9.98E-06 2.99E-12 1.080E-05
8.000E-01 3.93E-07 3.01E-16 4.63E-07 7.35E-17 7.57E-09 9.89E-23 1.21E-07 3.23E-22 1.26E-11 1.18E-05 4.79E-12 1.283E-05
7.000E-01 4.81E-07 5.14E-16 5.72E-07 1.25E-16 1.01E-08 1.69E-22 1.48E-07 5.51E-22 1.64E-11 1.44E-05 8.16E-12 1.560E-05
6.000E-01 6.09E-07 9.51E-16 7.31E-07 2.32E-16 1.41E-08 3.13E-22 1.91E-07 1.02E-21 2.24E-11 1.80E-05 1.51E-11 1.958E-05
5.500E-01 6.96E-07 1.35E-15 8.39E-07 3.29E-16 1.69E-08 4.43E-22 2.20E-07 1.45E-21 2.66E-11 2.05E-05 2.14E-11 2.227E-05
5.000E-01 8.07E-07 1.97E-15 9.78E-07 4.82E-16 2.05E-08 6.48E-22 2.55E-07 2.12E-21 3.22E-11 2.36E-05 3.13E-11 2.564E-05
4.500E-01 9.50E-07 3.00E-15 1.16E-06 7.34E-16 2.52E-08 9.88E-22 3.04E-07 3.22E-21 3.98E-11 2.76E-05 4.76E-11 3.001E-05
4.000E-01 1.14E-06 4.81E-15 1.40E-06 1.18E-15 3.16E-08 1.58E-21 3.65E-07 5.16E-21 5.03E-11 3.28E-05 7.61E-11 3.578E-05
3.500E-01 1.41E-06 8.20E-15 1.73E-06 2.01E-15 4.04E-08 2.70E-21 4.57E-07 8.81E-21 6.57E-11 4.01E-05 1.30E-10 4.377E-05
3.000E-01 1.80E-06 1.52E-14 2.22E-06 3.72E-15 5.32E-08 5.00E-21 5.80E-07 1.63E-20 8.95E-11 5.06E-05 2.40E-10 5.524E-05
2.500E-01 2.41E-06 3.15E-14 2.99E-06 7.71E-15 7.26E-08 1.04E-20 7.79E-07 3.38E-20 1.29E-10 6.67E-05 4.96E-10 7.298E-05
2.098E-01 3.20E-06 6.34E-14 3.97E-06 1.55E-14 9.66E-08 2.09E-20 1.04E-06 6.81E-20 1.83E-10 8.73E-05 9.98E-10 9.560E-05
1.500E-01 5.57E-06 2.42E-13 6.87E-06 5.95E-14 1.84E-07 8.00E-20 1.77E-06 2.60E-19 3.58E-10 1.47E-04 3.80E-09 1.614E-04
1.382E-01 6.39E-06 3.36E-13 7.86E-06 8.26E-14 2.17E-07 1.11E-19 2.03E-06 3.61E-19 4.22E-10 1.67E-04 5.27E-09 1.837E-04
1.320E-01 6.91E-06 4.04E-13 8.48E-06 9.92E-14 2.38E-07 1.33E-19 2.19E-06 4.34E-19 4.62E-10 1.80E-04 6.33E-09 1.976E-04
1.150E-01 8.73E-06 7.01E-13 1.06E-05 1.72E-13 3.12E-07 2.32E-19 2.73E-06 7.53E-19 6.09E-10 2.24E-04 1.10E-08 2.463E-04
1.000E-01 1.11E-05 1.23E-12 1.34E-05 3.01E-13 4.09E-07 4.05E-19 3.41E-06 1.32E-18 8.06E-10 2.80E-04 1.91E-08 3.087E-04
9.970E-02 1.12E-05 1.24E-12 1.34E-05 3.05E-13 4.12E-07 4.10E-19 3.43E-06 1.33E-18 8.10E-10 2.82E-04 1.94E-08 3.102E-04
8.670E-02 1.41E-05 2.17E-12 1.70E-05 5.33E-13 5.44E-07 7.17E-19 4.30E-06 2.33E-18 1.07E-09 3.51E-04 3.38E-08 3.865E-04
8.500E-02 1.46E-05 2.35E-12 1.75E-05 5.77E-13 5.66E-07 7.76E-19 4.44E-06 2.52E-18 1.11E-09 3.63E-04 3.66E-08 3.998E-04
7.500E-02 1.85E-05 3.87E-12 2.16E-05 9.53E-13 7.19E-07 1.28E-18 5.42E-06 4.16E-18 1.43E-09 4.53E-04 6.03E-08 4.993E-04
6.000E-02 2.72E-05 9.45E-12 3.11E-05 2.34E-12 1.11E-06 3.12E-18 7.87E-06 1.01E-17 2.24E-09 6.45E-04 1.46E-07 7.124E-04
5.500E-02 3.15E-05 1.34E-11 3.48E-05 3.33E-12 1.30E-06 4.42E-18 9.18E-06 1.44E-17 2.66E-09 7.45E-04 2.07E-07 8.219E-04
5.000E-02 3.75E-05 1.96E-11 4.32E-05 4.91E-12 1.55E-06 6.48E-18 1.09E-05 2.11E-17 3.22E-09 8.83E-04 3.03E-07 9.767E-04
4.500E-02 4.62E-05 3.00E-11 5.72E-05 7.53E-12 1.90E-06 9.87E-18 1.34E-05 3.21E-17 3.98E-09 1.08E-03 4.62E-07 1.198E-03
4.000E-02 5.93E-05 4.80E-11 7.63E-05 1.22E-11 2.36E-06 1.58E-17 1.69E-05 5.15E-17 5.04E-09 1.36E-03 7.39E-07 1.513E-03
3.500E-02 7.44E-05 8.20E-11 1.16E-04 2.10E-11 3.03E-06 2.70E-17 2.23E-05 8.80E-17 6.58E-09 1.68E-03 1.26E-06 1.893E-03
3.000E-02 1.05E-04 1.52E-10 1.81E-04 3.90E-11 4.04E-06 5.00E-17 3.14E-05 1.63E-16 8.97E-09 2.30E-03 2.32E-06 2.624E-03
2.750E-02 1.25E-04 2.16E-10 2.28E-04 5.53E-11 4.76E-06 7.08E-17 3.83E-05 2.32E-16 1.07E-08 2.69E-03 3.28E-06 3.091E-03
2.500E-02 1.51E-04 3.17E-10 2.90E-04 8.09E-11 5.69E-06 1.04E-16 4.80E-05 3.39E-16 1.29E-08 3.22E-03 4.80E-06 3.722E-03
2.400E-02 1.66E-04 3.74E-10 3.21E-04 9.51E-11 6.15E-06 1.22E-16 5.24E-05 3.99E-16 1.40E-08 3.47E-03 5.64E-06 4.018E-03
2.000E-02 2.42E-04 7.80E-10 5.00E-04 1.94E-10 8.71E-06 2.54E-16 7.59E-05 8.27E-16 2.02E-08 4.89E-03 1.16E-05 5.727E-03
1.800E-02 3.01E-04 1.20E-09 6.21E-04 2.91E-10 1.07E-05 3.87E-16 9.44E-05 1.26E-15 2.50E-08 6.01E-03 1.77E-05 7.053E-03
1.600E-02 4.00E-04 1.93E-09 7.72E-04 4.57E-10 1.36E-05 6.21E-16 1.20E-04 2.02E-15 3.17E-08 7.58E-03 2.83E-05 8.920E-03
1.500E-02 4.77E-04 2.51E-09 8.66E-04 5.84E-10 1.54E-05 8.05E-16 1.36E-04 2.62E-15 3.61E-08 8.62E-03 3.64E-05 1.015E-02
1.400E-02 5.43E-04 3.32E-09 9.72E-04 7.60E-10 1.78E-05 1.06E-15 1.58E-04 3.45E-15 4.14E-08 9.62E-03 4.79E-05 1.135E-02
1.200E-02 8.29E-04 6.22E-09 1.24E-03 1.36E-09 2.48E-05 1.98E-15 2.16E-04 6.40E-15 5.66E-08 1.30E-02 8.74E-05 1.541E-02
1.000E-02 1.26E-03 1.31E-08 1.63E-03 2.69E-09 3.75E-05 4.13E-15 3.15E-04 1.33E-14 8.19E-08 1.80E-02 1.80E-04 2.138E-02
9.000E-03 1.67E-03 2.01E-08 1.86E-03 4.00E-09 4.82E-05 6.33E-15 3.94E-04 2.03E-14 1.02E-07 2.20E-02 2.71E-04 2.625E-02
8.000E-03 2.22E-03 3.17E-08 2.16E-03 6.32E-09 6.44E-05 1.02E-14 5.05E-04 3.25E-14 1.29E-07 2.63E-02 4.26E-04 3.172E-02
7.500E-03 2.60E-03 4.15E-08 2.39E-03 8.15E-09 7.60E-05 1.33E-14 5.79E-04 4.21E-14 1.48E-07 2.99E-02 5.51E-04 3.614E-02
7.000E-03 3.14E-03 5.44E-08 2.68E-03 1.07E-08 9.12E-05 1.76E-14 6.71E-04 5.55E-14 1.70E-07 3.38E-02 7.18E-04 4.115E-02
6.000E-03 4.51E-03 9.87E-08 3.44E-03 1.95E-08 1.41E-04 3.32E-14 9.34E-04 1.03E-13 2.35E-07 4.43E-02 1.30E-03 5.465E-02
5.000E-03 6.43E-03 1.93E-07 4.89E-03 3.96E-08 2.46E-04 7.05E-14 1.38E-03 2.12E-13 3.47E-07 6.02E-02 2.64E-03 7.583E-02
4.500E-03 7.91E-03 2.80E-07 5.98E-03 5.91E-08 3.49E-04 1.09E-13 1.72E-03 3.21E-13 4.37E-07 7.25E-02 3.94E-03 9.239E-02
