 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 2.01E-07 2.36E-16 5.37E-07 9.90E-17 7.36E-09 5.75E-23 1.25E-07 1.74E-22 1.64E-11 2.95E-06 5.81E-13 3.820E-06
9.000E-01 2.36E-07 3.60E-16 6.34E-07 1.51E-16 9.38E-09 8.76E-23 1.49E-07 2.66E-22 2.02E-11 3.43E-06 8.86E-13 4.463E-06
8.000E-01 2.82E-07 5.76E-16 7.64E-07 2.42E-16 1.22E-08 1.40E-22 1.81E-07 4.26E-22 2.56E-11 4.08E-06 1.42E-12 5.316E-06
7.000E-01 3.45E-07 9.82E-16 9.44E-07 4.12E-16 1.64E-08 2.39E-22 2.23E-07 7.26E-22 3.35E-11 4.95E-06 2.41E-12 6.478E-06
6.000E-01 4.37E-07 1.82E-15 1.21E-06 7.64E-16 2.28E-08 4.44E-22 2.86E-07 1.34E-21 4.56E-11 6.20E-06 4.47E-12 8.156E-06
5.500E-01 5.00E-07 2.58E-15 1.39E-06 1.08E-15 2.73E-08 6.28E-22 3.30E-07 1.90E-21 5.42E-11 7.05E-06 6.32E-12 9.294E-06
5.000E-01 5.79E-07 3.77E-15 1.61E-06 1.58E-15 3.31E-08 9.20E-22 3.83E-07 2.79E-21 6.56E-11 8.11E-06 9.25E-12 1.072E-05
4.500E-01 6.82E-07 5.75E-15 1.91E-06 2.41E-15 4.07E-08 1.40E-21 4.56E-07 4.25E-21 8.10E-11 9.49E-06 1.41E-11 1.258E-05
4.000E-01 8.20E-07 9.20E-15 2.31E-06 3.87E-15 5.10E-08 2.25E-21 5.48E-07 6.80E-21 1.03E-10 1.13E-05 2.25E-11 1.503E-05
3.500E-01 1.01E-06 1.57E-14 2.86E-06 6.60E-15 6.54E-08 3.83E-21 6.86E-07 1.16E-20 1.34E-10 1.38E-05 3.84E-11 1.843E-05
3.000E-01 1.29E-06 2.90E-14 3.67E-06 1.22E-14 8.61E-08 7.10E-21 8.71E-07 2.15E-20 1.82E-10 1.74E-05 7.10E-11 2.332E-05
2.500E-01 1.73E-06 6.02E-14 4.93E-06 2.53E-14 1.17E-07 1.47E-20 1.17E-06 4.45E-20 2.62E-10 2.30E-05 1.47E-10 3.091E-05
2.098E-01 2.30E-06 1.21E-13 6.55E-06 5.11E-14 1.56E-07 2.97E-20 1.56E-06 8.97E-20 3.73E-10 3.00E-05 2.95E-10 4.060E-05
1.500E-01 4.00E-06 4.64E-13 1.13E-05 1.96E-13 2.98E-07 1.14E-19 2.66E-06 3.43E-19 7.29E-10 5.06E-05 1.13E-09 6.886E-05
1.382E-01 4.59E-06 6.43E-13 1.30E-05 2.71E-13 3.51E-07 1.58E-19 3.05E-06 4.76E-19 8.59E-10 5.75E-05 1.56E-09 7.850E-05
1.320E-01 4.96E-06 7.73E-13 1.40E-05 3.26E-13 3.85E-07 1.89E-19 3.29E-06 5.71E-19 9.41E-10 6.19E-05 1.87E-09 8.447E-05
1.150E-01 6.26E-06 1.34E-12 1.76E-05 5.66E-13 5.04E-07 3.29E-19 4.11E-06 9.91E-19 1.24E-09 7.70E-05 3.24E-09 1.054E-04
1.000E-01 7.97E-06 2.34E-12 2.21E-05 9.90E-13 6.62E-07 5.75E-19 5.13E-06 1.73E-18 1.64E-09 9.64E-05 5.66E-09 1.323E-04
