 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 2.85E-07 1.50E-16 7.41E-07 1.27E-16 1.59E-08 1.31E-22 1.14E-07 1.67E-22 1.49E-11 3.26E-07 6.74E-14 1.481E-06
9.000E-01 3.34E-07 2.29E-16 8.75E-07 1.94E-16 2.02E-08 1.99E-22 1.35E-07 2.54E-22 1.84E-11 3.79E-07 1.03E-13 1.744E-06
8.000E-01 3.99E-07 3.66E-16 1.05E-06 3.11E-16 2.64E-08 3.19E-22 1.64E-07 4.07E-22 2.33E-11 4.50E-07 1.64E-13 2.094E-06
7.000E-01 4.89E-07 6.24E-16 1.30E-06 5.30E-16 3.54E-08 5.44E-22 2.02E-07 6.94E-22 3.04E-11 5.46E-07 2.80E-13 2.575E-06
6.000E-01 6.19E-07 1.16E-15 1.66E-06 9.82E-16 4.91E-08 1.01E-21 2.60E-07 1.29E-21 4.14E-11 6.85E-07 5.18E-13 3.277E-06
5.500E-01 7.07E-07 1.64E-15 1.91E-06 1.39E-15 5.88E-08 1.43E-21 3.00E-07 1.82E-21 4.93E-11 7.78E-07 7.33E-13 3.756E-06
5.000E-01 8.20E-07 2.40E-15 2.23E-06 2.04E-15 7.13E-08 2.09E-21 3.47E-07 2.67E-21 5.97E-11 8.96E-07 1.07E-12 4.361E-06
4.500E-01 9.66E-07 3.65E-15 2.64E-06 3.10E-15 8.78E-08 3.18E-21 4.14E-07 4.06E-21 7.37E-11 1.05E-06 1.63E-12 5.151E-06
4.000E-01 1.16E-06 5.85E-15 3.18E-06 4.97E-15 1.10E-07 5.10E-21 4.98E-07 6.50E-21 9.32E-11 1.25E-06 2.61E-12 6.200E-06
3.500E-01 1.43E-06 9.97E-15 3.95E-06 8.48E-15 1.41E-07 8.70E-21 6.23E-07 1.11E-20 1.22E-10 1.52E-06 4.45E-12 7.669E-06
3.000E-01 1.83E-06 1.85E-14 5.06E-06 1.57E-14 1.86E-07 1.61E-20 7.91E-07 2.05E-20 1.66E-10 1.92E-06 8.23E-12 9.791E-06
2.500E-01 2.45E-06 3.83E-14 6.81E-06 3.26E-14 2.53E-07 3.34E-20 1.06E-06 4.26E-20 2.39E-10 2.53E-06 1.70E-11 1.311E-05
2.098E-01 3.26E-06 7.71E-14 9.05E-06 6.57E-14 3.37E-07 6.74E-20 1.41E-06 8.58E-20 3.39E-10 3.31E-06 3.42E-11 1.737E-05
1.500E-01 5.66E-06 2.95E-13 1.57E-05 2.51E-13 6.42E-07 2.58E-19 2.42E-06 3.28E-19 6.63E-10 5.58E-06 1.30E-10 2.996E-05
1.382E-01 6.50E-06 4.09E-13 1.79E-05 3.49E-13 7.57E-07 3.58E-19 2.77E-06 4.55E-19 7.81E-10 6.35E-06 1.81E-10 3.428E-05
1.320E-01 7.02E-06 4.91E-13 1.93E-05 4.19E-13 8.29E-07 4.30E-19 2.98E-06 5.46E-19 8.56E-10 6.83E-06 2.17E-10 3.697E-05
1.150E-01 8.87E-06 8.52E-13 2.42E-05 7.28E-13 1.09E-06 7.46E-19 3.73E-06 9.48E-19 1.13E-09 8.50E-06 3.76E-10 4.641E-05
1.000E-01 1.13E-05 1.49E-12 3.05E-05 1.27E-12 1.43E-06 1.30E-18 4.65E-06 1.66E-18 1.49E-09 1.06E-05 6.56E-10 5.848E-05
