 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 2.45E-07 1.49E-16 3.83E-07 7.60E-17 8.46E-09 7.72E-23 9.49E-08 1.55E-22 7.71E-12 9.16E-06 2.17E-12 9.895E-06
9.000E-01 2.87E-07 2.27E-16 4.52E-07 1.16E-16 1.08E-08 1.18E-22 1.13E-07 2.36E-22 9.52E-12 1.07E-05 3.31E-12 1.154E-05
8.000E-01 3.42E-07 3.64E-16 5.44E-07 1.86E-16 1.41E-08 1.88E-22 1.37E-07 3.77E-22 1.20E-11 1.27E-05 5.30E-12 1.371E-05
7.000E-01 4.19E-07 6.20E-16 6.72E-07 3.17E-16 1.89E-08 3.21E-22 1.69E-07 6.43E-22 1.57E-11 1.54E-05 9.02E-12 1.666E-05
6.000E-01 5.31E-07 1.15E-15 8.59E-07 5.87E-16 2.62E-08 5.95E-22 2.17E-07 1.19E-21 2.14E-11 1.93E-05 1.67E-11 2.091E-05
5.500E-01 6.07E-07 1.63E-15 9.87E-07 8.31E-16 3.14E-08 8.43E-22 2.50E-07 1.69E-21 2.55E-11 2.19E-05 2.36E-11 2.379E-05
5.000E-01 7.03E-07 2.38E-15 1.15E-06 1.22E-15 3.80E-08 1.23E-21 2.90E-07 2.47E-21 3.08E-11 2.52E-05 3.46E-11 2.739E-05
4.500E-01 8.28E-07 3.63E-15 1.36E-06 1.85E-15 4.68E-08 1.88E-21 3.46E-07 3.76E-21 3.81E-11 2.95E-05 5.26E-11 3.206E-05
4.000E-01 9.96E-07 5.81E-15 1.64E-06 2.97E-15 5.87E-08 3.01E-21 4.16E-07 6.03E-21 4.82E-11 3.51E-05 8.42E-11 3.823E-05
3.500E-01 1.23E-06 9.91E-15 2.04E-06 5.07E-15 7.51E-08 5.14E-21 5.21E-07 1.03E-20 6.29E-11 4.29E-05 1.43E-10 4.677E-05
3.000E-01 1.57E-06 1.83E-14 2.61E-06 9.39E-15 9.89E-08 9.53E-21 6.61E-07 1.90E-20 8.57E-11 5.41E-05 2.65E-10 5.903E-05
2.500E-01 2.10E-06 3.80E-14 3.51E-06 1.95E-14 1.35E-07 1.98E-20 8.88E-07 3.94E-20 1.23E-10 7.13E-05 5.49E-10 7.798E-05
2.098E-01 2.79E-06 7.66E-14 4.67E-06 3.93E-14 1.80E-07 3.98E-20 1.18E-06 7.95E-20 1.75E-10 9.33E-05 1.10E-09 1.021E-04
1.500E-01 4.86E-06 2.93E-13 8.08E-06 1.50E-13 3.43E-07 1.52E-19 2.02E-06 3.04E-19 3.43E-10 1.57E-04 4.20E-09 1.724E-04
1.382E-01 5.57E-06 4.06E-13 9.24E-06 2.09E-13 4.04E-07 2.11E-19 2.32E-06 4.21E-19 4.04E-10 1.79E-04 5.83E-09 1.963E-04
1.320E-01 6.02E-06 4.88E-13 9.96E-06 2.51E-13 4.42E-07 2.54E-19 2.49E-06 5.06E-19 4.42E-10 1.92E-04 7.00E-09 2.112E-04
1.150E-01 7.61E-06 8.47E-13 1.25E-05 4.35E-13 5.79E-07 4.41E-19 3.11E-06 8.78E-19 5.83E-10 2.39E-04 1.21E-08 2.632E-04
1.000E-01 9.68E-06 1.48E-12 1.57E-05 7.61E-13 7.61E-07 7.71E-19 3.89E-06 1.54E-18 7.71E-10 3.00E-04 2.12E-08 3.298E-04
9.970E-02 9.73E-06 1.50E-12 1.58E-05 7.70E-13 7.66E-07 7.81E-19 3.91E-06 1.55E-18 7.76E-10 3.01E-04 2.14E-08 3.315E-04
8.670E-02 1.23E-05 2.62E-12 1.99E-05 1.35E-12 1.01E-06 1.36E-18 4.91E-06 2.72E-18 1.03E-09 3.75E-04 3.74E-08 4.130E-04
8.500E-02 1.27E-05 2.84E-12 2.06E-05 1.46E-12 1.05E-06 1.48E-18 5.07E-06 2.94E-18 1.07E-09 3.88E-04 4.04E-08 4.272E-04
7.500E-02 1.61E-05 4.68E-12 2.53E-05 2.41E-12 1.34E-06 2.44E-18 6.18E-06 4.85E-18 1.37E-09 4.84E-04 6.66E-08 5.335E-04
6.000E-02 2.37E-05 1.14E-11 3.66E-05 5.91E-12 2.06E-06 5.95E-18 8.97E-06 1.18E-17 2.14E-09 6.90E-04 1.62E-07 7.612E-04
5.500E-02 2.74E-05 1.62E-11 4.10E-05 8.40E-12 2.42E-06 8.42E-18 1.05E-05 1.68E-17 2.55E-09 7.96E-04 2.29E-07 8.780E-04
5.000E-02 3.27E-05 2.37E-11 5.07E-05 1.24E-11 2.89E-06 1.23E-17 1.25E-05 2.46E-17 3.09E-09 9.45E-04 3.36E-07 1.044E-03
4.500E-02 4.03E-05 3.62E-11 6.72E-05 1.90E-11 3.53E-06 1.88E-17 1.52E-05 3.75E-17 3.81E-09 1.15E-03 5.11E-07 1.281E-03
4.000E-02 5.17E-05 5.80E-11 8.97E-05 3.08E-11 4.40E-06 3.01E-17 1.93E-05 6.01E-17 4.82E-09 1.45E-03 8.17E-07 1.618E-03
3.500E-02 6.48E-05 9.90E-11 1.36E-04 5.29E-11 5.64E-06 5.14E-17 2.55E-05 1.03E-16 6.30E-09 1.79E-03 1.39E-06 2.026E-03
3.000E-02 9.15E-05 1.84E-10 2.13E-04 9.85E-11 7.51E-06 9.51E-17 3.58E-05 1.91E-16 8.58E-09 2.46E-03 2.57E-06 2.811E-03
2.750E-02 1.09E-04 2.61E-10 2.68E-04 1.40E-10 8.86E-06 1.35E-16 4.37E-05 2.70E-16 1.02E-08 2.88E-03 3.63E-06 3.312E-03
2.500E-02 1.31E-04 3.83E-10 3.41E-04 2.04E-10 1.06E-05 1.97E-16 5.47E-05 3.96E-16 1.24E-08 3.45E-03 5.31E-06 3.991E-03
2.400E-02 1.44E-04 4.51E-10 3.78E-04 2.40E-10 1.14E-05 2.32E-16 5.97E-05 4.66E-16 1.34E-08 3.71E-03 6.23E-06 4.309E-03
2.000E-02 2.11E-04 9.43E-10 5.88E-04 4.90E-10 1.62E-05 4.83E-16 8.65E-05 9.65E-16 1.93E-08 5.23E-03 1.29E-05 6.146E-03
1.800E-02 2.63E-04 1.45E-09 7.30E-04 7.35E-10 1.99E-05 7.37E-16 1.08E-04 1.47E-15 2.39E-08 6.43E-03 1.96E-05 7.570E-03
1.600E-02 3.49E-04 2.34E-09 9.07E-04 1.15E-09 2.52E-05 1.18E-15 1.37E-04 2.36E-15 3.03E-08 8.12E-03 3.13E-05 9.569E-03
1.500E-02 4.16E-04 3.04E-09 1.02E-03 1.48E-09 2.87E-05 1.53E-15 1.56E-04 3.05E-15 3.45E-08 9.23E-03 4.02E-05 1.089E-02
1.400E-02 4.73E-04 4.01E-09 1.14E-03 1.92E-09 3.31E-05 2.02E-15 1.80E-04 4.03E-15 3.96E-08 1.03E-02 5.29E-05 1.218E-02
1.200E-02 7.23E-04 7.51E-09 1.46E-03 3.44E-09 4.61E-05 3.76E-15 2.46E-04 7.47E-15 5.41E-08 1.39E-02 9.66E-05 1.650E-02
1.000E-02 1.10E-03 1.58E-08 1.92E-03 6.81E-09 6.97E-05 7.86E-15 3.60E-04 1.55E-14 7.82E-08 1.92E-02 1.98E-04 2.287E-02
9.000E-03 1.46E-03 2.43E-08 2.19E-03 1.01E-08 8.96E-05 1.20E-14 4.49E-04 2.37E-14 9.69E-08 2.36E-02 3.00E-04 2.806E-02
8.000E-03 1.94E-03 3.83E-08 2.54E-03 1.60E-08 1.20E-04 1.94E-14 5.76E-04 3.79E-14 1.23E-07 2.82E-02 4.71E-04 3.387E-02
7.500E-03 2.27E-03 5.02E-08 2.81E-03 2.06E-08 1.41E-04 2.53E-14 6.60E-04 4.91E-14 1.41E-07 3.21E-02 6.10E-04 3.859E-02
