 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 2.12E-07 1.03E-16 5.03E-07 8.01E-17 9.03E-09 7.05E-23 1.29E-07 1.80E-22 1.27E-11 0.00E+00 0.00E+00 8.536E-07
9.000E-01 2.48E-07 1.57E-16 5.94E-07 1.22E-16 1.15E-08 1.07E-22 1.54E-07 2.75E-22 1.57E-11 0.00E+00 0.00E+00 1.008E-06
8.000E-01 2.97E-07 2.52E-16 7.16E-07 1.95E-16 1.50E-08 1.72E-22 1.87E-07 4.40E-22 1.99E-11 0.00E+00 0.00E+00 1.215E-06
7.000E-01 3.63E-07 4.30E-16 8.84E-07 3.33E-16 2.01E-08 2.93E-22 2.30E-07 7.50E-22 2.60E-11 0.00E+00 0.00E+00 1.498E-06
6.000E-01 4.60E-07 7.96E-16 1.13E-06 6.18E-16 2.80E-08 5.44E-22 2.96E-07 1.39E-21 3.54E-11 0.00E+00 0.00E+00 1.914E-06
5.500E-01 5.26E-07 1.13E-15 1.30E-06 8.75E-16 3.35E-08 7.70E-22 3.41E-07 1.97E-21 4.21E-11 0.00E+00 0.00E+00 2.199E-06
5.000E-01 6.09E-07 1.65E-15 1.51E-06 1.28E-15 4.06E-08 1.13E-21 3.96E-07 2.88E-21 5.10E-11 0.00E+00 0.00E+00 2.557E-06
4.500E-01 7.17E-07 2.51E-15 1.79E-06 1.95E-15 5.00E-08 1.72E-21 4.72E-07 4.39E-21 6.29E-11 0.00E+00 0.00E+00 3.029E-06
4.000E-01 8.62E-07 4.02E-15 2.16E-06 3.13E-15 6.26E-08 2.75E-21 5.67E-07 7.02E-21 7.96E-11 0.00E+00 0.00E+00 3.654E-06
3.500E-01 1.06E-06 6.86E-15 2.68E-06 5.34E-15 8.02E-08 4.70E-21 7.10E-07 1.20E-20 1.04E-10 0.00E+00 0.00E+00 4.536E-06
3.000E-01 1.36E-06 1.27E-14 3.44E-06 9.89E-15 1.06E-07 8.70E-21 9.01E-07 2.22E-20 1.42E-10 0.00E+00 0.00E+00 5.805E-06
2.500E-01 1.82E-06 2.63E-14 4.62E-06 2.05E-14 1.44E-07 1.80E-20 1.21E-06 4.60E-20 2.04E-10 0.00E+00 0.00E+00 7.796E-06
2.098E-01 2.42E-06 5.31E-14 6.14E-06 4.13E-14 1.92E-07 3.64E-20 1.61E-06 9.26E-20 2.90E-10 0.00E+00 0.00E+00 1.036E-05
1.500E-01 4.21E-06 2.03E-13 1.06E-05 1.58E-13 3.66E-07 1.39E-19 2.75E-06 3.54E-19 5.66E-10 0.00E+00 0.00E+00 1.796E-05
1.382E-01 4.83E-06 2.81E-13 1.22E-05 2.20E-13 4.31E-07 1.93E-19 3.16E-06 4.91E-19 6.67E-10 0.00E+00 0.00E+00 2.057E-05
1.320E-01 5.21E-06 3.38E-13 1.31E-05 2.64E-13 4.72E-07 2.32E-19 3.40E-06 5.90E-19 7.31E-10 0.00E+00 0.00E+00 2.220E-05
