 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 2.43E-07 1.40E-16 7.56E-07 1.42E-16 1.95E-08 1.71E-22 2.65E-07 4.14E-22 1.09E-11 2.22E-06 4.99E-13 3.504E-06
9.000E-01 2.85E-07 2.13E-16 8.92E-07 2.16E-16 2.48E-08 2.60E-22 3.15E-07 6.31E-22 1.34E-11 2.59E-06 7.60E-13 4.103E-06
8.000E-01 3.40E-07 3.41E-16 1.07E-06 3.46E-16 3.24E-08 4.17E-22 3.83E-07 1.01E-21 1.70E-11 3.07E-06 1.22E-12 4.900E-06
7.000E-01 4.17E-07 5.82E-16 1.33E-06 5.91E-16 4.35E-08 7.11E-22 4.72E-07 1.72E-21 2.22E-11 3.73E-06 2.07E-12 5.986E-06
6.000E-01 5.28E-07 1.08E-15 1.70E-06 1.09E-15 6.03E-08 1.32E-21 6.06E-07 3.19E-21 3.02E-11 4.67E-06 3.83E-12 7.562E-06
5.500E-01 6.03E-07 1.53E-15 1.95E-06 1.55E-15 7.22E-08 1.86E-21 6.99E-07 4.52E-21 3.59E-11 5.31E-06 5.42E-12 8.633E-06
5.000E-01 6.99E-07 2.23E-15 2.27E-06 2.27E-15 8.76E-08 2.73E-21 8.10E-07 6.62E-21 4.35E-11 6.11E-06 7.93E-12 9.976E-06
4.500E-01 8.24E-07 3.40E-15 2.69E-06 3.46E-15 1.08E-07 4.16E-21 9.66E-07 1.01E-20 5.37E-11 7.14E-06 1.21E-11 1.173E-05
4.000E-01 9.90E-07 5.45E-15 3.25E-06 5.54E-15 1.35E-07 6.67E-21 1.16E-06 1.61E-20 6.79E-11 8.51E-06 1.93E-11 1.404E-05
3.500E-01 1.22E-06 9.30E-15 4.03E-06 9.45E-15 1.73E-07 1.14E-20 1.45E-06 2.75E-20 8.87E-11 1.04E-05 3.29E-11 1.727E-05
3.000E-01 1.56E-06 1.72E-14 5.16E-06 1.75E-14 2.28E-07 2.11E-20 1.84E-06 5.10E-20 1.21E-10 1.31E-05 6.09E-11 2.190E-05
2.500E-01 2.09E-06 3.57E-14 6.94E-06 3.63E-14 3.11E-07 4.37E-20 2.48E-06 1.06E-19 1.74E-10 1.73E-05 1.26E-10 2.910E-05
2.098E-01 2.78E-06 7.19E-14 9.23E-06 7.32E-14 4.13E-07 8.81E-20 3.29E-06 2.13E-19 2.47E-10 2.26E-05 2.53E-10 3.832E-05
1.500E-01 4.83E-06 2.75E-13 1.60E-05 2.80E-13 7.89E-07 3.37E-19 5.64E-06 8.14E-19 4.83E-10 3.81E-05 9.65E-10 6.529E-05
1.382E-01 5.54E-06 3.81E-13 1.83E-05 3.89E-13 9.30E-07 4.68E-19 6.46E-06 1.13E-18 5.69E-10 4.33E-05 1.34E-09 7.451E-05
1.320E-01 5.99E-06 4.58E-13 1.97E-05 4.67E-13 1.02E-06 5.62E-19 6.96E-06 1.36E-18 6.24E-10 4.66E-05 1.61E-09 8.022E-05
1.150E-01 7.56E-06 7.95E-13 2.47E-05 8.11E-13 1.33E-06 9.75E-19 8.69E-06 2.35E-18 8.22E-10 5.80E-05 2.78E-09 1.003E-04
1.000E-01 9.62E-06 1.39E-12 3.11E-05 1.42E-12 1.75E-06 1.71E-18 1.09E-05 4.11E-18 1.09E-09 7.26E-05 4.86E-09 1.259E-04
9.970E-02 9.67E-06 1.41E-12 3.12E-05 1.44E-12 1.76E-06 1.73E-18 1.09E-05 4.16E-18 1.09E-09 7.30E-05 4.91E-09 1.266E-04
8.670E-02 1.22E-05 2.46E-12 3.94E-05 2.51E-12 2.33E-06 3.02E-18 1.37E-05 7.28E-18 1.45E-09 9.08E-05 8.58E-09 1.584E-04
8.500E-02 1.26E-05 2.66E-12 4.07E-05 2.72E-12 2.42E-06 3.27E-18 1.41E-05 7.88E-18 1.50E-09 9.39E-05 9.28E-09 1.638E-04
7.500E-02 1.60E-05 4.39E-12 5.01E-05 4.49E-12 3.08E-06 5.39E-18 1.72E-05 1.30E-17 1.93E-09 1.17E-04 1.53E-08 2.038E-04
6.000E-02 2.36E-05 1.07E-11 7.22E-05 1.10E-11 4.74E-06 1.32E-17 2.50E-05 3.17E-17 3.02E-09 1.67E-04 3.72E-08 2.927E-04
5.500E-02 2.73E-05 1.52E-11 8.09E-05 1.57E-11 5.58E-06 1.86E-17 2.92E-05 4.49E-17 3.59E-09 1.93E-04 5.26E-08 3.359E-04
5.000E-02 3.25E-05 2.22E-11 1.00E-04 2.31E-11 6.66E-06 2.73E-17 3.48E-05 6.58E-17 4.35E-09 2.29E-04 7.70E-08 4.030E-04
4.500E-02 4.00E-05 3.39E-11 1.33E-04 3.55E-11 8.13E-06 4.16E-17 4.25E-05 1.00E-16 5.37E-09 2.79E-04 1.17E-07 5.030E-04
4.000E-02 5.14E-05 5.44E-11 1.77E-04 5.73E-11 1.01E-05 6.66E-17 5.37E-05 1.61E-16 6.80E-09 3.52E-04 1.87E-07 6.443E-04
3.500E-02 6.45E-05 9.29E-11 2.70E-04 9.87E-11 1.30E-05 1.14E-16 7.10E-05 2.75E-16 8.88E-09 4.34E-04 3.19E-07 8.524E-04
3.000E-02 9.09E-05 1.73E-10 4.21E-04 1.84E-10 1.73E-05 2.10E-16 9.98E-05 5.11E-16 1.21E-08 5.96E-04 5.90E-07 1.225E-03
