 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 7.42E-08 4.48E-17 5.37E-07 1.06E-16 1.44E-08 1.30E-22 1.85E-07 2.99E-22 4.18E-12 5.80E-06 1.37E-12 6.614E-06
9.000E-01 8.69E-08 6.83E-17 6.34E-07 1.61E-16 1.83E-08 1.98E-22 2.20E-07 4.56E-22 5.16E-12 6.76E-06 2.08E-12 7.719E-06
8.000E-01 1.04E-07 1.09E-16 7.64E-07 2.58E-16 2.39E-08 3.18E-22 2.67E-07 7.30E-22 6.53E-12 8.02E-06 3.33E-12 9.181E-06
7.000E-01 1.27E-07 1.87E-16 9.44E-07 4.41E-16 3.20E-08 5.42E-22 3.29E-07 1.24E-21 8.53E-12 9.74E-06 5.67E-12 1.117E-05
6.000E-01 1.61E-07 3.45E-16 1.21E-06 8.17E-16 4.45E-08 1.00E-21 4.23E-07 2.31E-21 1.16E-11 1.22E-05 1.05E-11 1.404E-05
5.500E-01 1.84E-07 4.89E-16 1.39E-06 1.16E-15 5.32E-08 1.42E-21 4.87E-07 3.26E-21 1.38E-11 1.39E-05 1.48E-11 1.599E-05
5.000E-01 2.13E-07 7.16E-16 1.61E-06 1.69E-15 6.46E-08 2.08E-21 5.65E-07 4.78E-21 1.67E-11 1.60E-05 2.17E-11 1.842E-05
4.500E-01 2.51E-07 1.09E-15 1.91E-06 2.58E-15 7.95E-08 3.18E-21 6.74E-07 7.28E-21 2.06E-11 1.87E-05 3.31E-11 2.158E-05
4.000E-01 3.02E-07 1.75E-15 2.31E-06 4.14E-15 9.96E-08 5.09E-21 8.09E-07 1.17E-20 2.61E-11 2.22E-05 5.29E-11 2.576E-05
3.500E-01 3.73E-07 2.98E-15 2.86E-06 7.06E-15 1.28E-07 8.68E-21 1.01E-06 1.99E-20 3.41E-11 2.72E-05 9.01E-11 3.155E-05
