 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 1.71E-07 8.82E-17 4.37E-07 7.37E-17 5.13E-09 4.17E-23 7.71E-08 1.12E-22 1.33E-11 8.04E-06 1.64E-12 8.729E-06
9.000E-01 2.00E-07 1.34E-16 5.16E-07 1.12E-16 6.55E-09 6.36E-23 9.16E-08 1.70E-22 1.64E-11 9.36E-06 2.50E-12 1.018E-05
8.000E-01 2.39E-07 2.15E-16 6.21E-07 1.80E-16 8.55E-09 1.02E-22 1.12E-07 2.73E-22 2.08E-11 1.11E-05 3.99E-12 1.209E-05
7.000E-01 2.93E-07 3.67E-16 7.68E-07 3.07E-16 1.15E-08 1.74E-22 1.37E-07 4.66E-22 2.72E-11 1.35E-05 6.80E-12 1.470E-05
6.000E-01 3.70E-07 6.80E-16 9.81E-07 5.69E-16 1.59E-08 3.22E-22 1.76E-07 8.62E-22 3.70E-11 1.69E-05 1.26E-11 1.845E-05
5.500E-01 4.23E-07 9.63E-16 1.13E-06 8.05E-16 1.90E-08 4.56E-22 2.03E-07 1.22E-21 4.40E-11 1.92E-05 1.78E-11 2.099E-05
5.000E-01 4.91E-07 1.41E-15 1.31E-06 1.18E-15 2.31E-08 6.68E-22 2.36E-07 1.79E-21 5.33E-11 2.21E-05 2.61E-11 2.418E-05
4.500E-01 5.78E-07 2.15E-15 1.55E-06 1.80E-15 2.84E-08 1.02E-21 2.81E-07 2.72E-21 6.58E-11 2.59E-05 3.97E-11 2.830E-05
4.000E-01 6.95E-07 3.44E-15 1.88E-06 2.88E-15 3.56E-08 1.63E-21 3.38E-07 4.36E-21 8.32E-11 3.08E-05 6.35E-11 3.375E-05
3.500E-01 8.57E-07 5.86E-15 2.33E-06 4.91E-15 4.56E-08 2.78E-21 4.23E-07 7.44E-21 1.09E-10 3.76E-05 1.08E-10 4.129E-05
3.000E-01 1.09E-06 1.09E-14 2.99E-06 9.10E-15 6.01E-08 5.15E-21 5.37E-07 1.38E-20 1.48E-10 4.74E-05 2.00E-10 5.212E-05
2.500E-01 1.47E-06 2.25E-14 4.01E-06 1.89E-14 8.20E-08 1.07E-20 7.21E-07 2.85E-20 2.13E-10 6.26E-05 4.14E-10 6.886E-05
2.098E-01 1.95E-06 4.53E-14 5.33E-06 3.81E-14 1.09E-07 2.15E-20 9.59E-07 5.75E-20 3.03E-10 8.19E-05 8.32E-10 9.021E-05
1.500E-01 3.39E-06 1.73E-13 9.23E-06 1.46E-13 2.08E-07 8.24E-20 1.64E-06 2.20E-19 5.92E-10 1.38E-04 3.17E-09 1.523E-04
1.382E-01 3.89E-06 2.40E-13 1.06E-05 2.02E-13 2.45E-07 1.14E-19 1.88E-06 3.05E-19 6.97E-10 1.57E-04 4.40E-09 1.734E-04
1.320E-01 4.20E-06 2.89E-13 1.14E-05 2.43E-13 2.68E-07 1.37E-19 2.03E-06 3.66E-19 7.64E-10 1.69E-04 5.28E-09 1.865E-04
