 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 1.17E-07 5.37E-17 3.27E-07 4.92E-17 5.93E-09 4.45E-23 4.85E-08 6.50E-23 8.18E-12 0.00E+00 0.00E+00 4.979E-07
9.000E-01 1.37E-07 8.18E-17 3.86E-07 7.49E-17 7.56E-09 6.78E-23 5.76E-08 9.91E-23 1.01E-11 0.00E+00 0.00E+00 5.878E-07
8.000E-01 1.63E-07 1.31E-16 4.65E-07 1.20E-16 9.87E-09 1.09E-22 7.02E-08 1.59E-22 1.28E-11 0.00E+00 0.00E+00 7.082E-07
7.000E-01 2.00E-07 2.23E-16 5.75E-07 2.05E-16 1.32E-08 1.85E-22 8.64E-08 2.71E-22 1.67E-11 0.00E+00 0.00E+00 8.739E-07
6.000E-01 2.53E-07 4.14E-16 7.34E-07 3.79E-16 1.84E-08 3.43E-22 1.11E-07 5.01E-22 2.27E-11 0.00E+00 0.00E+00 1.116E-06
5.500E-01 2.89E-07 5.86E-16 8.43E-07 5.37E-16 2.20E-08 4.86E-22 1.28E-07 7.09E-22 2.70E-11 0.00E+00 0.00E+00 1.282E-06
5.000E-01 3.35E-07 8.57E-16 9.82E-07 7.87E-16 2.67E-08 7.12E-22 1.48E-07 1.04E-21 3.27E-11 0.00E+00 0.00E+00 1.492E-06
4.500E-01 3.94E-07 1.31E-15 1.16E-06 1.20E-15 3.28E-08 1.09E-21 1.77E-07 1.58E-21 4.04E-11 0.00E+00 0.00E+00 1.767E-06
4.000E-01 4.74E-07 2.09E-15 1.40E-06 1.92E-15 4.11E-08 1.74E-21 2.13E-07 2.53E-21 5.11E-11 0.00E+00 0.00E+00 2.133E-06
3.500E-01 5.85E-07 3.57E-15 1.74E-06 3.28E-15 5.27E-08 2.97E-21 2.66E-07 4.32E-21 6.68E-11 0.00E+00 0.00E+00 2.646E-06
3.000E-01 7.47E-07 6.60E-15 2.23E-06 6.07E-15 6.94E-08 5.50E-21 3.38E-07 8.00E-21 9.09E-11 0.00E+00 0.00E+00 3.389E-06
2.500E-01 1.00E-06 1.37E-14 3.00E-06 1.26E-14 9.47E-08 1.14E-20 4.54E-07 1.66E-20 1.31E-10 0.00E+00 0.00E+00 4.552E-06
2.098E-01 1.33E-06 2.76E-14 3.99E-06 2.54E-14 1.26E-07 2.30E-20 6.03E-07 3.34E-20 1.86E-10 0.00E+00 0.00E+00 6.051E-06
1.500E-01 2.31E-06 1.05E-13 6.91E-06 9.72E-14 2.40E-07 8.79E-20 1.03E-06 1.28E-19 3.63E-10 0.00E+00 0.00E+00 1.049E-05
1.382E-01 2.65E-06 1.46E-13 7.90E-06 1.35E-13 2.83E-07 1.22E-19 1.18E-06 1.77E-19 4.28E-10 0.00E+00 0.00E+00 1.202E-05
1.320E-01 2.87E-06 1.76E-13 8.52E-06 1.62E-13 3.10E-07 1.47E-19 1.27E-06 2.13E-19 4.69E-10 0.00E+00 0.00E+00 1.297E-05
1.150E-01 3.62E-06 3.05E-13 1.07E-05 2.81E-13 4.06E-07 2.54E-19 1.59E-06 3.69E-19 6.18E-10 0.00E+00 0.00E+00 1.631E-05
1.000E-01 4.61E-06 5.33E-13 1.34E-05 4.92E-13 5.34E-07 4.45E-19 1.99E-06 6.46E-19 8.18E-10 0.00E+00 0.00E+00 2.057E-05
9.970E-02 4.63E-06 5.40E-13 1.35E-05 4.98E-13 5.37E-07 4.50E-19 2.00E-06 6.53E-19 8.23E-10 0.00E+00 0.00E+00 2.068E-05
8.670E-02 5.83E-06 9.43E-13 1.70E-05 8.70E-13 7.10E-07 7.87E-19 2.51E-06 1.14E-18 1.09E-09 0.00E+00 0.00E+00 2.609E-05
8.500E-02 6.04E-06 1.02E-12 1.76E-05 9.42E-13 7.38E-07 8.52E-19 2.59E-06 1.24E-18 1.13E-09 0.00E+00 0.00E+00 2.698E-05
7.500E-02 7.67E-06 1.68E-12 2.17E-05 1.56E-12 9.38E-07 1.41E-18 3.16E-06 2.04E-18 1.45E-09 0.00E+00 0.00E+00 3.342E-05
6.000E-02 1.13E-05 4.11E-12 3.13E-05 3.82E-12 1.44E-06 3.43E-18 4.58E-06 4.98E-18 2.27E-09 0.00E+00 0.00E+00 4.856E-05
5.500E-02 1.31E-05 5.83E-12 3.50E-05 5.43E-12 1.70E-06 4.86E-18 5.35E-06 7.06E-18 2.70E-09 0.00E+00 0.00E+00 5.512E-05
5.000E-02 1.56E-05 8.54E-12 4.34E-05 8.01E-12 2.03E-06 7.11E-18 6.37E-06 1.03E-17 3.27E-09 0.00E+00 0.00E+00 6.730E-05
4.500E-02 1.92E-05 1.30E-11 5.74E-05 1.23E-11 2.47E-06 1.08E-17 7.79E-06 1.58E-17 4.04E-09 0.00E+00 0.00E+00 8.685E-05
4.000E-02 2.46E-05 2.09E-11 7.67E-05 1.99E-11 3.08E-06 1.74E-17 9.84E-06 2.53E-17 5.12E-09 0.00E+00 0.00E+00 1.142E-04
3.500E-02 3.09E-05 3.57E-11 1.17E-04 3.42E-11 3.95E-06 2.96E-17 1.30E-05 4.32E-17 6.68E-09 0.00E+00 0.00E+00 1.645E-04
3.000E-02 4.35E-05 6.63E-11 1.82E-04 6.37E-11 5.27E-06 5.49E-17 1.83E-05 8.01E-17 9.10E-09 0.00E+00 0.00E+00 2.490E-04
2.750E-02 5.20E-05 9.40E-11 2.29E-04 9.02E-11 6.21E-06 7.78E-17 2.23E-05 1.14E-16 1.08E-08 0.00E+00 0.00E+00 3.095E-04
2.500E-02 6.26E-05 1.38E-10 2.92E-04 1.32E-10 7.41E-06 1.14E-16 2.80E-05 1.66E-16 1.31E-08 0.00E+00 0.00E+00 3.895E-04
2.400E-02 6.87E-05 1.63E-10 3.23E-04 1.55E-10 8.02E-06 1.34E-16 3.05E-05 1.96E-16 1.42E-08 0.00E+00 0.00E+00 4.300E-04
2.000E-02 1.00E-04 3.39E-10 5.03E-04 3.17E-10 1.14E-05 2.78E-16 4.42E-05 4.06E-16 2.05E-08 0.00E+00 0.00E+00 6.586E-04
1.800E-02 1.25E-04 5.21E-10 6.24E-04 4.75E-10 1.40E-05 4.25E-16 5.50E-05 6.19E-16 2.54E-08 0.00E+00 0.00E+00 8.176E-04
1.600E-02 1.66E-04 8.41E-10 7.76E-04 7.46E-10 1.77E-05 6.82E-16 7.01E-05 9.92E-16 3.21E-08 0.00E+00 0.00E+00 1.030E-03
1.500E-02 1.98E-04 1.09E-09 8.70E-04 9.54E-10 2.01E-05 8.84E-16 7.95E-05 1.28E-15 3.66E-08 0.00E+00 0.00E+00 1.168E-03
1.400E-02 2.25E-04 1.44E-09 9.76E-04 1.24E-09 2.32E-05 1.17E-15 9.18E-05 1.69E-15 4.20E-08 0.00E+00 0.00E+00 1.317E-03
1.200E-02 3.44E-04 2.70E-09 1.24E-03 2.22E-09 3.23E-05 2.17E-15 1.26E-04 3.14E-15 5.74E-08 0.00E+00 0.00E+00 1.746E-03
1.000E-02 5.22E-04 5.68E-09 1.64E-03 4.40E-09 4.89E-05 4.53E-15 1.84E-04 6.52E-15 8.30E-08 0.00E+00 0.00E+00 2.397E-03
9.000E-03 6.95E-04 8.75E-09 1.87E-03 6.53E-09 6.28E-05 6.95E-15 2.29E-04 9.95E-15 1.03E-07 0.00E+00 0.00E+00 2.860E-03
8.000E-03 9.23E-04 1.38E-08 2.17E-03 1.03E-08 8.40E-05 1.12E-14 2.94E-04 1.60E-14 1.31E-07 0.00E+00 0.00E+00 3.475E-03
