 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 9.19E-08 5.92E-17 2.81E-07 5.90E-17 6.11E-09 5.79E-23 6.82E-08 1.16E-22 3.07E-12 7.22E-06 1.80E-12 7.667E-06
9.000E-01 1.08E-07 9.02E-17 3.32E-07 9.00E-17 7.79E-09 8.83E-23 8.11E-08 1.76E-22 3.79E-12 8.41E-06 2.75E-12 8.937E-06
8.000E-01 1.29E-07 1.44E-16 4.00E-07 1.44E-16 1.02E-08 1.41E-22 9.88E-08 2.82E-22 4.80E-12 9.98E-06 4.40E-12 1.062E-05
7.000E-01 1.58E-07 2.46E-16 4.94E-07 2.46E-16 1.36E-08 2.41E-22 1.22E-07 4.81E-22 6.27E-12 1.21E-05 7.49E-12 1.290E-05
6.000E-01 1.99E-07 4.56E-16 6.31E-07 4.55E-16 1.89E-08 4.47E-22 1.56E-07 8.90E-22 8.53E-12 1.52E-05 1.39E-11 1.619E-05
5.500E-01 2.28E-07 6.46E-16 7.25E-07 6.45E-16 2.27E-08 6.33E-22 1.80E-07 1.26E-21 1.02E-11 1.73E-05 1.96E-11 1.842E-05
5.000E-01 2.64E-07 9.45E-16 8.44E-07 9.44E-16 2.75E-08 9.27E-22 2.09E-07 1.85E-21 1.23E-11 1.99E-05 2.87E-11 2.121E-05
4.500E-01 3.11E-07 1.44E-15 9.99E-07 1.44E-15 3.38E-08 1.41E-21 2.49E-07 2.81E-21 1.52E-11 2.32E-05 4.37E-11 2.482E-05
4.000E-01 3.74E-07 2.31E-15 1.21E-06 2.31E-15 4.24E-08 2.26E-21 2.99E-07 4.50E-21 1.92E-11 2.77E-05 6.99E-11 2.959E-05
3.500E-01 4.61E-07 3.93E-15 1.50E-06 3.93E-15 5.43E-08 3.86E-21 3.74E-07 7.68E-21 2.51E-11 3.38E-05 1.19E-10 3.619E-05
3.000E-01 5.89E-07 7.28E-15 1.92E-06 7.29E-15 7.15E-08 7.15E-21 4.75E-07 1.42E-20 3.41E-11 4.26E-05 2.20E-10 4.566E-05
2.500E-01 7.89E-07 1.51E-14 2.58E-06 1.51E-14 9.76E-08 1.48E-20 6.38E-07 2.95E-20 4.92E-11 5.62E-05 4.56E-10 6.031E-05
2.098E-01 1.05E-06 3.04E-14 3.43E-06 3.05E-14 1.30E-07 2.99E-20 8.49E-07 5.94E-20 6.98E-11 7.35E-05 9.16E-10 7.898E-05
1.500E-01 1.82E-06 1.16E-13 5.94E-06 1.17E-13 2.48E-07 1.14E-19 1.45E-06 2.27E-19 1.37E-10 1.24E-04 3.49E-09 1.332E-04
1.382E-01 2.09E-06 1.61E-13 6.79E-06 1.62E-13 2.92E-07 1.59E-19 1.67E-06 3.15E-19 1.61E-10 1.41E-04 4.84E-09 1.517E-04
1.320E-01 2.26E-06 1.94E-13 7.32E-06 1.94E-13 3.19E-07 1.91E-19 1.79E-06 3.78E-19 1.76E-10 1.51E-04 5.81E-09 1.632E-04
1.150E-01 2.86E-06 3.36E-13 9.18E-06 3.38E-13 4.19E-07 3.31E-19 2.24E-06 6.56E-19 2.32E-10 1.89E-04 1.01E-08 2.033E-04
1.000E-01 3.63E-06 5.88E-13 1.15E-05 5.90E-13 5.50E-07 5.79E-19 2.80E-06 1.15E-18 3.07E-10 2.36E-04 1.76E-08 2.547E-04
9.970E-02 3.65E-06 5.95E-13 1.16E-05 5.98E-13 5.53E-07 5.86E-19 2.81E-06 1.16E-18 3.09E-10 2.37E-04 1.78E-08 2.560E-04
8.670E-02 4.60E-06 1.04E-12 1.46E-05 1.04E-12 7.32E-07 1.03E-18 3.53E-06 2.03E-18 4.09E-10 2.95E-04 3.10E-08 3.189E-04
8.500E-02 4.77E-06 1.13E-12 1.51E-05 1.13E-12 7.60E-07 1.11E-18 3.64E-06 2.20E-18 4.25E-10 3.05E-04 3.36E-08 3.298E-04
7.500E-02 6.05E-06 1.86E-12 1.86E-05 1.87E-12 9.67E-07 1.83E-18 4.44E-06 3.62E-18 5.46E-10 3.82E-04 5.53E-08 4.119E-04
6.000E-02 8.90E-06 4.53E-12 2.69E-05 4.58E-12 1.49E-06 4.47E-18 6.45E-06 8.85E-18 8.54E-10 5.44E-04 1.34E-07 5.873E-04
5.500E-02 1.03E-05 6.42E-12 3.01E-05 6.52E-12 1.75E-06 6.33E-18 7.52E-06 1.25E-17 1.02E-09 6.28E-04 1.90E-07 6.775E-04
5.000E-02 1.23E-05 9.41E-12 3.73E-05 9.62E-12 2.09E-06 9.26E-18 8.96E-06 1.84E-17 1.23E-09 7.44E-04 2.79E-07 8.053E-04
4.500E-02 1.51E-05 1.44E-11 4.93E-05 1.48E-11 2.55E-06 1.41E-17 1.10E-05 2.80E-17 1.52E-09 9.10E-04 4.24E-07 9.880E-04
4.000E-02 1.94E-05 2.30E-11 6.59E-05 2.39E-11 3.18E-06 2.26E-17 1.38E-05 4.49E-17 1.92E-09 1.14E-03 6.78E-07 1.247E-03
3.500E-02 2.44E-05 3.93E-11 1.00E-04 4.11E-11 4.07E-06 3.86E-17 1.83E-05 7.67E-17 2.51E-09 1.41E-03 1.15E-06 1.561E-03
3.000E-02 3.44E-05 7.31E-11 1.56E-04 7.65E-11 5.43E-06 7.15E-17 2.57E-05 1.42E-16 3.42E-09 1.94E-03 2.13E-06 2.164E-03
2.750E-02 4.10E-05 1.04E-10 1.97E-04 1.08E-10 6.40E-06 1.01E-16 3.14E-05 2.02E-16 4.07E-09 2.27E-03 3.01E-06 2.549E-03
2.500E-02 4.94E-05 1.52E-10 2.51E-04 1.59E-10 7.64E-06 1.48E-16 3.93E-05 2.96E-16 4.93E-09 2.72E-03 4.41E-06 3.070E-03
2.400E-02 5.42E-05 1.79E-10 2.77E-04 1.87E-10 8.27E-06 1.75E-16 4.29E-05 3.48E-16 5.35E-09 2.93E-03 5.18E-06 3.314E-03
2.000E-02 7.93E-05 3.74E-10 4.32E-04 3.80E-10 1.17E-05 3.63E-16 6.22E-05 7.21E-16 7.72E-09 4.13E-03 1.07E-05 4.723E-03
1.800E-02 9.87E-05 5.74E-10 5.36E-04 5.71E-10 1.44E-05 5.53E-16 7.73E-05 1.10E-15 9.54E-09 5.07E-03 1.63E-05 5.817E-03
1.600E-02 1.31E-04 9.27E-10 6.66E-04 8.96E-10 1.82E-05 8.88E-16 9.86E-05 1.76E-15 1.21E-08 6.41E-03 2.60E-05 7.348E-03
1.500E-02 1.56E-04 1.20E-09 7.47E-04 1.15E-09 2.07E-05 1.15E-15 1.12E-04 2.28E-15 1.38E-08 7.28E-03 3.34E-05 8.353E-03
1.400E-02 1.78E-04 1.59E-09 8.39E-04 1.49E-09 2.39E-05 1.52E-15 1.29E-04 3.01E-15 1.58E-08 8.13E-03 4.40E-05 9.342E-03
1.200E-02 2.71E-04 2.98E-09 1.07E-03 2.67E-09 3.33E-05 2.83E-15 1.77E-04 5.58E-15 2.16E-08 1.10E-02 8.02E-05 1.264E-02
1.000E-02 4.12E-04 6.26E-09 1.41E-03 5.28E-09 5.04E-05 5.90E-15 2.59E-04 1.16E-14 3.13E-08 1.52E-02 1.65E-04 1.749E-02
9.000E-03 5.48E-04 9.65E-09 1.61E-03 7.85E-09 6.47E-05 9.05E-15 3.23E-04 1.77E-14 3.88E-08 1.86E-02 2.49E-04 2.142E-02
8.000E-03 7.28E-04 1.52E-08 1.87E-03 1.24E-08 8.66E-05 1.46E-14 4.14E-04 2.84E-14 4.95E-08 2.23E-02 3.91E-04 2.581E-02
