 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.000E+00   7.966E-04   7.638E-04   0.000E+00   1.184E-06
   9.000E-01   9.331E-04   9.018E-04   0.000E+00   1.390E-06
   8.000E-01   1.115E-03   1.086E-03   0.000E+00   1.667E-06
   7.000E-01   1.365E-03   1.342E-03   0.000E+00   2.043E-06
   6.000E-01   1.727E-03   1.715E-03   0.000E+00   2.592E-06
   5.500E-01   1.975E-03   1.970E-03   0.000E+00   2.967E-06
   5.000E-01   2.288E-03   2.295E-03   0.000E+00   3.437E-06
   4.500E-01   2.694E-03   2.716E-03   0.000E+00   4.052E-06
   4.000E-01   3.239E-03   3.282E-03   0.000E+00   4.866E-06
   3.500E-01   3.995E-03   4.069E-03   0.000E+00   6.008E-06
   3.000E-01   5.102E-03   5.219E-03   0.000E+00   7.647E-06
   2.500E-01   6.833E-03   7.014E-03   0.000E+00   1.021E-05
   2.098E-01   9.078E-03   9.325E-03   0.000E+00   1.350E-05
   1.500E-01   1.578E-02   1.614E-02   0.000E+00   2.316E-05
   1.382E-01   1.810E-02   1.845E-02   0.000E+00   2.648E-05
   1.320E-01   1.955E-02   1.990E-02   0.000E+00   2.854E-05
   1.150E-01   2.470E-02   2.497E-02   0.000E+00   3.576E-05
   1.000E-01   3.141E-02   3.140E-02   0.000E+00   4.499E-05
   9.970E-02   3.158E-02   3.156E-02   0.000E+00   4.522E-05
   8.670E-02   3.976E-02   3.981E-02   0.000E+00   5.678E-05
   8.500E-02   4.118E-02   4.115E-02   0.000E+00   5.872E-05
   7.500E-02   5.226E-02   5.062E-02   0.000E+00   7.296E-05
   6.000E-02   7.686E-02   7.323E-02   0.000E+00   1.054E-04
   5.500E-02   8.906E-02   8.217E-02   0.000E+00   1.207E-04
   5.000E-02   1.060E-01   1.021E-01   0.000E+00   1.455E-04
   4.500E-02   1.306E-01   1.357E-01   0.000E+00   1.833E-04
   4.000E-02   1.679E-01   1.820E-01   0.000E+00   2.368E-04
   3.500E-02   2.105E-01   2.779E-01   0.000E+00   3.215E-04
   3.000E-02   2.974E-01   4.340E-01   0.000E+00   4.699E-04
   2.750E-02   3.550E-01   5.460E-01   0.000E+00   5.733E-04
   2.500E-02   4.277E-01   6.945E-01   0.000E+00   7.110E-04
   2.400E-02   4.698E-01   7.682E-01   0.000E+00   7.795E-04
   2.000E-02   6.885E-01   1.184E+00   0.000E+00   1.164E-03
   1.800E-02   8.592E-01   1.456E+00   0.000E+00   1.443E-03
   1.600E-02   1.144E+00   1.790E+00   0.000E+00   1.825E-03
   1.500E-02   1.366E+00   1.994E+00   0.000E+00   2.077E-03
   1.400E-02   1.554E+00   2.221E+00   0.000E+00   2.342E-03
   1.200E-02   2.381E+00   2.778E+00   0.000E+00   3.159E-03
   1.000E-02   3.624E+00   3.573E+00   0.000E+00   4.395E-03
   9.000E-03   4.839E+00   4.015E+00   0.000E+00   5.340E-03
   8.000E-03   6.383E+00   4.622E+00   0.000E+00   6.553E-03
   7.500E-03   7.482E+00   5.095E+00   0.000E+00   7.442E-03
   7.000E-03   9.005E+00   5.680E+00   0.000E+00   8.580E-03
   6.000E-03   1.279E+01   7.187E+00   0.000E+00   1.159E-02
   5.000E-03   1.776E+01   9.968E+00   0.000E+00   1.653E-02
   4.500E-03   2.136E+01   1.190E+01   0.000E+00   2.034E-02
   4.000E-03   2.460E+01   1.407E+01   0.000E+00   2.516E-02
   3.500E-03   2.866E+01   1.628E+01   0.000E+00   3.141E-02
   3.000E-03   3.337E+01   1.796E+01   0.000E+00   3.972E-02
   2.750E-03   3.522E+01   1.840E+01   0.000E+00   4.450E-02
   2.500E-03   3.638E+01   1.859E+01   0.000E+00   5.000E-02
   2.400E-03   3.715E+01   1.861E+01   0.000E+00   5.255E-02
   2.350E-03   3.761E+01   1.863E+01   0.000E+00   5.400E-02
   2.320E-03   3.781E+01   1.865E+01   0.000E+00   5.488E-02
   2.310E-03   3.788E+01   1.866E+01   0.000E+00   5.518E-02
   2.300E-03   3.796E+01   1.866E+01   0.000E+00   5.547E-02
   2.250E-03   3.817E+01   1.871E+01   0.000E+00   5.706E-02
   2.200E-03   3.840E+01   1.875E+01   0.000E+00   5.878E-02
   2.150E-03   3.878E+01   1.874E+01   0.000E+00   6.058E-02
   2.120E-03   3.900E+01   1.865E+01   0.000E+00   6.170E-02
   2.110E-03   3.904E+01   1.862E+01   0.000E+00   6.208E-02
   2.100E-03   3.904E+01   1.858E+01   0.000E+00   6.245E-02
   2.080E-03   3.900E+01   1.846E+01   0.000E+00   6.311E-02
   2.000E-03   3.898E+01   1.789E+01   0.000E+00   6.598E-02
   1.950E-03   3.923E+01   1.726E+01   0.000E+00   6.772E-02
   1.900E-03   3.972E+01   1.642E+01   0.000E+00   6.909E-02
   1.850E-03   4.020E+01   1.536E+01   0.000E+00   6.976E-02
   1.830E-03   4.041E+01   1.487E+01   0.000E+00   6.985E-02
   1.820E-03   4.043E+01   1.461E+01   0.000E+00   6.981E-02
   1.810E-03   4.049E+01   1.434E+01   0.000E+00   6.970E-02
   1.800E-03   4.059E+01   1.408E+01   0.000E+00   6.960E-02
   1.750E-03   4.104E+01   1.257E+01   0.000E+00   6.851E-02
   1.700E-03   4.111E+01   1.096E+01   0.000E+00   6.623E-02
   1.670E-03   4.155E+01   9.995E+00   0.000E+00   6.465E-02
   1.650E-03   4.196E+01   9.359E+00   0.000E+00   6.348E-02
   1.640E-03   4.208E+01   9.050E+00   0.000E+00   6.283E-02
   1.630E-03   4.221E+01   8.741E+00   0.000E+00   6.216E-02
   1.610E-03   4.239E+01   8.146E+00   0.000E+00   6.075E-02
   1.600E-03   4.251E+01   7.857E+00   0.000E+00   6.003E-02
   1.590E-03   4.263E+01   7.582E+00   0.000E+00   5.931E-02
   1.580E-03   4.273E+01   7.323E+00   0.000E+00   5.861E-02
   1.570E-03   4.273E+01   7.077E+00   0.000E+00   5.786E-02
   1.560E-03   4.291E+01   6.863E+00   0.000E+00   5.721E-02
   1.540E-03   4.327E+01   6.517E+00   0.000E+00   5.611E-02
   1.520E-03   4.329E+01   6.301E+00   0.000E+00   5.511E-02
   1.510E-03   4.329E+01   6.249E+00   0.000E+00   5.471E-02
   1.500E-03   4.323E+01   6.226E+00   0.000E+00   5.436E-02
   1.450E-03   4.349E+01   6.441E+00   0.000E+00   5.370E-02
   1.440E-03   4.359E+01   6.523E+00   0.000E+00   5.377E-02
   1.430E-03   4.368E+01   6.591E+00   0.000E+00   5.399E-02
   1.420E-03   4.376E+01   6.657E+00   0.000E+00   5.421E-02
   1.400E-03   4.403E+01   6.808E+00   0.000E+00   5.498E-02
   1.380E-03   4.423E+01   6.950E+00   0.000E+00   5.606E-02
   1.370E-03   4.431E+01   7.030E+00   0.000E+00   5.679E-02
   1.360E-03   4.448E+01   7.109E+00   0.000E+00   5.760E-02
   1.350E-03   4.468E+01   7.208E+00   0.000E+00   5.846E-02
   1.340E-03   4.485E+01   7.305E+00   0.000E+00   5.939E-02
   1.330E-03   4.495E+01   7.427E+00   0.000E+00   6.033E-02
   1.320E-03   4.511E+01   7.554E+00   0.000E+00   6.131E-02
   1.310E-03   4.510E+01   7.701E+00   0.000E+00   6.232E-02
   1.290E-03   4.496E+01   8.055E+00   0.000E+00   6.435E-02
   1.280E-03   4.494E+01   8.242E+00   0.000E+00   6.554E-02
   1.270E-03   4.504E+01   8.400E+00   0.000E+00   6.672E-02
   1.260E-03   4.511E+01   8.634E+00   0.000E+00   6.789E-02
   1.250E-03   4.512E+01   8.940E+00   0.000E+00   6.908E-02
   1.220E-03   4.581E+01   1.077E+01   0.000E+00   7.386E-02
   1.210E-03   4.583E+01   1.196E+01   0.000E+00   7.609E-02
