 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 1.03E-07 6.64E-17 2.47E-07 5.19E-17 3.85E-09 3.65E-23 2.96E-08 5.02E-23 3.06E-12 6.60E-06 1.65E-12 6.989E-06
9.000E-01 1.21E-07 1.01E-16 2.92E-07 7.91E-17 4.90E-09 5.56E-23 3.52E-08 7.65E-23 3.77E-12 7.69E-06 2.51E-12 8.146E-06
8.000E-01 1.44E-07 1.62E-16 3.51E-07 1.27E-16 6.40E-09 8.90E-23 4.29E-08 1.22E-22 4.77E-12 9.13E-06 4.02E-12 9.675E-06
7.000E-01 1.77E-07 2.76E-16 4.34E-07 2.16E-16 8.58E-09 1.52E-22 5.28E-08 2.09E-22 6.24E-12 1.11E-05 6.85E-12 1.176E-05
6.000E-01 2.24E-07 5.11E-16 5.55E-07 4.01E-16 1.19E-08 2.81E-22 6.79E-08 3.87E-22 8.49E-12 1.39E-05 1.27E-11 1.475E-05
5.500E-01 2.56E-07 7.24E-16 6.37E-07 5.67E-16 1.43E-08 3.99E-22 7.82E-08 5.48E-22 1.01E-11 1.58E-05 1.79E-11 1.678E-05
5.000E-01 2.96E-07 1.06E-15 7.42E-07 8.31E-16 1.73E-08 5.83E-22 9.07E-08 8.02E-22 1.22E-11 1.82E-05 2.62E-11 1.932E-05
4.500E-01 3.49E-07 1.62E-15 8.79E-07 1.27E-15 2.13E-08 8.89E-22 1.08E-07 1.22E-21 1.51E-11 2.12E-05 4.00E-11 2.261E-05
4.000E-01 4.19E-07 2.59E-15 1.06E-06 2.03E-15 2.67E-08 1.42E-21 1.30E-07 1.96E-21 1.91E-11 2.53E-05 6.39E-11 2.695E-05
3.500E-01 5.18E-07 4.41E-15 1.32E-06 3.46E-15 3.42E-08 2.43E-21 1.63E-07 3.34E-21 2.49E-11 3.09E-05 1.09E-10 3.296E-05
3.000E-01 6.61E-07 8.17E-15 1.69E-06 6.41E-15 4.50E-08 4.50E-21 2.06E-07 6.18E-21 3.39E-11 3.90E-05 2.01E-10 4.158E-05
2.500E-01 8.86E-07 1.69E-14 2.27E-06 1.33E-14 6.14E-08 9.34E-21 2.77E-07 1.28E-20 4.89E-11 5.14E-05 4.17E-10 5.491E-05
2.098E-01 1.18E-06 3.41E-14 3.02E-06 2.68E-14 8.16E-08 1.88E-20 3.69E-07 2.58E-20 6.94E-11 6.73E-05 8.38E-10 7.191E-05
1.500E-01 2.05E-06 1.30E-13 5.22E-06 1.03E-13 1.56E-07 7.20E-20 6.31E-07 9.86E-20 1.36E-10 1.13E-04 3.19E-09 1.213E-04
1.382E-01 2.35E-06 1.81E-13 5.97E-06 1.42E-13 1.84E-07 1.00E-19 7.24E-07 1.37E-19 1.60E-10 1.29E-04 4.43E-09 1.381E-04
1.320E-01 2.54E-06 2.17E-13 6.44E-06 1.71E-13 2.01E-07 1.20E-19 7.79E-07 1.64E-19 1.75E-10 1.39E-04 5.32E-09 1.485E-04
1.150E-01 3.20E-06 3.77E-13 8.08E-06 2.97E-13 2.64E-07 2.08E-19 9.73E-07 2.85E-19 2.31E-10 1.73E-04 9.21E-09 1.851E-04
1.000E-01 4.08E-06 6.59E-13 1.02E-05 5.19E-13 3.46E-07 3.65E-19 1.22E-06 4.99E-19 3.06E-10 2.16E-04 1.61E-08 2.319E-04
9.970E-02 4.10E-06 6.67E-13 1.02E-05 5.25E-13 3.48E-07 3.69E-19 1.22E-06 5.05E-19 3.07E-10 2.17E-04 1.63E-08 2.330E-04
8.670E-02 5.16E-06 1.17E-12 1.29E-05 9.19E-13 4.60E-07 6.45E-19 1.53E-06 8.82E-19 4.07E-10 2.70E-04 2.84E-08 2.902E-04
8.500E-02 5.35E-06 1.26E-12 1.33E-05 9.95E-13 4.79E-07 6.98E-19 1.58E-06 9.54E-19 4.23E-10 2.79E-04 3.07E-08 3.002E-04
7.500E-02 6.78E-06 2.08E-12 1.64E-05 1.64E-12 6.08E-07 1.15E-18 1.93E-06 1.57E-18 5.43E-10 3.49E-04 5.06E-08 3.750E-04
6.000E-02 9.98E-06 5.08E-12 2.36E-05 4.03E-12 9.35E-07 2.81E-18 2.80E-06 3.84E-18 8.49E-10 4.97E-04 1.23E-07 5.347E-04
5.500E-02 1.16E-05 7.20E-12 2.65E-05 5.73E-12 1.10E-06 3.98E-18 3.27E-06 5.45E-18 1.01E-09 5.74E-04 1.74E-07 6.168E-04
5.000E-02 1.38E-05 1.06E-11 3.28E-05 8.46E-12 1.31E-06 5.83E-18 3.89E-06 7.98E-18 1.22E-09 6.81E-04 2.55E-07 7.330E-04
4.500E-02 1.70E-05 1.61E-11 4.34E-05 1.30E-11 1.61E-06 8.88E-18 4.76E-06 1.22E-17 1.51E-09 8.32E-04 3.88E-07 8.992E-04
4.000E-02 2.18E-05 2.58E-11 5.80E-05 2.10E-11 2.00E-06 1.42E-17 6.02E-06 1.95E-17 1.91E-09 1.05E-03 6.20E-07 1.135E-03
3.500E-02 2.73E-05 4.41E-11 8.81E-05 3.61E-11 2.56E-06 2.43E-17 7.96E-06 3.33E-17 2.50E-09 1.29E-03 1.06E-06 1.420E-03
3.000E-02 3.85E-05 8.20E-11 1.37E-04 6.72E-11 3.42E-06 4.50E-17 1.12E-05 6.19E-17 3.40E-09 1.77E-03 1.95E-06 1.967E-03
2.750E-02 4.60E-05 1.16E-10 1.73E-04 9.53E-11 4.03E-06 6.37E-17 1.36E-05 8.77E-17 4.05E-09 2.08E-03 2.76E-06 2.316E-03
2.500E-02 5.54E-05 1.71E-10 2.20E-04 1.39E-10 4.81E-06 9.33E-17 1.71E-05 1.28E-16 4.90E-09 2.49E-03 4.03E-06 2.789E-03
2.400E-02 6.08E-05 2.01E-10 2.44E-04 1.64E-10 5.20E-06 1.10E-16 1.87E-05 1.51E-16 5.32E-09 2.68E-03 4.74E-06 3.010E-03
2.000E-02 8.89E-05 4.20E-10 3.80E-04 3.35E-10 7.36E-06 2.28E-16 2.70E-05 3.13E-16 7.67E-09 3.78E-03 9.78E-06 4.289E-03
1.800E-02 1.11E-04 6.44E-10 4.71E-04 5.02E-10 9.05E-06 3.48E-16 3.36E-05 4.78E-16 9.48E-09 4.64E-03 1.49E-05 5.282E-03
1.600E-02 1.47E-04 1.04E-09 5.86E-04 7.88E-10 1.15E-05 5.59E-16 4.28E-05 7.66E-16 1.20E-08 5.86E-03 2.38E-05 6.674E-03
1.500E-02 1.75E-04 1.35E-09 6.57E-04 1.01E-09 1.30E-05 7.24E-16 4.86E-05 9.92E-16 1.37E-08 6.66E-03 3.06E-05 7.588E-03
1.400E-02 1.99E-04 1.78E-09 7.38E-04 1.31E-09 1.51E-05 9.56E-16 5.61E-05 1.31E-15 1.57E-08 7.44E-03 4.02E-05 8.485E-03
1.200E-02 3.04E-04 3.34E-09 9.40E-04 2.35E-09 2.10E-05 1.78E-15 7.69E-05 2.42E-15 2.15E-08 1.01E-02 7.34E-05 1.149E-02
1.000E-02 4.62E-04 7.02E-09 1.24E-03 4.65E-09 3.17E-05 3.71E-15 1.12E-04 5.04E-15 3.11E-08 1.39E-02 1.51E-04 1.590E-02
9.000E-03 6.15E-04 1.08E-08 1.41E-03 6.90E-09 4.07E-05 5.69E-15 1.40E-04 7.68E-15 3.86E-08 1.70E-02 2.28E-04 1.948E-02
8.000E-03 8.17E-04 1.71E-08 1.64E-03 1.09E-08 5.45E-05 9.19E-15 1.80E-04 1.23E-14 4.92E-08 2.04E-02 3.58E-04 2.347E-02
7.500E-03 9.54E-04 2.23E-08 1.82E-03 1.41E-08 6.43E-05 1.20E-14 2.06E-04 1.60E-14 5.62E-08 2.32E-02 4.63E-04 2.673E-02
7.000E-03 1.15E-03 2.92E-08 2.04E-03 1.84E-08 7.72E-05 1.59E-14 2.39E-04 2.10E-14 6.49E-08 2.63E-02 6.03E-04 3.038E-02
6.000E-03 1.66E-03 5.31E-08 2.62E-03 3.36E-08 1.19E-04 2.99E-14 3.33E-04 3.89E-14 8.97E-08 3.44E-02 1.10E-03 4.026E-02
