 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 1.94E-07 1.25E-16 3.54E-07 7.44E-17 7.69E-09 7.29E-23 4.10E-08 6.95E-23 4.62E-12 8.75E-06 2.19E-12 9.344E-06
9.000E-01 2.27E-07 1.90E-16 4.18E-07 1.13E-16 9.80E-09 1.11E-22 4.88E-08 1.06E-22 5.71E-12 1.02E-05 3.33E-12 1.089E-05
8.000E-01 2.71E-07 3.04E-16 5.04E-07 1.82E-16 1.28E-08 1.78E-22 5.94E-08 1.70E-22 7.22E-12 1.21E-05 5.33E-12 1.294E-05
7.000E-01 3.32E-07 5.19E-16 6.22E-07 3.10E-16 1.72E-08 3.04E-22 7.31E-08 2.89E-22 9.43E-12 1.47E-05 9.08E-12 1.572E-05
6.000E-01 4.20E-07 9.61E-16 7.95E-07 5.74E-16 2.38E-08 5.62E-22 9.40E-08 5.36E-22 1.28E-11 1.84E-05 1.68E-11 1.973E-05
5.500E-01 4.80E-07 1.36E-15 9.14E-07 8.13E-16 2.85E-08 7.97E-22 1.08E-07 7.59E-22 1.53E-11 2.09E-05 2.38E-11 2.245E-05
5.000E-01 5.57E-07 1.99E-15 1.06E-06 1.19E-15 3.46E-08 1.17E-21 1.26E-07 1.11E-21 1.85E-11 2.41E-05 3.48E-11 2.585E-05
4.500E-01 6.56E-07 3.03E-15 1.26E-06 1.81E-15 4.26E-08 1.78E-21 1.50E-07 1.69E-21 2.28E-11 2.81E-05 5.29E-11 3.025E-05
4.000E-01 7.88E-07 4.86E-15 1.52E-06 2.91E-15 5.33E-08 2.85E-21 1.80E-07 2.71E-21 2.89E-11 3.35E-05 8.47E-11 3.606E-05
3.500E-01 9.72E-07 8.29E-15 1.89E-06 4.96E-15 6.83E-08 4.86E-21 2.25E-07 4.62E-21 3.77E-11 4.10E-05 1.44E-10 4.411E-05
