 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.800E-02 1.77E-04 8.88E-10 1.22E-03 1.12E-09 3.60E-05 1.25E-15 2.28E-04 2.92E-15 2.15E-08 5.41E-03 1.52E-05 7.087E-03
1.600E-02 2.35E-04 1.43E-09 1.52E-03 1.76E-09 4.56E-05 2.00E-15 2.91E-04 4.68E-15 2.72E-08 6.83E-03 2.42E-05 8.943E-03
1.500E-02 2.80E-04 1.86E-09 1.70E-03 2.25E-09 5.19E-05 2.60E-15 3.30E-04 6.07E-15 3.10E-08 7.76E-03 3.11E-05 1.016E-02
1.400E-02 3.19E-04 2.46E-09 1.91E-03 2.93E-09 6.00E-05 3.43E-15 3.81E-04 8.00E-15 3.56E-08 8.65E-03 4.10E-05 1.137E-02
1.200E-02 4.87E-04 4.61E-09 2.44E-03 5.25E-09 8.34E-05 6.38E-15 5.22E-04 1.48E-14 4.86E-08 1.17E-02 7.48E-05 1.531E-02
1.000E-02 7.38E-04 9.68E-09 3.22E-03 1.04E-08 1.26E-04 1.33E-14 7.62E-04 3.08E-14 7.03E-08 1.61E-02 1.54E-04 2.114E-02
9.000E-03 9.83E-04 1.49E-08 3.67E-03 1.54E-08 1.62E-04 2.04E-14 9.51E-04 4.70E-14 8.72E-08 1.98E-02 2.32E-04 2.577E-02
8.000E-03 1.31E-03 2.35E-08 4.26E-03 2.44E-08 2.17E-04 3.30E-14 1.22E-03 7.53E-14 1.11E-07 2.37E-02 3.64E-04 3.103E-02
7.500E-03 1.53E-03 3.08E-08 4.71E-03 3.15E-08 2.56E-04 4.29E-14 1.40E-03 9.76E-14 1.27E-07 2.69E-02 4.72E-04 3.526E-02
7.000E-03 1.84E-03 4.03E-08 5.29E-03 4.11E-08 3.07E-04 5.69E-14 1.62E-03 1.29E-13 1.46E-07 3.04E-02 6.14E-04 4.006E-02
6.000E-03 2.65E-03 7.32E-08 6.78E-03 7.51E-08 4.73E-04 1.07E-13 2.26E-03 2.38E-13 2.02E-07 3.98E-02 1.12E-03 5.304E-02
5.000E-03 3.77E-03 1.43E-07 9.64E-03 1.53E-07 8.29E-04 2.28E-13 3.32E-03 4.91E-13 2.98E-07 5.40E-02 2.26E-03 7.382E-02
4.500E-03 4.65E-03 2.08E-07 1.18E-02 2.28E-07 1.17E-03 3.51E-13 4.15E-03 7.45E-13 3.76E-07 6.49E-02 3.37E-03 9.005E-02
4.000E-03 5.53E-03 3.09E-07 1.47E-02 3.42E-07 1.72E-03 5.59E-13 5.30E-03 1.18E-12 4.92E-07 7.88E-02 5.26E-03 1.113E-01
3.500E-03 6.68E-03 4.89E-07 1.81E-02 5.40E-07 2.38E-03 8.94E-13 6.91E-03 1.99E-12 6.79E-07 9.86E-02 8.68E-03 1.414E-01
3.000E-03 8.25E-03 8.08E-07 2.23E-02 8.67E-07 2.52E-03 1.40E-12 9.45E-03 3.63E-12 1.04E-06 1.28E-01 1.51E-02 1.854E-01
2.750E-03 9.04E-03 1.06E-06 2.44E-02 1.12E-06 2.17E-03 1.80E-12 1.14E-02 5.06E-12 1.41E-06 1.46E-01 2.00E-02 2.134E-01
2.500E-03 9.76E-03 1.41E-06 2.67E-02 1.46E-06 1.71E-03 2.48E-12 1.39E-02 7.29E-12 2.37E-06 1.68E-01 2.69E-02 2.470E-01
2.400E-03 1.01E-02 1.61E-06 2.77E-02 1.64E-06 1.53E-03 2.87E-12 1.52E-02 8.46E-12 3.33E-06 1.78E-01 3.01E-02 2.622E-01
2.350E-03 1.03E-02 1.73E-06 2.82E-02 1.74E-06 1.45E-03 3.11E-12 1.59E-02 9.14E-12 3.95E-06 1.83E-01 3.19E-02 2.705E-01
2.320E-03 1.05E-02 1.79E-06 2.85E-02 1.81E-06 1.40E-03 3.27E-12 1.63E-02 9.57E-12 4.26E-06 1.86E-01 3.29E-02 2.754E-01
2.310E-03 1.05E-02 1.82E-06 2.87E-02 1.83E-06 1.39E-03 3.32E-12 1.65E-02 9.72E-12 4.34E-06 1.87E-01 3.33E-02 2.770E-01
2.300E-03 1.05E-02 1.84E-06 2.88E-02 1.85E-06 1.37E-03 3.38E-12 1.66E-02 9.88E-12 4.40E-06 1.88E-01 3.36E-02 2.787E-01
2.250E-03 1.07E-02 1.97E-06 2.94E-02 1.97E-06 1.30E-03 3.68E-12 1.75E-02 1.07E-11 4.58E-06 1.93E-01 3.55E-02 2.876E-01
2.200E-03 1.09E-02 2.11E-06 3.01E-02 2.10E-06 1.23E-03 4.02E-12 1.84E-02 1.16E-11 4.81E-06 1.98E-01 3.73E-02 2.965E-01
2.150E-03 1.11E-02 2.27E-06 3.09E-02 2.23E-06 1.16E-03 4.40E-12 1.94E-02 1.25E-11 5.26E-06 2.04E-01 3.92E-02 3.053E-01
2.120E-03 1.12E-02 2.37E-06 3.14E-02 2.31E-06 1.13E-03 4.66E-12 2.00E-02 1.32E-11 5.49E-06 2.07E-01 4.03E-02 3.108E-01
2.110E-03 1.13E-02 2.40E-06 3.15E-02 2.34E-06 1.12E-03 4.75E-12 2.02E-02 1.34E-11 5.52E-06 2.08E-01 4.07E-02 3.126E-01
2.100E-03 1.13E-02 2.43E-06 3.17E-02 2.36E-06 1.10E-03 4.84E-12 2.04E-02 1.36E-11 5.53E-06 2.09E-01 4.10E-02 3.144E-01
2.080E-03 1.14E-02 2.49E-06 3.19E-02 2.41E-06 1.08E-03 5.03E-12 2.08E-02 1.40E-11 5.49E-06 2.11E-01 4.16E-02 3.175E-01
2.000E-03 1.15E-02 2.81E-06 3.29E-02 2.60E-06 1.00E-03 5.89E-12 2.29E-02 1.59E-11 5.21E-06 2.18E-01 4.46E-02 3.313E-01
1.950E-03 1.17E-02 3.05E-06 3.34E-02 2.70E-06 9.61E-04 6.53E-12 2.42E-02 1.69E-11 5.62E-06 2.22E-01 4.57E-02 3.381E-01
1.900E-03 1.20E-02 3.33E-06 3.36E-02 2.77E-06 9.22E-04 7.25E-12 2.52E-02 1.77E-11 6.80E-06 2.25E-01 4.66E-02 3.430E-01
1.850E-03 1.22E-02 3.64E-06 3.34E-02 2.80E-06 8.88E-04 8.09E-12 2.58E-02 1.81E-11 8.79E-06 2.25E-01 4.72E-02 3.445E-01
1.830E-03 1.23E-02 3.77E-06 3.32E-02 2.80E-06 8.76E-04 8.45E-12 2.59E-02 1.82E-11 9.49E-06 2.25E-01 4.73E-02 3.443E-01
1.820E-03 1.24E-02 3.83E-06 3.30E-02 2.80E-06 8.70E-04 8.64E-12 2.59E-02 1.83E-11 9.72E-06 2.24E-01 4.73E-02 3.439E-01
1.810E-03 1.24E-02 3.90E-06 3.28E-02 2.79E-06 8.64E-04 8.84E-12 2.58E-02 1.83E-11 9.87E-06 2.24E-01 4.75E-02 3.433E-01
1.800E-03 1.25E-02 3.98E-06 3.27E-02 2.79E-06 8.58E-04 9.04E-12 2.57E-02 1.83E-11 9.94E-06 2.24E-01 4.76E-02 3.429E-01
1.750E-03 1.28E-02 4.35E-06 3.13E-02 2.72E-06 8.33E-04 1.01E-11 2.51E-02 1.84E-11 1.02E-05 2.20E-01 4.82E-02 3.386E-01
1.700E-03 1.29E-02 4.76E-06 2.90E-02 2.61E-06 8.14E-04 1.14E-11 2.39E-02 1.86E-11 1.25E-05 2.16E-01 4.94E-02 3.316E-01
1.670E-03 1.31E-02 5.07E-06 2.71E-02 2.53E-06 8.04E-04 1.23E-11 2.30E-02 1.88E-11 1.47E-05 2.13E-01 5.05E-02 3.278E-01
1.650E-03 1.33E-02 5.29E-06 2.57E-02 2.49E-06 7.99E-04 1.29E-11 2.23E-02 1.90E-11 1.55E-05 2.12E-01 5.14E-02 3.252E-01
1.640E-03 1.34E-02 5.40E-06 2.50E-02 2.48E-06 7.96E-04 1.32E-11 2.19E-02 1.91E-11 1.55E-05 2.11E-01 5.18E-02 3.237E-01
1.630E-03 1.34E-02 5.51E-06 2.42E-02 2.46E-06 7.94E-04 1.36E-11 2.15E-02 1.93E-11 1.52E-05 2.10E-01 5.23E-02 3.222E-01
1.610E-03 1.36E-02 5.72E-06 2.25E-02 2.45E-06 7.90E-04 1.43E-11 2.08E-02 1.98E-11 1.42E-05 2.08E-01 5.35E-02 3.195E-01
1.600E-03 1.36E-02 5.84E-06 2.16E-02 2.46E-06 7.88E-04 1.46E-11 2.04E-02 2.00E-11 1.37E-05 2.07E-01 5.42E-02 3.182E-01
1.590E-03 1.37E-02 5.96E-06 2.07E-02 2.48E-06 7.86E-04 1.50E-11 2.01E-02 2.03E-11 1.33E-05 2.07E-01 5.49E-02 3.170E-01
1.580E-03 1.38E-02 6.08E-06 1.99E-02 2.51E-06 7.85E-04 1.54E-11 1.97E-02 2.07E-11 1.31E-05 2.06E-01 5.57E-02 3.159E-01
1.570E-03 1.38E-02 6.20E-06 1.90E-02 2.56E-06 7.84E-04 1.58E-11 1.93E-02 2.11E-11 1.29E-05 2.05E-01 5.66E-02 3.148E-01
1.560E-03 1.39E-02 6.34E-06 1.81E-02 2.63E-06 7.83E-04 1.62E-11 1.90E-02 2.15E-11 1.26E-05 2.05E-01 5.75E-02 3.141E-01
1.540E-03 1.41E-02 6.61E-06 1.66E-02 2.82E-06 7.81E-04 1.71E-11 1.83E-02 2.25E-11 1.23E-05 2.04E-01 5.95E-02 3.133E-01
1.520E-03 1.42E-02 6.86E-06 1.55E-02 3.10E-06 7.81E-04 1.80E-11 1.76E-02 2.37E-11 1.30E-05 2.03E-01 6.17E-02 3.128E-01
1.510E-03 1.43E-02 6.99E-06 1.50E-02 3.26E-06 7.80E-04 1.85E-11 1.73E-02 2.44E-11 1.34E-05 2.03E-01 6.29E-02 3.128E-01
1.500E-03 1.43E-02 7.12E-06 1.47E-02 3.44E-06 7.80E-04 1.90E-11 1.70E-02 2.52E-11 1.35E-05 2.02E-01 6.42E-02 3.131E-01
1.450E-03 1.45E-02 7.96E-06 1.40E-02 4.46E-06 7.85E-04 2.18E-11 1.56E-02 3.05E-11 1.72E-05 2.03E-01 7.30E-02 3.210E-01
1.440E-03 1.46E-02 8.14E-06 1.40E-02 4.68E-06 7.87E-04 2.25E-11 1.54E-02 3.18E-11 1.91E-05 2.04E-01 7.51E-02 3.235E-01
1.430E-03 1.47E-02 8.33E-06 1.40E-02 4.91E-06 7.88E-04 2.31E-11 1.54E-02 3.35E-11 2.06E-05 2.05E-01 7.75E-02 3.272E-01
1.420E-03 1.47E-02 8.52E-06 1.40E-02 5.14E-06 7.90E-04 2.38E-11 1.53E-02 3.53E-11 2.15E-05 2.06E-01 7.99E-02 3.311E-01
1.400E-03 1.49E-02 8.94E-06 1.40E-02 5.63E-06 7.95E-04 2.52E-11 1.54E-02 3.92E-11 2.35E-05 2.10E-01 8.50E-02 3.406E-01
1.380E-03 1.50E-02 9.35E-06 1.40E-02 6.17E-06 8.00E-04 2.67E-11 1.58E-02 4.38E-11 2.97E-05 2.16E-01 9.02E-02 3.517E-01
1.370E-03 1.51E-02 9.58E-06 1.40E-02 6.46E-06 8.03E-04 2.75E-11 1.63E-02 4.63E-11 3.54E-05 2.19E-01 9.27E-02 3.580E-01
1.360E-03 1.52E-02 9.83E-06 1.40E-02 6.77E-06 8.07E-04 2.83E-11 1.68E-02 4.89E-11 4.11E-05 2.23E-01 9.52E-02 3.646E-01
1.350E-03 1.53E-02 1.01E-05 1.41E-02 7.09E-06 8.11E-04 2.92E-11 1.72E-02 5.16E-11 4.40E-05 2.26E-01 9.76E-02 3.712E-01
