 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 2.40E-07 1.30E-16 5.97E-07 1.06E-16 8.84E-09 7.43E-23 1.43E-07 2.14E-22 1.08E-11 7.34E-06 1.56E-12 8.331E-06
9.000E-01 2.81E-07 1.98E-16 7.05E-07 1.61E-16 1.13E-08 1.13E-22 1.69E-07 3.26E-22 1.34E-11 8.55E-06 2.38E-12 9.719E-06
8.000E-01 3.36E-07 3.18E-16 8.50E-07 2.58E-16 1.47E-08 1.82E-22 2.06E-07 5.22E-22 1.69E-11 1.01E-05 3.81E-12 1.156E-05
7.000E-01 4.12E-07 5.42E-16 1.05E-06 4.40E-16 1.97E-08 3.10E-22 2.54E-07 8.91E-22 2.21E-11 1.23E-05 6.49E-12 1.406E-05
6.000E-01 5.21E-07 1.00E-15 1.34E-06 8.16E-16 2.74E-08 5.74E-22 3.26E-07 1.65E-21 3.01E-11 1.54E-05 1.20E-11 1.766E-05
5.500E-01 5.96E-07 1.42E-15 1.54E-06 1.16E-15 3.28E-08 8.12E-22 3.76E-07 2.34E-21 3.58E-11 1.76E-05 1.70E-11 2.010E-05
5.000E-01 6.90E-07 2.08E-15 1.79E-06 1.69E-15 3.98E-08 1.19E-21 4.36E-07 3.42E-21 4.33E-11 2.02E-05 2.49E-11 2.316E-05
4.500E-01 8.13E-07 3.17E-15 2.12E-06 2.58E-15 4.89E-08 1.81E-21 5.20E-07 5.21E-21 5.35E-11 2.36E-05 3.78E-11 2.713E-05
4.000E-01 9.77E-07 5.07E-15 2.57E-06 4.13E-15 6.13E-08 2.90E-21 6.25E-07 8.34E-21 6.77E-11 2.81E-05 6.06E-11 3.236E-05
3.500E-01 1.21E-06 8.65E-15 3.18E-06 7.05E-15 7.86E-08 4.95E-21 7.83E-07 1.42E-20 8.85E-11 3.44E-05 1.03E-10 3.963E-05
