 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 2.40E-07 1.32E-16 3.94E-07 7.08E-17 3.43E-09 2.92E-23 5.70E-08 8.65E-23 8.22E-12 6.05E-06 1.31E-12 6.744E-06
9.000E-01 2.81E-07 2.01E-16 4.65E-07 1.08E-16 4.38E-09 4.45E-23 6.78E-08 1.32E-22 1.01E-11 7.05E-06 1.99E-12 7.864E-06
8.000E-01 3.36E-07 3.22E-16 5.61E-07 1.73E-16 5.71E-09 7.12E-23 8.25E-08 2.11E-22 1.28E-11 8.36E-06 3.18E-12 9.346E-06
7.000E-01 4.12E-07 5.50E-16 6.93E-07 2.95E-16 7.66E-09 1.22E-22 1.02E-07 3.60E-22 1.68E-11 1.02E-05 5.42E-12 1.137E-05
6.000E-01 5.21E-07 1.02E-15 8.85E-07 5.46E-16 1.06E-08 2.25E-22 1.31E-07 6.67E-22 2.28E-11 1.27E-05 1.00E-11 1.427E-05
5.500E-01 5.96E-07 1.44E-15 1.02E-06 7.74E-16 1.27E-08 3.19E-22 1.51E-07 9.44E-22 2.72E-11 1.45E-05 1.42E-11 1.624E-05
5.000E-01 6.90E-07 2.11E-15 1.18E-06 1.13E-15 1.54E-08 4.67E-22 1.74E-07 1.38E-21 3.29E-11 1.66E-05 2.08E-11 1.871E-05
4.500E-01 8.13E-07 3.22E-15 1.40E-06 1.73E-15 1.90E-08 7.12E-22 2.08E-07 2.11E-21 4.06E-11 1.95E-05 3.16E-11 2.190E-05
4.000E-01 9.77E-07 5.15E-15 1.69E-06 2.77E-15 2.38E-08 1.14E-21 2.50E-07 3.37E-21 5.14E-11 2.32E-05 5.06E-11 2.612E-05
3.500E-01 1.21E-06 8.78E-15 2.10E-06 4.72E-15 3.05E-08 1.94E-21 3.13E-07 5.75E-21 6.71E-11 2.83E-05 8.61E-11 3.197E-05
3.000E-01 1.54E-06 1.63E-14 2.69E-06 8.74E-15 4.02E-08 3.60E-21 3.97E-07 1.06E-20 9.13E-11 3.57E-05 1.59E-10 4.037E-05
2.500E-01 2.06E-06 3.37E-14 3.62E-06 1.81E-14 5.48E-08 7.47E-21 5.33E-07 2.21E-20 1.32E-10 4.71E-05 3.30E-10 5.336E-05
2.098E-01 2.74E-06 6.79E-14 4.81E-06 3.66E-14 7.29E-08 1.51E-20 7.09E-07 4.45E-20 1.87E-10 6.16E-05 6.63E-10 6.993E-05
1.500E-01 4.77E-06 2.60E-13 8.33E-06 1.40E-13 1.39E-07 5.76E-20 1.21E-06 1.70E-19 3.65E-10 1.04E-04 2.53E-09 1.181E-04
1.382E-01 5.47E-06 3.60E-13 9.52E-06 1.94E-13 1.64E-07 8.00E-20 1.39E-06 2.36E-19 4.30E-10 1.18E-04 3.50E-09 1.346E-04
1.320E-01 5.91E-06 4.33E-13 1.03E-05 2.33E-13 1.80E-07 9.61E-20 1.50E-06 2.83E-19 4.72E-10 1.27E-04 4.20E-09 1.447E-04
1.150E-01 7.46E-06 7.51E-13 1.29E-05 4.05E-13 2.35E-07 1.67E-19 1.87E-06 4.91E-19 6.22E-10 1.58E-04 7.28E-09 1.805E-04
1.000E-01 9.50E-06 1.31E-12 1.62E-05 7.08E-13 3.09E-07 2.92E-19 2.34E-06 8.59E-19 8.22E-10 1.98E-04 1.27E-08 2.262E-04
9.970E-02 9.55E-06 1.33E-12 1.63E-05 7.17E-13 3.11E-07 2.95E-19 2.35E-06 8.69E-19 8.27E-10 1.99E-04 1.29E-08 2.273E-04
8.670E-02 1.20E-05 2.32E-12 2.06E-05 1.25E-12 4.11E-07 5.16E-19 2.95E-06 1.52E-18 1.09E-09 2.47E-04 2.24E-08 2.833E-04
8.500E-02 1.25E-05 2.51E-12 2.12E-05 1.36E-12 4.27E-07 5.59E-19 3.04E-06 1.64E-18 1.14E-09 2.56E-04 2.43E-08 2.930E-04
7.500E-02 1.58E-05 4.15E-12 2.61E-05 2.24E-12 5.43E-07 9.22E-19 3.71E-06 2.71E-18 1.46E-09 3.20E-04 4.00E-08 3.659E-04
6.000E-02 2.32E-05 1.01E-11 3.77E-05 5.50E-12 8.35E-07 2.25E-18 5.39E-06 6.62E-18 2.28E-09 4.55E-04 9.72E-08 5.223E-04
5.500E-02 2.69E-05 1.43E-11 4.22E-05 7.82E-12 9.84E-07 3.19E-18 6.29E-06 9.39E-18 2.72E-09 5.25E-04 1.38E-07 6.020E-04
5.000E-02 3.21E-05 2.10E-11 5.23E-05 1.15E-11 1.17E-06 4.66E-18 7.49E-06 1.37E-17 3.29E-09 6.23E-04 2.02E-07 7.163E-04
4.500E-02 3.95E-05 3.21E-11 6.92E-05 1.77E-11 1.43E-06 7.11E-18 9.15E-06 2.10E-17 4.06E-09 7.61E-04 3.07E-07 8.808E-04
4.000E-02 5.07E-05 5.14E-11 9.25E-05 2.86E-11 1.79E-06 1.14E-17 1.16E-05 3.36E-17 5.14E-09 9.57E-04 4.90E-07 1.114E-03
3.500E-02 6.36E-05 8.78E-11 1.41E-04 4.93E-11 2.29E-06 1.94E-17 1.53E-05 5.74E-17 6.72E-09 1.18E-03 8.35E-07 1.404E-03
3.000E-02 8.98E-05 1.63E-10 2.19E-04 9.17E-11 3.05E-06 3.60E-17 2.15E-05 1.07E-16 9.15E-09 1.62E-03 1.54E-06 1.957E-03
2.750E-02 1.07E-04 2.31E-10 2.76E-04 1.30E-10 3.60E-06 5.10E-17 2.62E-05 1.51E-16 1.09E-08 1.90E-03 2.18E-06 2.313E-03
2.500E-02 1.29E-04 3.40E-10 3.52E-04 1.90E-10 4.29E-06 7.46E-17 3.29E-05 2.21E-16 1.32E-08 2.27E-03 3.19E-06 2.792E-03
2.400E-02 1.42E-04 4.00E-10 3.89E-04 2.24E-10 4.65E-06 8.79E-17 3.59E-05 2.61E-16 1.43E-08 2.44E-03 3.74E-06 3.019E-03
2.000E-02 2.07E-04 8.36E-10 6.06E-04 4.56E-10 6.58E-06 1.83E-16 5.20E-05 5.40E-16 2.06E-08 3.44E-03 7.73E-06 4.324E-03
1.800E-02 2.58E-04 1.28E-09 7.52E-04 6.85E-10 8.08E-06 2.79E-16 6.46E-05 8.23E-16 2.55E-08 4.23E-03 1.18E-05 5.327E-03
1.600E-02 3.43E-04 2.07E-09 9.35E-04 1.07E-09 1.02E-05 4.47E-16 8.24E-05 1.32E-15 3.23E-08 5.34E-03 1.88E-05 6.731E-03
1.500E-02 4.08E-04 2.69E-09 1.05E-03 1.37E-09 1.17E-05 5.79E-16 9.35E-05 1.71E-15 3.68E-08 6.07E-03 2.42E-05 7.657E-03
1.400E-02 4.64E-04 3.55E-09 1.18E-03 1.79E-09 1.35E-05 7.65E-16 1.08E-04 2.25E-15 4.23E-08 6.77E-03 3.18E-05 8.566E-03
1.200E-02 7.09E-04 6.66E-09 1.50E-03 3.20E-09 1.87E-05 1.42E-15 1.48E-04 4.18E-15 5.77E-08 9.16E-03 5.80E-05 1.159E-02
