 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.000E+00   3.531E-04   5.540E-04   0.000E+00   3.504E-06
   9.000E-01   4.137E-04   6.540E-04   0.000E+00   4.103E-06
   8.000E-01   4.941E-04   7.878E-04   0.000E+00   4.900E-06
   7.000E-01   6.051E-04   9.734E-04   0.000E+00   5.986E-06
   6.000E-01   7.658E-04   1.244E-03   0.000E+00   7.562E-06
   5.500E-01   8.754E-04   1.429E-03   0.000E+00   8.633E-06
   5.000E-01   1.014E-03   1.664E-03   0.000E+00   9.976E-06
   4.500E-01   1.194E-03   1.970E-03   0.000E+00   1.173E-05
   4.000E-01   1.436E-03   2.380E-03   0.000E+00   1.404E-05
   3.500E-01   1.771E-03   2.951E-03   0.000E+00   1.727E-05
   3.000E-01   2.262E-03   3.785E-03   0.000E+00   2.190E-05
   2.500E-01   3.029E-03   5.087E-03   0.000E+00   2.910E-05
   2.098E-01   4.025E-03   6.763E-03   0.000E+00   3.832E-05
   1.500E-01   6.997E-03   1.170E-02   0.000E+00   6.529E-05
   1.382E-01   8.025E-03   1.338E-02   0.000E+00   7.451E-05
   1.320E-01   8.669E-03   1.443E-02   0.000E+00   8.022E-05
   1.150E-01   1.095E-02   1.811E-02   0.000E+00   1.003E-04
   1.000E-01   1.393E-02   2.277E-02   0.000E+00   1.259E-04
   9.970E-02   1.400E-02   2.289E-02   0.000E+00   1.266E-04
   8.670E-02   1.763E-02   2.887E-02   0.000E+00   1.584E-04
   8.500E-02   1.826E-02   2.984E-02   0.000E+00   1.638E-04
   7.500E-02   2.317E-02   3.672E-02   0.000E+00   2.038E-04
   6.000E-02   3.407E-02   5.311E-02   0.000E+00   2.927E-04
   5.500E-02   3.948E-02   5.960E-02   0.000E+00   3.359E-04
   5.000E-02   4.700E-02   7.408E-02   0.000E+00   4.030E-04
   4.500E-02   5.792E-02   9.842E-02   0.000E+00   5.030E-04
   4.000E-02   7.443E-02   1.320E-01   0.000E+00   6.443E-04
   3.500E-02   9.332E-02   2.015E-01   0.000E+00   8.524E-04
   3.000E-02   1.318E-01   3.148E-01   0.000E+00   1.225E-03
   2.750E-02   1.574E-01   3.960E-01   0.000E+00   1.478E-03
   2.500E-02   1.896E-01   5.037E-01   0.000E+00   1.817E-03
   2.400E-02   2.083E-01   5.572E-01   0.000E+00   1.982E-03
   2.000E-02   3.052E-01   8.588E-01   0.000E+00   2.919E-03
   1.800E-02   3.809E-01   1.056E+00   0.000E+00   3.609E-03
   1.600E-02   5.073E-01   1.298E+00   0.000E+00   4.551E-03
   1.500E-02   6.055E-01   1.446E+00   0.000E+00   5.165E-03
   1.400E-02   6.890E-01   1.611E+00   0.000E+00   5.806E-03
   1.200E-02   1.056E+00   2.014E+00   0.000E+00   7.778E-03
   1.000E-02   1.607E+00   2.591E+00   0.000E+00   1.074E-02
   9.000E-03   2.145E+00   2.912E+00   0.000E+00   1.300E-02
   8.000E-03   2.830E+00   3.352E+00   0.000E+00   1.575E-02
   7.500E-03   3.317E+00   3.696E+00   0.000E+00   1.786E-02
   7.000E-03   3.992E+00   4.119E+00   0.000E+00   2.042E-02
   6.000E-03   5.669E+00   5.213E+00   0.000E+00   2.727E-02
   5.000E-03   7.874E+00   7.230E+00   0.000E+00   3.861E-02
   4.500E-03   9.472E+00   8.634E+00   0.000E+00   4.744E-02
   4.000E-03   1.091E+01   1.021E+01   0.000E+00   5.896E-02
   3.500E-03   1.271E+01   1.181E+01   0.000E+00   7.444E-02
   3.000E-03   1.480E+01   1.303E+01   0.000E+00   9.551E-02
   2.750E-03   1.562E+01   1.334E+01   0.000E+00   1.081E-01
