 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 2.05E-07 1.14E-16 3.80E-07 6.92E-17 4.77E-09 4.10E-23 4.44E-08 6.81E-23 5.28E-12 6.14E-06 1.34E-12 6.776E-06
9.000E-01 2.40E-07 1.74E-16 4.48E-07 1.05E-16 6.09E-09 6.24E-23 5.28E-08 1.04E-22 6.52E-12 7.15E-06 2.05E-12 7.901E-06
8.000E-01 2.86E-07 2.79E-16 5.40E-07 1.69E-16 7.94E-09 1.00E-22 6.43E-08 1.66E-22 8.25E-12 8.49E-06 3.27E-12 9.389E-06
7.000E-01 3.51E-07 4.75E-16 6.67E-07 2.88E-16 1.06E-08 1.71E-22 7.92E-08 2.83E-22 1.08E-11 1.03E-05 5.58E-12 1.142E-05
6.000E-01 4.44E-07 8.80E-16 8.53E-07 5.34E-16 1.48E-08 3.16E-22 1.02E-07 5.25E-22 1.47E-11 1.29E-05 1.03E-11 1.433E-05
5.500E-01 5.07E-07 1.25E-15 9.80E-07 7.56E-16 1.77E-08 4.48E-22 1.17E-07 7.43E-22 1.75E-11 1.47E-05 1.46E-11 1.631E-05
5.000E-01 5.88E-07 1.82E-15 1.14E-06 1.11E-15 2.15E-08 6.55E-22 1.36E-07 1.09E-21 2.11E-11 1.69E-05 2.14E-11 1.878E-05
4.500E-01 6.92E-07 2.78E-15 1.35E-06 1.69E-15 2.64E-08 9.99E-22 1.62E-07 1.66E-21 2.61E-11 1.98E-05 3.25E-11 2.199E-05
4.000E-01 8.32E-07 4.45E-15 1.63E-06 2.70E-15 3.31E-08 1.60E-21 1.95E-07 2.65E-21 3.30E-11 2.35E-05 5.20E-11 2.623E-05
3.500E-01 1.03E-06 7.59E-15 2.02E-06 4.61E-15 4.24E-08 2.73E-21 2.44E-07 4.53E-21 4.31E-11 2.88E-05 8.86E-11 3.209E-05
3.000E-01 1.31E-06 1.41E-14 2.59E-06 8.54E-15 5.58E-08 5.06E-21 3.10E-07 8.38E-21 5.87E-11 3.62E-05 1.64E-10 4.052E-05
2.500E-01 1.76E-06 2.91E-14 3.49E-06 1.77E-14 7.62E-08 1.05E-20 4.16E-07 1.74E-20 8.45E-11 4.78E-05 3.39E-10 5.355E-05
2.098E-01 2.33E-06 5.87E-14 4.64E-06 3.57E-14 1.01E-07 2.11E-20 5.53E-07 3.50E-20 1.20E-10 6.25E-05 6.82E-10 7.017E-05
1.500E-01 4.06E-06 2.24E-13 8.02E-06 1.37E-13 1.93E-07 8.09E-20 9.47E-07 1.34E-19 2.35E-10 1.05E-04 2.60E-09 1.185E-04
1.382E-01 4.66E-06 3.11E-13 9.17E-06 1.90E-13 2.28E-07 1.12E-19 1.09E-06 1.86E-19 2.77E-10 1.20E-04 3.60E-09 1.350E-04
1.320E-01 5.03E-06 3.74E-13 9.89E-06 2.28E-13 2.49E-07 1.35E-19 1.17E-06 2.23E-19 3.03E-10 1.29E-04 4.33E-09 1.452E-04
1.150E-01 6.36E-06 6.49E-13 1.24E-05 3.96E-13 3.27E-07 2.34E-19 1.46E-06 3.87E-19 4.00E-10 1.60E-04 7.49E-09 1.810E-04
1.000E-01 8.09E-06 1.13E-12 1.56E-05 6.92E-13 4.29E-07 4.09E-19 1.82E-06 6.76E-19 5.28E-10 2.01E-04 1.31E-08 2.268E-04
9.970E-02 8.13E-06 1.15E-12 1.57E-05 7.01E-13 4.32E-07 4.14E-19 1.83E-06 6.85E-19 5.32E-10 2.02E-04 1.32E-08 2.280E-04
8.670E-02 1.02E-05 2.01E-12 1.98E-05 1.23E-12 5.71E-07 7.24E-19 2.30E-06 1.20E-18 7.03E-10 2.51E-04 2.31E-08 2.841E-04
8.500E-02 1.06E-05 2.17E-12 2.05E-05 1.33E-12 5.94E-07 7.84E-19 2.37E-06 1.30E-18 7.31E-10 2.60E-04 2.50E-08 2.939E-04
