 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 2.39E-07 1.32E-16 4.00E-07 7.18E-17 5.83E-09 4.96E-23 6.67E-08 1.01E-22 4.76E-12 8.82E-06 1.90E-12 9.533E-06
9.000E-01 2.80E-07 2.00E-16 4.72E-07 1.10E-16 7.44E-09 7.56E-23 7.93E-08 1.54E-22 5.87E-12 1.03E-05 2.90E-12 1.111E-05
8.000E-01 3.35E-07 3.21E-16 5.69E-07 1.75E-16 9.71E-09 1.21E-22 9.66E-08 2.47E-22 7.43E-12 1.22E-05 4.64E-12 1.320E-05
7.000E-01 4.10E-07 5.47E-16 7.03E-07 2.99E-16 1.30E-08 2.06E-22 1.19E-07 4.21E-22 9.71E-12 1.48E-05 7.90E-12 1.605E-05
6.000E-01 5.19E-07 1.01E-15 8.98E-07 5.54E-16 1.81E-08 3.82E-22 1.53E-07 7.80E-22 1.32E-11 1.86E-05 1.46E-11 2.014E-05
5.500E-01 5.93E-07 1.44E-15 1.03E-06 7.85E-16 2.16E-08 5.42E-22 1.76E-07 1.10E-21 1.57E-11 2.11E-05 2.07E-11 2.291E-05
5.000E-01 6.87E-07 2.10E-15 1.20E-06 1.15E-15 2.62E-08 7.93E-22 2.04E-07 1.62E-21 1.90E-11 2.43E-05 3.03E-11 2.639E-05
4.500E-01 8.09E-07 3.20E-15 1.42E-06 1.75E-15 3.23E-08 1.21E-21 2.43E-07 2.46E-21 2.35E-11 2.84E-05 4.61E-11 3.089E-05
4.000E-01 9.73E-07 5.13E-15 1.72E-06 2.81E-15 4.05E-08 1.94E-21 2.92E-07 3.94E-21 2.97E-11 3.38E-05 7.37E-11 3.683E-05
3.500E-01 1.20E-06 8.74E-15 2.13E-06 4.79E-15 5.18E-08 3.30E-21 3.66E-07 6.73E-21 3.88E-11 4.13E-05 1.26E-10 4.505E-05
3.000E-01 1.53E-06 1.62E-14 2.73E-06 8.87E-15 6.83E-08 6.12E-21 4.65E-07 1.25E-20 5.28E-11 5.21E-05 2.32E-10 5.686E-05
2.500E-01 2.05E-06 3.35E-14 3.67E-06 1.84E-14 9.32E-08 1.27E-20 6.24E-07 2.58E-20 7.61E-11 6.87E-05 4.81E-10 7.512E-05
2.098E-01 2.73E-06 6.76E-14 4.88E-06 3.71E-14 1.24E-07 2.56E-20 8.30E-07 5.20E-20 1.08E-10 8.98E-05 9.67E-10 9.839E-05
1.500E-01 4.75E-06 2.58E-13 8.45E-06 1.42E-13 2.36E-07 9.79E-20 1.42E-06 1.99E-19 2.11E-10 1.51E-04 3.68E-09 1.661E-04
1.382E-01 5.44E-06 3.59E-13 9.66E-06 1.97E-13 2.79E-07 1.36E-19 1.63E-06 2.76E-19 2.49E-10 1.72E-04 5.10E-09 1.891E-04
1.320E-01 5.88E-06 4.31E-13 1.04E-05 2.37E-13 3.05E-07 1.63E-19 1.75E-06 3.31E-19 2.73E-10 1.85E-04 6.13E-09 2.034E-04
1.150E-01 7.43E-06 7.47E-13 1.31E-05 4.11E-13 4.00E-07 2.83E-19 2.19E-06 5.75E-19 3.60E-10 2.30E-04 1.06E-08 2.535E-04
1.000E-01 9.45E-06 1.31E-12 1.64E-05 7.19E-13 5.25E-07 4.96E-19 2.73E-06 1.00E-18 4.76E-10 2.88E-04 1.85E-08 3.177E-04
9.970E-02 9.50E-06 1.32E-12 1.65E-05 7.27E-13 5.28E-07 5.02E-19 2.75E-06 1.02E-18 4.79E-10 2.90E-04 1.88E-08 3.192E-04
