 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 1.97E-07 9.55E-17 4.76E-07 7.53E-17 8.37E-09 6.51E-23 1.25E-07 1.73E-22 9.50E-12 3.39E-06 6.54E-13 4.197E-06
9.000E-01 2.31E-07 1.46E-16 5.62E-07 1.15E-16 1.07E-08 9.92E-23 1.48E-07 2.64E-22 1.17E-11 3.95E-06 9.96E-13 4.901E-06
8.000E-01 2.75E-07 2.33E-16 6.77E-07 1.84E-16 1.39E-08 1.59E-22 1.80E-07 4.22E-22 1.48E-11 4.69E-06 1.59E-12 5.834E-06
7.000E-01 3.37E-07 3.97E-16 8.36E-07 3.14E-16 1.87E-08 2.71E-22 2.22E-07 7.20E-22 1.94E-11 5.69E-06 2.72E-12 7.106E-06
6.000E-01 4.27E-07 7.36E-16 1.07E-06 5.81E-16 2.59E-08 5.02E-22 2.85E-07 1.33E-21 2.64E-11 7.13E-06 5.02E-12 8.940E-06
5.500E-01 4.88E-07 1.04E-15 1.23E-06 8.23E-16 3.10E-08 7.11E-22 3.29E-07 1.89E-21 3.14E-11 8.11E-06 7.11E-12 1.018E-05
5.000E-01 5.66E-07 1.53E-15 1.43E-06 1.21E-15 3.76E-08 1.04E-21 3.81E-07 2.77E-21 3.80E-11 9.33E-06 1.04E-11 1.174E-05
4.500E-01 6.66E-07 2.32E-15 1.69E-06 1.84E-15 4.63E-08 1.59E-21 4.55E-07 4.21E-21 4.69E-11 1.09E-05 1.58E-11 1.377E-05
4.000E-01 8.01E-07 3.72E-15 2.04E-06 2.94E-15 5.81E-08 2.54E-21 5.46E-07 6.75E-21 5.94E-11 1.30E-05 2.53E-11 1.644E-05
3.500E-01 9.88E-07 6.35E-15 2.54E-06 5.02E-15 7.44E-08 4.34E-21 6.84E-07 1.15E-20 7.75E-11 1.59E-05 4.31E-11 2.016E-05
3.000E-01 1.26E-06 1.17E-14 3.25E-06 9.30E-15 9.79E-08 8.04E-21 8.68E-07 2.13E-20 1.06E-10 2.00E-05 7.98E-11 2.549E-05
