 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 2.11E-07 1.06E-16 3.95E-07 6.46E-17 7.77E-09 6.19E-23 1.40E-07 1.99E-22 1.65E-11 7.70E-07 1.53E-13 1.524E-06
9.000E-01 2.48E-07 1.62E-16 4.66E-07 9.85E-17 9.92E-09 9.44E-23 1.67E-07 3.04E-22 2.04E-11 8.97E-07 2.33E-13 1.787E-06
8.000E-01 2.96E-07 2.59E-16 5.61E-07 1.58E-16 1.29E-08 1.51E-22 2.03E-07 4.87E-22 2.58E-11 1.06E-06 3.73E-13 2.138E-06
7.000E-01 3.62E-07 4.41E-16 6.93E-07 2.69E-16 1.74E-08 2.58E-22 2.50E-07 8.30E-22 3.37E-11 1.29E-06 6.35E-13 2.615E-06
6.000E-01 4.58E-07 8.17E-16 8.86E-07 4.99E-16 2.41E-08 4.78E-22 3.21E-07 1.54E-21 4.59E-11 1.62E-06 1.18E-12 3.310E-06
5.500E-01 5.24E-07 1.16E-15 1.02E-06 7.06E-16 2.88E-08 6.77E-22 3.70E-07 2.18E-21 5.46E-11 1.84E-06 1.66E-12 3.782E-06
5.000E-01 6.07E-07 1.69E-15 1.19E-06 1.03E-15 3.50E-08 9.91E-22 4.29E-07 3.19E-21 6.60E-11 2.12E-06 2.43E-12 4.376E-06
4.500E-01 7.15E-07 2.58E-15 1.40E-06 1.58E-15 4.30E-08 1.51E-21 5.12E-07 4.86E-21 8.15E-11 2.48E-06 3.70E-12 5.151E-06
4.000E-01 8.60E-07 4.13E-15 1.70E-06 2.53E-15 5.39E-08 2.42E-21 6.15E-07 7.78E-21 1.03E-10 2.95E-06 5.93E-12 6.175E-06
3.500E-01 1.06E-06 7.05E-15 2.10E-06 4.31E-15 6.91E-08 4.13E-21 7.70E-07 1.33E-20 1.35E-10 3.61E-06 1.01E-11 7.608E-06
3.000E-01 1.36E-06 1.30E-14 2.70E-06 7.98E-15 9.10E-08 7.65E-21 9.77E-07 2.46E-20 1.83E-10 4.55E-06 1.87E-11 9.664E-06
2.500E-01 1.82E-06 2.70E-14 3.62E-06 1.65E-14 1.24E-07 1.59E-20 1.31E-06 5.09E-20 2.64E-10 6.00E-06 3.86E-11 1.287E-05
2.098E-01 2.41E-06 5.45E-14 4.82E-06 3.34E-14 1.65E-07 3.20E-20 1.75E-06 1.03E-19 3.75E-10 7.84E-06 7.77E-11 1.698E-05
1.500E-01 4.20E-06 2.08E-13 8.34E-06 1.28E-13 3.15E-07 1.22E-19 2.99E-06 3.92E-19 7.34E-10 1.32E-05 2.96E-10 2.904E-05
1.382E-01 4.81E-06 2.89E-13 9.53E-06 1.77E-13 3.71E-07 1.70E-19 3.43E-06 5.44E-19 8.65E-10 1.50E-05 4.10E-10 3.316E-05
