 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 1.38E-07 6.86E-17 2.65E-07 4.32E-17 6.81E-09 5.40E-23 1.14E-07 1.62E-22 1.58E-11 0.00E+00 0.00E+00 5.241E-07
9.000E-01 1.61E-07 1.05E-16 3.13E-07 6.58E-17 8.69E-09 8.24E-23 1.36E-07 2.46E-22 1.95E-11 0.00E+00 0.00E+00 6.191E-07
8.000E-01 1.93E-07 1.67E-16 3.78E-07 1.05E-16 1.13E-08 1.32E-22 1.65E-07 3.94E-22 2.47E-11 0.00E+00 0.00E+00 7.468E-07
7.000E-01 2.36E-07 2.85E-16 4.66E-07 1.80E-16 1.52E-08 2.25E-22 2.03E-07 6.73E-22 3.22E-11 0.00E+00 0.00E+00 9.209E-07
6.000E-01 2.99E-07 5.29E-16 5.96E-07 3.33E-16 2.11E-08 4.17E-22 2.61E-07 1.25E-21 4.38E-11 0.00E+00 0.00E+00 1.177E-06
5.500E-01 3.41E-07 7.48E-16 6.85E-07 4.72E-16 2.53E-08 5.90E-22 3.01E-07 1.76E-21 5.22E-11 0.00E+00 0.00E+00 1.353E-06
5.000E-01 3.95E-07 1.10E-15 7.97E-07 6.91E-16 3.07E-08 8.64E-22 3.49E-07 2.58E-21 6.31E-11 0.00E+00 0.00E+00 1.573E-06
4.500E-01 4.66E-07 1.67E-15 9.44E-07 1.05E-15 3.77E-08 1.32E-21 4.16E-07 3.93E-21 7.79E-11 0.00E+00 0.00E+00 1.864E-06
4.000E-01 5.60E-07 2.67E-15 1.14E-06 1.69E-15 4.73E-08 2.11E-21 5.00E-07 6.30E-21 9.86E-11 0.00E+00 0.00E+00 2.248E-06
3.500E-01 6.91E-07 4.56E-15 1.41E-06 2.88E-15 6.06E-08 3.60E-21 6.27E-07 1.07E-20 1.29E-10 0.00E+00 0.00E+00 2.793E-06
3.000E-01 8.82E-07 8.44E-15 1.81E-06 5.33E-15 7.97E-08 6.67E-21 7.95E-07 1.99E-20 1.75E-10 0.00E+00 0.00E+00 3.572E-06
2.500E-01 1.18E-06 1.75E-14 2.44E-06 1.11E-14 1.09E-07 1.38E-20 1.07E-06 4.12E-20 2.52E-10 0.00E+00 0.00E+00 4.797E-06
