 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.210E-03 2.67E+02 3.30E-01 1.08E+02 8.09E-02 5.82E+00 3.12E-07 1.11E+02 4.01E-07 9.96E-01 1.66E+03 7.42E+02 2.893E+03
1.200E-03 2.67E+02 3.39E-01 1.19E+02 8.65E-02 5.86E+00 3.23E-07 1.16E+02 4.19E-07 1.10E+00 1.68E+03 7.46E+02 2.934E+03
1.190E-03 2.70E+02 3.49E-01 1.32E+02 9.15E-02 5.91E+00 3.34E-07 1.21E+02 4.39E-07 1.10E+00 1.70E+03 7.50E+02 2.979E+03
1.180E-03 2.72E+02 3.59E-01 1.44E+02 9.57E-02 5.95E+00 3.46E-07 1.26E+02 4.57E-07 1.09E+00 1.72E+03 7.51E+02 3.017E+03
1.170E-03 2.73E+02 3.68E-01 1.56E+02 9.93E-02 6.00E+00 3.59E-07 1.32E+02 4.77E-07 1.22E+00 1.73E+03 7.52E+02 3.054E+03
1.160E-03 2.75E+02 3.78E-01 1.66E+02 1.02E-01 6.08E+00 3.74E-07 1.37E+02 4.96E-07 1.57E+00 1.75E+03 7.53E+02 3.088E+03
1.150E-03 2.77E+02 3.88E-01 1.75E+02 1.05E-01 8.54E+00 3.69E-07 1.42E+02 5.17E-07 2.29E+00 1.76E+03 7.54E+02 3.121E+03
1.140E-03 2.77E+02 3.98E-01 1.83E+02 1.07E-01 6.34E+00 3.93E-07 1.48E+02 5.39E-07 3.45E+00 1.78E+03 7.55E+02 3.151E+03
1.130E-03 2.78E+02 4.08E-01 1.90E+02 1.10E-01 6.33E+00 4.09E-07 1.54E+02 5.64E-07 4.21E+00 1.79E+03 7.57E+02 3.182E+03
1.120E-03 2.79E+02 4.20E-01 1.96E+02 1.12E-01 6.37E+00 4.24E-07 1.60E+02 5.88E-07 3.39E+00 1.81E+03 7.57E+02 3.210E+03
1.110E-03 2.80E+02 4.32E-01 2.03E+02 1.15E-01 6.42E+00 4.40E-07 1.67E+02 6.14E-07 2.15E+00 1.82E+03 7.56E+02 3.236E+03
1.090E-03 2.82E+02 4.58E-01 2.15E+02 1.20E-01 6.55E+00 4.74E-07 1.81E+02 6.68E-07 8.91E-01 1.85E+03 7.54E+02 3.288E+03
1.050E-03 2.88E+02 5.22E-01 2.37E+02 1.29E-01 6.86E+00 5.51E-07 2.19E+02 7.93E-07 2.91E-01 1.90E+03 7.36E+02 3.387E+03
1.000E-03 2.99E+02 6.16E-01 2.59E+02 1.37E-01 7.31E+00 6.71E-07 2.53E+02 8.49E-07 1.43E-01 1.89E+03 6.80E+02 3.387E+03
9.800E-04 3.04E+02 6.60E-01 2.64E+02 1.36E-01 7.52E+00 7.27E-07 2.66E+02 8.73E-07 1.23E-01 1.88E+03 6.60E+02 3.382E+03
9.600E-04 3.08E+02 7.09E-01 2.63E+02 1.33E-01 7.74E+00 7.90E-07 2.78E+02 8.80E-07 1.13E-01 1.86E+03 6.30E+02 3.350E+03
9.500E-04 3.12E+02 7.33E-01 2.60E+02 1.31E-01 7.86E+00 8.24E-07 2.81E+02 8.61E-07 1.12E-01 1.84E+03 6.09E+02 3.315E+03
9.400E-04 3.14E+02 7.57E-01 2.55E+02 1.28E-01 7.98E+00 8.60E-07 2.80E+02 8.25E-07 1.12E-01 1.82E+03 5.84E+02 3.259E+03
9.200E-04 3.19E+02 8.08E-01 2.43E+02 1.23E-01 8.24E+00 9.37E-07 2.61E+02 6.86E-07 1.19E-01 1.74E+03 5.30E+02 3.096E+03
8.900E-04 3.27E+02 9.03E-01 2.15E+02 1.15E-01 8.66E+00 1.07E-06 2.06E+02 4.40E-07 1.77E-01 1.58E+03 4.65E+02 2.805E+03
8.700E-04 3.29E+02 9.65E-01 1.94E+02 1.13E-01 8.97E+00 1.17E-06 1.72E+02 3.26E-07 4.05E-01 1.49E+03 4.46E+02 2.640E+03
8.600E-04 3.32E+02 1.00E+00 1.85E+02 1.13E-01 9.14E+00 1.23E-06 1.58E+02 2.88E-07 6.15E-01 1.45E+03 4.44E+02 2.582E+03
8.500E-04 3.34E+02 1.04E+00 1.74E+02 1.12E-01 9.31E+00 1.29E-06 1.45E+02 2.57E-07 4.37E-01 1.42E+03 4.42E+02 2.524E+03
8.400E-04 3.37E+02 1.09E+00 1.62E+02 1.12E-01 9.48E+00 1.35E-06 1.33E+02 2.25E-07 3.11E-01 1.38E+03 4.40E+02 2.465E+03
8.200E-04 3.41E+02 1.16E+00 1.35E+02 1.15E-01 9.85E+00 1.48E-06 1.02E+02 1.61E-07 3.16E-01 1.29E+03 4.40E+02 2.316E+03
8.000E-04 3.45E+02 1.26E+00 1.09E+02 1.27E-01 1.02E+01 1.64E-06 6.99E+01 1.24E-07 4.66E-01 1.19E+03 4.70E+02 2.193E+03
7.900E-04 3.49E+02 1.31E+00 9.92E+01 1.37E-01 1.04E+01 1.72E-06 5.88E+01 1.34E-07 5.83E-01 1.16E+03 5.04E+02 2.183E+03
7.800E-04 3.51E+02 1.36E+00 9.10E+01 1.48E-01 1.07E+01 1.81E-06 4.78E+01 1.52E-07 6.99E-01 1.13E+03 5.42E+02 2.172E+03
7.700E-04 3.51E+02 1.41E+00 8.39E+01 1.61E-01 1.09E+01 1.91E-06 3.93E+01 1.81E-07 7.51E-01 1.11E+03 5.87E+02 2.180E+03
7.600E-04 3.52E+02 1.46E+00 7.79E+01 1.74E-01 1.11E+01 2.01E-06 3.34E+01 2.20E-07 6.97E-01 1.09E+03 6.37E+02 2.207E+03
7.500E-04 3.53E+02 1.53E+00 7.25E+01 1.89E-01 1.13E+01 2.12E-06 2.80E+01 2.68E-07 5.74E-01 1.08E+03 6.91E+02 2.241E+03
7.300E-04 3.57E+02 1.67E+00 6.42E+01 2.23E-01 1.18E+01 2.36E-06 2.35E+01 3.82E-07 3.52E-01 1.09E+03 7.98E+02 2.351E+03
7.200E-04 3.59E+02 1.74E+00 6.16E+01 2.43E-01 1.21E+01 2.49E-06 2.27E+01 4.42E-07 2.90E-01 1.10E+03 8.43E+02 2.402E+03
7.100E-04 3.59E+02 1.82E+00 5.99E+01 2.63E-01 1.24E+01 2.64E-06 2.20E+01 5.08E-07 2.84E-01 1.11E+03 8.93E+02 2.459E+03
7.000E-04 3.63E+02 1.91E+00 5.83E+01 2.83E-01 1.26E+01 2.79E-06 2.18E+01 5.76E-07 3.99E-01 1.12E+03 9.37E+02 2.518E+03
6.900E-04 3.65E+02 1.98E+00 5.60E+01 3.05E-01 1.29E+01 2.95E-06 2.17E+01 6.49E-07 2.27E-01 1.13E+03 9.77E+02 2.564E+03
6.800E-04 3.60E+02 2.06E+00 5.31E+01 3.27E-01 1.32E+01 3.13E-06 2.17E+01 7.22E-07 1.73E-01 1.13E+03 1.02E+03 2.603E+03
6.600E-04 3.62E+02 2.32E+00 4.78E+01 3.81E-01 1.39E+01 3.52E-06 2.17E+01 8.87E-07 1.63E-01 1.15E+03 1.12E+03 2.722E+03
6.400E-04 3.72E+02 2.62E+00 4.14E+01 4.44E-01 1.46E+01 3.98E-06 2.16E+01 1.08E-06 2.56E-01 1.18E+03 1.21E+03 2.843E+03
6.300E-04 3.80E+02 2.77E+00 3.87E+01 4.82E-01 1.48E+01 4.24E-06 2.16E+01 1.18E-06 4.11E-01 1.20E+03 1.24E+03 2.897E+03
6.200E-04 3.82E+02 2.90E+00 3.80E+01 5.24E-01 1.54E+01 4.52E-06 2.15E+01 1.29E-06 5.66E-01 1.21E+03 1.28E+03 2.945E+03
6.100E-04 3.86E+02 3.07E+00 3.78E+01 5.64E-01 1.58E+01 4.82E-06 2.13E+01 1.41E-06 4.03E-01 1.22E+03 1.32E+03 3.000E+03
5.900E-04 4.02E+02 3.45E+00 3.11E+01 6.57E-01 1.67E+01 5.50E-06 2.10E+01 1.69E-06 1.67E-01 1.25E+03 1.39E+03 3.109E+03
5.500E-04 3.88E+02 4.15E+00 2.30E+01 9.26E-01 1.87E+01 7.26E-06 2.07E+01 2.43E-06 1.33E-01 1.24E+03 1.58E+03 3.275E+03
5.300E-04 3.92E+02 4.78E+00 2.05E+01 1.10E+00 1.99E+01 8.41E-06 2.08E+01 2.91E-06 2.25E-01 1.26E+03 1.68E+03 3.396E+03
5.200E-04 3.93E+02 5.11E+00 1.93E+01 1.20E+00 2.05E+01 9.07E-06 2.08E+01 3.19E-06 3.72E-01 1.26E+03 1.73E+03 3.453E+03
5.100E-04 3.97E+02 5.50E+00 1.81E+01 1.31E+00 2.12E+01 9.79E-06 2.09E+01 3.50E-06 5.25E-01 1.27E+03 1.78E+03 3.515E+03
5.000E-04 4.01E+02 5.92E+00 1.67E+01 1.46E+00 2.18E+01 1.06E-05 2.10E+01 3.84E-06 3.68E-01 1.29E+03 1.82E+03 3.574E+03
4.800E-04 4.07E+02 6.84E+00 1.48E+01 1.75E+00 2.33E+01 1.24E-05 2.14E+01 4.64E-06 1.52E-01 1.31E+03 1.91E+03 3.688E+03
4.500E-04 4.22E+02 8.56E+00 1.24E+01 2.33E+00 2.58E+01 1.61E-05 2.21E+01 6.19E-06 1.04E-01 1.34E+03 2.02E+03 3.853E+03
4.000E-04 4.40E+02 1.31E+01 9.20E+00 3.88E+00 3.11E+01 2.56E-05 2.38E+01 1.04E-05 1.10E-01 1.39E+03 2.20E+03 4.114E+03
3.800E-04 4.51E+02 1.58E+01 8.12E+00 4.83E+00 3.37E+01 3.13E-05 2.46E+01 1.29E-05 1.24E-01 1.41E+03 2.26E+03 4.211E+03
3.600E-04 4.62E+02 1.93E+01 7.13E+00 6.07E+00 3.66E+01 3.87E-05 2.54E+01 1.62E-05 1.57E-01 1.43E+03 2.31E+03 4.301E+03
3.400E-04 4.86E+02 2.37E+01 6.28E+00 7.72E+00 4.01E+01 4.85E-05 2.63E+01 2.06E-05 3.77E-01 1.46E+03 2.34E+03 4.389E+03
3.300E-04 4.85E+02 2.62E+01 5.88E+00 8.75E+00 4.20E+01 5.45E-05 2.67E+01 2.33E-05 1.10E+00 1.46E+03 2.36E+03 4.423E+03
3.200E-04 4.88E+02 2.94E+01 5.47E+00 9.94E+00 4.41E+01 6.15E-05 2.72E+01 2.65E-05 3.82E-01 1.47E+03 2.39E+03 4.459E+03
3.150E-04 4.93E+02 3.13E+01 5.30E+00 1.06E+01 4.52E+01 6.55E-05 2.74E+01 2.82E-05 2.71E-01 1.47E+03 2.39E+03 4.480E+03
3.100E-04 4.99E+02 3.32E+01 5.12E+00 1.13E+01 4.63E+01 6.97E-05 2.76E+01 3.02E-05 2.27E-01 1.48E+03 2.40E+03 4.500E+03
3.080E-04 5.00E+02 3.39E+01 5.05E+00 1.17E+01 4.68E+01 7.15E-05 2.77E+01 3.10E-05 2.17E-01 1.48E+03 2.40E+03 4.507E+03
3.050E-04 5.02E+02 3.52E+01 4.94E+00 1.21E+01 4.76E+01 7.43E-05 2.79E+01 3.23E-05 2.07E-01 1.49E+03 2.40E+03 4.519E+03
3.000E-04 5.06E+02 3.74E+01 4.78E+00 1.30E+01 4.88E+01 7.93E-05 2.82E+01 3.46E-05 1.99E-01 1.49E+03 2.41E+03 4.538E+03
2.900E-04 5.17E+02 4.23E+01 4.46E+00 1.49E+01 5.15E+01 9.06E-05 2.88E+01 3.97E-05 1.97E-01 1.50E+03 2.42E+03 4.578E+03
