 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.320E-05 3.31E+03 2.41E+03 1.02E+04 7.99E+03 1.52E+03 4.82E+00 7.94E+03 1.98E+01 3.28E+02 2.90E+03 3.50E+03 4.009E+04
1.280E-05 3.31E+03 2.42E+03 1.02E+04 7.89E+03 1.62E+03 6.32E+00 8.73E+03 2.25E+01 3.65E+02 2.89E+03 3.50E+03 4.092E+04
1.250E-05 3.30E+03 2.42E+03 1.01E+04 7.88E+03 1.75E+03 7.80E+00 9.38E+03 2.50E+01 4.02E+02 2.88E+03 3.50E+03 4.169E+04
1.220E-05 3.29E+03 2.43E+03 1.01E+04 7.88E+03 1.96E+03 9.66E+00 1.01E+04 2.79E+01 4.50E+02 2.87E+03 3.50E+03 4.265E+04
1.190E-05 3.28E+03 2.43E+03 1.02E+04 7.96E+03 2.23E+03 1.20E+01 1.09E+04 3.12E+01 5.12E+02 2.86E+03 3.50E+03 4.389E+04
1.160E-05 3.27E+03 2.43E+03 1.02E+04 8.03E+03 2.54E+03 1.49E+01 1.18E+04 3.52E+01 5.92E+02 2.85E+03 3.50E+03 4.527E+04
1.140E-05 3.26E+03 2.43E+03 1.02E+04 8.04E+03 2.80E+03 1.76E+01 1.25E+04 3.83E+01 6.59E+02 2.84E+03 3.50E+03 4.628E+04
1.110E-05 3.24E+03 2.42E+03 1.03E+04 8.06E+03 3.21E+03 2.29E+01 1.36E+04 4.37E+01 7.87E+02 2.83E+03 3.51E+03 4.795E+04
1.080E-05 3.22E+03 2.42E+03 1.03E+04 8.09E+03 4.33E+03 3.06E+01 1.49E+04 5.04E+01 9.59E+02 2.81E+03 3.51E+03 5.059E+04
1.050E-05 3.19E+03 2.41E+03 1.03E+04 8.12E+03 5.77E+03 3.97E+01 1.65E+04 5.89E+01 1.19E+03 2.80E+03 3.52E+03 5.393E+04
1.030E-05 3.17E+03 2.41E+03 1.03E+04 8.14E+03 6.88E+03 4.54E+01 1.81E+04 6.56E+01 1.39E+03 2.79E+03 3.52E+03 5.679E+04
1.000E-05 3.15E+03 2.40E+03 1.03E+04 8.17E+03 8.44E+03 5.55E+01 2.03E+04 7.53E+01 1.77E+03 2.77E+03 3.52E+03 6.093E+04
9.750E-06 3.12E+03 2.39E+03 1.03E+04 8.19E+03 1.02E+04 6.88E+01 2.20E+04 8.38E+01 2.15E+03 2.76E+03 3.52E+03 6.489E+04
9.500E-06 3.09E+03 2.38E+03 1.03E+04 8.23E+03 1.23E+04 8.15E+01 2.39E+04 9.32E+01 2.53E+03 2.75E+03 3.52E+03 6.925E+04
9.250E-06 3.07E+03 2.37E+03 1.03E+04 8.25E+03 1.39E+04 9.10E+01 2.59E+04 1.02E+02 2.82E+03 2.75E+03 3.52E+03 7.302E+04
9.080E-06 3.04E+03 2.36E+03 1.03E+04 8.27E+03 1.49E+04 9.78E+01 2.70E+04 1.07E+02 2.88E+03 2.74E+03 3.51E+03 7.514E+04
