 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 1.77E-07 9.51E-17 2.83E-07 4.96E-17 3.97E-09 3.32E-23 5.70E-08 8.51E-23 5.94E-12 3.39E-06 7.17E-13 3.910E-06
9.000E-01 2.07E-07 1.45E-16 3.34E-07 7.57E-17 5.07E-09 5.07E-23 6.77E-08 1.30E-22 7.34E-12 3.95E-06 1.09E-12 4.561E-06
8.000E-01 2.47E-07 2.32E-16 4.02E-07 1.21E-16 6.61E-09 8.12E-23 8.25E-08 2.08E-22 9.29E-12 4.69E-06 1.75E-12 5.424E-06
7.000E-01 3.03E-07 3.96E-16 4.96E-07 2.07E-16 8.87E-09 1.38E-22 1.01E-07 3.54E-22 1.21E-11 5.69E-06 2.98E-12 6.599E-06
6.000E-01 3.83E-07 7.33E-16 6.34E-07 3.83E-16 1.23E-08 2.56E-22 1.30E-07 6.56E-22 1.65E-11 7.13E-06 5.51E-12 8.291E-06
5.500E-01 4.38E-07 1.04E-15 7.29E-07 5.43E-16 1.47E-08 3.63E-22 1.50E-07 9.29E-22 1.96E-11 8.10E-06 7.79E-12 9.437E-06
5.000E-01 5.08E-07 1.52E-15 8.49E-07 7.94E-16 1.79E-08 5.32E-22 1.74E-07 1.36E-21 2.38E-11 9.33E-06 1.14E-11 1.087E-05
4.500E-01 5.98E-07 2.31E-15 1.00E-06 1.21E-15 2.20E-08 8.11E-22 2.08E-07 2.07E-21 2.93E-11 1.09E-05 1.74E-11 1.274E-05
4.000E-01 7.19E-07 3.71E-15 1.21E-06 1.94E-15 2.76E-08 1.30E-21 2.50E-07 3.32E-21 3.71E-11 1.30E-05 2.78E-11 1.520E-05
3.500E-01 8.87E-07 6.32E-15 1.51E-06 3.31E-15 3.53E-08 2.22E-21 3.13E-07 5.66E-21 4.85E-11 1.59E-05 4.73E-11 1.861E-05
3.000E-01 1.13E-06 1.17E-14 1.93E-06 6.13E-15 4.65E-08 4.10E-21 3.97E-07 1.05E-20 6.60E-11 2.00E-05 8.75E-11 2.351E-05
2.500E-01 1.52E-06 2.42E-14 2.59E-06 1.27E-14 6.34E-08 8.51E-21 5.33E-07 2.17E-20 9.51E-11 2.64E-05 1.81E-10 3.110E-05
2.098E-01 2.02E-06 4.89E-14 3.45E-06 2.56E-14 8.44E-08 1.72E-20 7.09E-07 4.37E-20 1.35E-10 3.45E-05 3.64E-10 4.078E-05
1.500E-01 3.51E-06 1.87E-13 5.97E-06 9.81E-14 1.61E-07 6.56E-20 1.21E-06 1.67E-19 2.64E-10 5.81E-05 1.39E-09 6.896E-05
1.382E-01 4.02E-06 2.59E-13 6.83E-06 1.36E-13 1.90E-07 9.11E-20 1.39E-06 2.32E-19 3.11E-10 6.61E-05 1.92E-09 7.856E-05
1.320E-01 4.35E-06 3.11E-13 7.36E-06 1.64E-13 2.08E-07 1.09E-19 1.50E-06 2.79E-19 3.41E-10 7.11E-05 2.31E-09 8.451E-05
