 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 8.13E-08 4.38E-17 4.96E-07 8.71E-17 6.97E-09 5.83E-23 1.00E-07 1.49E-22 1.04E-11 5.12E-06 1.08E-12 5.805E-06
9.000E-01 9.52E-08 6.67E-17 5.85E-07 1.33E-16 8.89E-09 8.89E-23 1.19E-07 2.28E-22 1.29E-11 5.96E-06 1.65E-12 6.773E-06
8.000E-01 1.14E-07 1.07E-16 7.05E-07 2.13E-16 1.16E-08 1.42E-22 1.45E-07 3.64E-22 1.63E-11 7.08E-06 2.64E-12 8.054E-06
7.000E-01 1.39E-07 1.82E-16 8.71E-07 3.63E-16 1.56E-08 2.43E-22 1.78E-07 6.22E-22 2.13E-11 8.59E-06 4.50E-12 9.799E-06
6.000E-01 1.76E-07 3.37E-16 1.11E-06 6.72E-16 2.16E-08 4.50E-22 2.29E-07 1.15E-21 2.90E-11 1.08E-05 8.32E-12 1.231E-05
5.500E-01 2.02E-07 4.78E-16 1.28E-06 9.52E-16 2.59E-08 6.37E-22 2.64E-07 1.63E-21 3.45E-11 1.22E-05 1.18E-11 1.401E-05
5.000E-01 2.34E-07 6.99E-16 1.49E-06 1.39E-15 3.14E-08 9.33E-22 3.06E-07 2.39E-21 4.17E-11 1.41E-05 1.72E-11 1.615E-05
4.500E-01 2.75E-07 1.06E-15 1.76E-06 2.12E-15 3.86E-08 1.42E-21 3.65E-07 3.64E-21 5.15E-11 1.65E-05 2.62E-11 1.892E-05
4.000E-01 3.31E-07 1.71E-15 2.13E-06 3.40E-15 4.84E-08 2.28E-21 4.38E-07 5.82E-21 6.52E-11 1.96E-05 4.20E-11 2.257E-05
3.500E-01 4.08E-07 2.91E-15 2.64E-06 5.81E-15 6.20E-08 3.89E-21 5.49E-07 9.93E-21 8.51E-11 2.40E-05 7.15E-11 2.764E-05
