 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 1.26E-07 6.78E-17 3.08E-07 5.42E-17 4.33E-09 3.63E-23 6.21E-08 9.29E-23 6.48E-12 3.46E-06 7.31E-13 3.957E-06
9.000E-01 1.48E-07 1.03E-16 3.64E-07 8.25E-17 5.53E-09 5.53E-23 7.39E-08 1.42E-22 8.00E-12 4.03E-06 1.11E-12 4.617E-06
8.000E-01 1.76E-07 1.65E-16 4.38E-07 1.32E-16 7.21E-09 8.85E-23 9.00E-08 2.27E-22 1.01E-11 4.78E-06 1.78E-12 5.490E-06
7.000E-01 2.16E-07 2.82E-16 5.42E-07 2.26E-16 9.67E-09 1.51E-22 1.11E-07 3.86E-22 1.32E-11 5.80E-06 3.04E-12 6.679E-06
6.000E-01 2.73E-07 5.23E-16 6.92E-07 4.18E-16 1.34E-08 2.80E-22 1.42E-07 7.16E-22 1.80E-11 7.27E-06 5.62E-12 8.393E-06
5.500E-01 3.12E-07 7.40E-16 7.95E-07 5.92E-16 1.61E-08 3.96E-22 1.64E-07 1.01E-21 2.14E-11 8.26E-06 7.95E-12 9.553E-06
5.000E-01 3.62E-07 1.08E-15 9.26E-07 8.67E-16 1.95E-08 5.80E-22 1.90E-07 1.48E-21 2.59E-11 9.51E-06 1.16E-11 1.101E-05
4.500E-01 4.26E-07 1.65E-15 1.10E-06 1.32E-15 2.40E-08 8.84E-22 2.27E-07 2.26E-21 3.20E-11 1.11E-05 1.77E-11 1.289E-05
4.000E-01 5.13E-07 2.64E-15 1.32E-06 2.12E-15 3.01E-08 1.42E-21 2.72E-07 3.62E-21 4.05E-11 1.32E-05 2.83E-11 1.539E-05
3.500E-01 6.32E-07 4.51E-15 1.64E-06 3.61E-15 3.85E-08 2.42E-21 3.41E-07 6.17E-21 5.29E-11 1.62E-05 4.82E-11 1.884E-05
3.000E-01 8.08E-07 8.34E-15 2.11E-06 6.69E-15 5.07E-08 4.48E-21 4.33E-07 1.14E-20 7.20E-11 2.04E-05 8.92E-11 2.380E-05
2.500E-01 1.08E-06 1.73E-14 2.83E-06 1.39E-14 6.92E-08 9.28E-21 5.81E-07 2.37E-20 1.04E-10 2.69E-05 1.85E-10 3.147E-05
2.098E-01 1.44E-06 3.48E-14 3.76E-06 2.80E-14 9.20E-08 1.87E-20 7.73E-07 4.77E-20 1.47E-10 3.52E-05 3.71E-10 4.127E-05
1.500E-01 2.50E-06 1.33E-13 6.51E-06 1.07E-13 1.76E-07 7.16E-20 1.32E-06 1.82E-19 2.88E-10 5.93E-05 1.41E-09 6.977E-05
1.382E-01 2.87E-06 1.85E-13 7.45E-06 1.49E-13 2.07E-07 9.94E-20 1.52E-06 2.53E-19 3.39E-10 6.74E-05 1.96E-09 7.948E-05
1.320E-01 3.10E-06 2.22E-13 8.03E-06 1.78E-13 2.27E-07 1.19E-19 1.63E-06 3.04E-19 3.72E-10 7.25E-05 2.35E-09 8.549E-05
1.150E-01 3.92E-06 3.85E-13 1.01E-05 3.10E-13 2.97E-07 2.07E-19 2.04E-06 5.27E-19 4.90E-10 9.03E-05 4.08E-09 1.066E-04
1.000E-01 4.98E-06 6.74E-13 1.27E-05 5.42E-13 3.90E-07 3.63E-19 2.55E-06 9.22E-19 6.48E-10 1.13E-04 7.12E-09 1.336E-04
9.970E-02 5.01E-06 6.82E-13 1.27E-05 5.48E-13 3.93E-07 3.67E-19 2.56E-06 9.33E-19 6.52E-10 1.14E-04 7.20E-09 1.343E-04
8.670E-02 6.31E-06 1.19E-12 1.61E-05 9.59E-13 5.19E-07 6.42E-19 3.21E-06 1.63E-18 8.63E-10 1.41E-04 1.26E-08 1.675E-04
8.500E-02 6.53E-06 1.29E-12 1.66E-05 1.04E-12 5.39E-07 6.94E-19 3.32E-06 1.77E-18 8.98E-10 1.46E-04 1.36E-08 1.732E-04
7.500E-02 8.29E-06 2.13E-12 2.04E-05 1.71E-12 6.86E-07 1.15E-18 4.05E-06 2.91E-18 1.15E-09 1.83E-04 2.24E-08 2.161E-04
6.000E-02 1.22E-05 5.19E-12 2.95E-05 4.21E-12 1.05E-06 2.80E-18 5.88E-06 7.11E-18 1.80E-09 2.60E-04 5.45E-08 3.087E-04
5.500E-02 1.41E-05 7.36E-12 3.30E-05 5.98E-12 1.24E-06 3.96E-18 6.85E-06 1.01E-17 2.14E-09 3.00E-04 7.71E-08 3.556E-04
5.000E-02 1.68E-05 1.08E-11 4.09E-05 8.83E-12 1.48E-06 5.80E-18 8.16E-06 1.48E-17 2.59E-09 3.56E-04 1.13E-07 4.235E-04
4.500E-02 2.07E-05 1.65E-11 5.41E-05 1.35E-11 1.81E-06 8.83E-18 9.98E-06 2.25E-17 3.20E-09 4.35E-04 1.72E-07 5.217E-04
4.000E-02 2.66E-05 2.64E-11 7.23E-05 2.19E-11 2.25E-06 1.41E-17 1.26E-05 3.61E-17 4.06E-09 5.47E-04 2.75E-07 6.611E-04
3.500E-02 3.34E-05 4.50E-11 1.10E-04 3.77E-11 2.89E-06 2.41E-17 1.67E-05 6.17E-17 5.30E-09 6.75E-04 4.68E-07 8.385E-04
3.000E-02 4.71E-05 8.38E-11 1.72E-04 7.02E-11 3.85E-06 4.47E-17 2.34E-05 1.14E-16 7.22E-09 9.27E-04 8.64E-07 1.173E-03
2.750E-02 5.62E-05 1.19E-10 2.16E-04 9.94E-11 4.54E-06 6.34E-17 2.86E-05 1.62E-16 8.59E-09 1.08E-03 1.22E-06 1.390E-03
2.500E-02 6.76E-05 1.74E-10 2.75E-04 1.45E-10 5.42E-06 9.28E-17 3.58E-05 2.38E-16 1.04E-08 1.30E-03 1.79E-06 1.683E-03
2.400E-02 7.43E-05 2.05E-10 3.04E-04 1.71E-10 5.87E-06 1.09E-16 3.91E-05 2.80E-16 1.13E-08 1.40E-03 2.10E-06 1.822E-03
