 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 2.08E-07 1.12E-16 2.78E-07 4.89E-17 3.91E-09 3.27E-23 5.61E-08 8.38E-23 5.85E-12 3.46E-06 7.32E-13 4.009E-06
9.000E-01 2.44E-07 1.71E-16 3.28E-07 7.45E-17 4.99E-09 4.99E-23 6.67E-08 1.28E-22 7.22E-12 4.03E-06 1.12E-12 4.677E-06
8.000E-01 2.92E-07 2.74E-16 3.96E-07 1.19E-16 6.51E-09 7.99E-23 8.12E-08 2.05E-22 9.14E-12 4.79E-06 1.78E-12 5.561E-06
7.000E-01 3.57E-07 4.67E-16 4.89E-07 2.04E-16 8.73E-09 1.36E-22 9.99E-08 3.49E-22 1.19E-11 5.81E-06 3.04E-12 6.765E-06
6.000E-01 4.52E-07 8.64E-16 6.25E-07 3.77E-16 1.21E-08 2.53E-22 1.28E-07 6.46E-22 1.63E-11 7.28E-06 5.63E-12 8.500E-06
5.500E-01 5.17E-07 1.22E-15 7.18E-07 5.34E-16 1.45E-08 3.58E-22 1.48E-07 9.15E-22 1.93E-11 8.28E-06 7.96E-12 9.675E-06
5.000E-01 5.99E-07 1.79E-15 8.36E-07 7.82E-16 1.76E-08 5.24E-22 1.72E-07 1.34E-21 2.34E-11 9.52E-06 1.16E-11 1.115E-05
4.500E-01 7.05E-07 2.73E-15 9.89E-07 1.19E-15 2.17E-08 7.98E-22 2.05E-07 2.04E-21 2.89E-11 1.11E-05 1.77E-11 1.306E-05
4.000E-01 8.48E-07 4.37E-15 1.20E-06 1.91E-15 2.71E-08 1.28E-21 2.46E-07 3.27E-21 3.66E-11 1.33E-05 2.84E-11 1.558E-05
3.500E-01 1.05E-06 7.45E-15 1.48E-06 3.26E-15 3.48E-08 2.18E-21 3.08E-07 5.57E-21 4.78E-11 1.62E-05 4.83E-11 1.908E-05
3.000E-01 1.34E-06 1.38E-14 1.90E-06 6.04E-15 4.58E-08 4.04E-21 3.91E-07 1.03E-20 6.50E-11 2.04E-05 8.94E-11 2.411E-05
2.500E-01 1.79E-06 2.86E-14 2.55E-06 1.25E-14 6.25E-08 8.38E-21 5.25E-07 2.14E-20 9.36E-11 2.70E-05 1.85E-10 3.188E-05
2.098E-01 2.38E-06 5.76E-14 3.40E-06 2.52E-14 8.31E-08 1.69E-20 6.98E-07 4.31E-20 1.33E-10 3.53E-05 3.72E-10 4.181E-05
1.500E-01 4.14E-06 2.20E-13 5.88E-06 9.66E-14 1.58E-07 6.46E-20 1.20E-06 1.65E-19 2.60E-10 5.94E-05 1.42E-09 7.072E-05
1.382E-01 4.75E-06 3.06E-13 6.72E-06 1.34E-13 1.87E-07 8.97E-20 1.37E-06 2.28E-19 3.06E-10 6.75E-05 1.96E-09 8.056E-05
1.320E-01 5.13E-06 3.67E-13 7.25E-06 1.61E-13 2.04E-07 1.08E-19 1.47E-06 2.74E-19 3.36E-10 7.26E-05 2.36E-09 8.667E-05
1.150E-01 6.48E-06 6.37E-13 9.09E-06 2.80E-13 2.68E-07 1.87E-19 1.84E-06 4.76E-19 4.43E-10 9.04E-05 4.09E-09 1.081E-04
1.000E-01 8.24E-06 1.11E-12 1.14E-05 4.89E-13 3.52E-07 3.27E-19 2.30E-06 8.32E-19 5.85E-10 1.13E-04 7.13E-09 1.356E-04
9.970E-02 8.28E-06 1.13E-12 1.15E-05 4.95E-13 3.54E-07 3.31E-19 2.31E-06 8.42E-19 5.89E-10 1.14E-04 7.22E-09 1.362E-04
8.670E-02 1.04E-05 1.97E-12 1.45E-05 8.65E-13 4.68E-07 5.79E-19 2.90E-06 1.47E-18 7.79E-10 1.42E-04 1.26E-08 1.699E-04
8.500E-02 1.08E-05 2.13E-12 1.50E-05 9.37E-13 4.87E-07 6.27E-19 3.00E-06 1.59E-18 8.10E-10 1.46E-04 1.36E-08 1.757E-04
7.500E-02 1.37E-05 3.52E-12 1.84E-05 1.55E-12 6.19E-07 1.03E-18 3.66E-06 2.63E-18 1.04E-09 1.83E-04 2.24E-08 2.194E-04
6.000E-02 2.02E-05 8.59E-12 2.66E-05 3.80E-12 9.51E-07 2.52E-18 5.30E-06 6.42E-18 1.63E-09 2.60E-04 5.46E-08 3.135E-04
5.500E-02 2.34E-05 1.22E-11 2.98E-05 5.40E-12 1.12E-06 3.57E-18 6.19E-06 9.10E-18 1.94E-09 3.01E-04 7.72E-08 3.613E-04
5.000E-02 2.78E-05 1.78E-11 3.69E-05 7.97E-12 1.34E-06 5.23E-18 7.37E-06 1.33E-17 2.34E-09 3.57E-04 1.13E-07 4.301E-04
4.500E-02 3.43E-05 2.72E-11 4.89E-05 1.22E-11 1.63E-06 7.97E-18 9.01E-06 2.03E-17 2.89E-09 4.36E-04 1.72E-07 5.295E-04
4.000E-02 4.40E-05 4.37E-11 6.53E-05 1.98E-11 2.03E-06 1.28E-17 1.14E-05 3.26E-17 3.66E-09 5.48E-04 2.75E-07 6.709E-04
3.500E-02 5.52E-05 7.45E-11 9.92E-05 3.40E-11 2.61E-06 2.18E-17 1.51E-05 5.57E-17 4.78E-09 6.76E-04 4.68E-07 8.488E-04
3.000E-02 7.79E-05 1.39E-10 1.55E-04 6.33E-11 3.48E-06 4.04E-17 2.11E-05 1.03E-16 6.51E-09 9.28E-04 8.66E-07 1.186E-03
2.750E-02 9.29E-05 1.96E-10 1.95E-04 8.97E-11 4.10E-06 5.72E-17 2.58E-05 1.46E-16 7.75E-09 1.09E-03 1.22E-06 1.405E-03
2.500E-02 1.12E-04 2.88E-10 2.48E-04 1.31E-10 4.89E-06 8.37E-17 3.24E-05 2.14E-16 9.39E-09 1.30E-03 1.79E-06 1.699E-03
2.400E-02 1.23E-04 3.40E-10 2.75E-04 1.54E-10 5.29E-06 9.86E-17 3.53E-05 2.52E-16 1.02E-08 1.40E-03 2.10E-06 1.838E-03
2.000E-02 1.80E-04 7.09E-10 4.28E-04 3.15E-10 7.49E-06 2.05E-16 5.12E-05 5.23E-16 1.47E-08 1.97E-03 4.34E-06 2.641E-03
1.800E-02 2.24E-04 1.09E-09 5.31E-04 4.73E-10 9.21E-06 3.12E-16 6.36E-05 7.98E-16 1.81E-08 2.42E-03 6.61E-06 3.255E-03
1.600E-02 2.97E-04 1.76E-09 6.60E-04 7.42E-10 1.17E-05 5.01E-16 8.11E-05 1.28E-15 2.30E-08 3.06E-03 1.05E-05 4.116E-03
1.500E-02 3.54E-04 2.28E-09 7.40E-04 9.49E-10 1.33E-05 6.50E-16 9.20E-05 1.66E-15 2.62E-08 3.47E-03 1.36E-05 4.685E-03
1.400E-02 4.03E-04 3.02E-09 8.31E-04 1.23E-09 1.53E-05 8.58E-16 1.06E-04 2.18E-15 3.01E-08 3.87E-03 1.78E-05 5.245E-03
1.200E-02 6.15E-04 5.65E-09 1.06E-03 2.21E-09 2.13E-05 1.60E-15 1.46E-04 4.05E-15 4.11E-08 5.24E-03 3.26E-05 7.112E-03
