 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 2.41E-07 1.30E-16 5.91E-07 1.04E-16 8.31E-09 6.95E-23 1.19E-07 1.78E-22 1.24E-11 6.62E-06 1.40E-12 7.580E-06
9.000E-01 2.82E-07 1.98E-16 6.97E-07 1.58E-16 1.06E-08 1.06E-22 1.42E-07 2.71E-22 1.53E-11 7.71E-06 2.13E-12 8.844E-06
8.000E-01 3.37E-07 3.16E-16 8.40E-07 2.53E-16 1.38E-08 1.70E-22 1.72E-07 4.34E-22 1.94E-11 9.15E-06 3.41E-12 1.052E-05
7.000E-01 4.13E-07 5.39E-16 1.04E-06 4.32E-16 1.85E-08 2.89E-22 2.12E-07 7.41E-22 2.54E-11 1.11E-05 5.82E-12 1.279E-05
6.000E-01 5.22E-07 9.99E-16 1.33E-06 8.01E-16 2.57E-08 5.36E-22 2.73E-07 1.37E-21 3.45E-11 1.39E-05 1.08E-11 1.608E-05
5.500E-01 5.97E-07 1.41E-15 1.52E-06 1.13E-15 3.08E-08 7.59E-22 3.14E-07 1.94E-21 4.11E-11 1.58E-05 1.52E-11 1.830E-05
5.000E-01 6.92E-07 2.07E-15 1.77E-06 1.66E-15 3.74E-08 1.11E-21 3.65E-07 2.84E-21 4.97E-11 1.82E-05 2.23E-11 2.109E-05
4.500E-01 8.15E-07 3.15E-15 2.10E-06 2.53E-15 4.60E-08 1.69E-21 4.35E-07 4.33E-21 6.14E-11 2.13E-05 3.39E-11 2.470E-05
4.000E-01 9.80E-07 5.05E-15 2.54E-06 4.05E-15 5.76E-08 2.71E-21 5.22E-07 6.94E-21 7.76E-11 2.54E-05 5.42E-11 2.947E-05
3.500E-01 1.21E-06 8.61E-15 3.15E-06 6.92E-15 7.38E-08 4.63E-21 6.54E-07 1.18E-20 1.01E-10 3.10E-05 9.24E-11 3.609E-05
3.000E-01 1.54E-06 1.60E-14 4.04E-06 1.28E-14 9.72E-08 8.58E-21 8.30E-07 2.19E-20 1.38E-10 3.91E-05 1.71E-10 4.558E-05
2.500E-01 2.07E-06 3.31E-14 5.42E-06 2.66E-14 1.33E-07 1.78E-20 1.11E-06 4.54E-20 1.99E-10 5.15E-05 3.54E-10 6.029E-05
2.098E-01 2.75E-06 6.66E-14 7.21E-06 5.36E-14 1.76E-07 3.59E-20 1.48E-06 9.15E-20 2.82E-10 6.74E-05 7.11E-10 7.904E-05
1.500E-01 4.78E-06 2.55E-13 1.25E-05 2.05E-13 3.37E-07 1.37E-19 2.54E-06 3.50E-19 5.52E-10 1.14E-04 2.71E-09 1.336E-04
1.382E-01 5.48E-06 3.53E-13 1.43E-05 2.85E-13 3.97E-07 1.90E-19 2.91E-06 4.85E-19 6.51E-10 1.29E-04 3.76E-09 1.522E-04
