 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 3.45E-07 1.86E-16 3.20E-07 5.62E-17 4.50E-09 3.76E-23 6.45E-08 9.64E-23 6.73E-12 4.36E-06 9.23E-13 5.097E-06
9.000E-01 4.04E-07 2.83E-16 3.78E-07 8.57E-17 5.74E-09 5.74E-23 7.67E-08 1.47E-22 8.31E-12 5.08E-06 1.41E-12 5.946E-06
8.000E-01 4.83E-07 4.53E-16 4.55E-07 1.37E-16 7.49E-09 9.19E-23 9.34E-08 2.35E-22 1.05E-11 6.03E-06 2.25E-12 7.069E-06
7.000E-01 5.91E-07 7.73E-16 5.62E-07 2.34E-16 1.00E-08 1.57E-22 1.15E-07 4.01E-22 1.37E-11 7.32E-06 3.83E-12 8.601E-06
6.000E-01 7.48E-07 1.43E-15 7.18E-07 4.34E-16 1.39E-08 2.90E-22 1.48E-07 7.43E-22 1.87E-11 9.18E-06 7.09E-12 1.081E-05
5.500E-01 8.56E-07 2.03E-15 8.25E-07 6.14E-16 1.67E-08 4.11E-22 1.70E-07 1.05E-21 2.22E-11 1.04E-05 1.00E-11 1.230E-05
5.000E-01 9.91E-07 2.97E-15 9.61E-07 9.00E-16 2.02E-08 6.02E-22 1.97E-07 1.54E-21 2.69E-11 1.20E-05 1.47E-11 1.417E-05
4.500E-01 1.17E-06 4.52E-15 1.14E-06 1.37E-15 2.49E-08 9.18E-22 2.35E-07 2.35E-21 3.32E-11 1.40E-05 2.23E-11 1.660E-05
4.000E-01 1.40E-06 7.24E-15 1.37E-06 2.20E-15 3.12E-08 1.47E-21 2.83E-07 3.76E-21 4.21E-11 1.67E-05 3.57E-11 1.981E-05
3.500E-01 1.73E-06 1.23E-14 1.70E-06 3.75E-15 4.00E-08 2.51E-21 3.54E-07 6.41E-21 5.49E-11 2.04E-05 6.09E-11 2.426E-05
3.000E-01 2.21E-06 2.28E-14 2.19E-06 6.94E-15 5.26E-08 4.65E-21 4.49E-07 1.19E-20 7.48E-11 2.57E-05 1.13E-10 3.065E-05
2.500E-01 2.96E-06 4.73E-14 2.94E-06 1.44E-14 7.18E-08 9.64E-21 6.04E-07 2.46E-20 1.08E-10 3.40E-05 2.33E-10 4.054E-05
2.098E-01 3.94E-06 9.54E-14 3.91E-06 2.90E-14 9.55E-08 1.94E-20 8.03E-07 4.96E-20 1.53E-10 4.44E-05 4.69E-10 5.317E-05
1.500E-01 6.85E-06 3.65E-13 6.76E-06 1.11E-13 1.82E-07 7.43E-20 1.37E-06 1.89E-19 2.99E-10 7.48E-05 1.79E-09 8.996E-05
1.382E-01 7.86E-06 5.06E-13 7.73E-06 1.54E-13 2.15E-07 1.03E-19 1.58E-06 2.63E-19 3.52E-10 8.51E-05 2.48E-09 1.025E-04
1.320E-01 8.49E-06 6.08E-13 8.33E-06 1.85E-13 2.35E-07 1.24E-19 1.70E-06 3.16E-19 3.86E-10 9.15E-05 2.97E-09 1.103E-04
1.150E-01 1.07E-05 1.05E-12 1.05E-05 3.21E-13 3.08E-07 2.15E-19 2.12E-06 5.48E-19 5.09E-10 1.14E-04 5.15E-09 1.376E-04
1.000E-01 1.36E-05 1.84E-12 1.32E-05 5.62E-13 4.05E-07 3.76E-19 2.65E-06 9.57E-19 6.73E-10 1.43E-04 8.99E-09 1.725E-04
9.970E-02 1.37E-05 1.87E-12 1.32E-05 5.69E-13 4.08E-07 3.81E-19 2.66E-06 9.69E-19 6.77E-10 1.43E-04 9.09E-09 1.734E-04
8.670E-02 1.73E-05 3.26E-12 1.67E-05 9.95E-13 5.39E-07 6.66E-19 3.34E-06 1.69E-18 8.96E-10 1.78E-04 1.59E-08 2.162E-04
8.500E-02 1.79E-05 3.53E-12 1.72E-05 1.08E-12 5.60E-07 7.21E-19 3.44E-06 1.83E-18 9.32E-10 1.85E-04 1.72E-08 2.237E-04
7.500E-02 2.27E-05 5.83E-12 2.12E-05 1.78E-12 7.12E-07 1.19E-18 4.20E-06 3.02E-18 1.20E-09 2.31E-04 2.83E-08 2.794E-04
6.000E-02 3.34E-05 1.42E-11 3.06E-05 4.37E-12 1.09E-06 2.90E-18 6.10E-06 7.38E-18 1.87E-09 3.28E-04 6.88E-08 3.994E-04
5.500E-02 3.87E-05 2.02E-11 3.43E-05 6.21E-12 1.29E-06 4.11E-18 7.12E-06 1.05E-17 2.23E-09 3.79E-04 9.73E-08 4.604E-04
5.000E-02 4.60E-05 2.95E-11 4.24E-05 9.16E-12 1.54E-06 6.02E-18 8.47E-06 1.53E-17 2.69E-09 4.49E-04 1.42E-07 5.480E-04
4.500E-02 5.67E-05 4.51E-11 5.62E-05 1.41E-11 1.88E-06 9.17E-18 1.04E-05 2.34E-17 3.33E-09 5.49E-04 2.17E-07 6.743E-04
4.000E-02 7.29E-05 7.23E-11 7.51E-05 2.27E-11 2.34E-06 1.47E-17 1.31E-05 3.75E-17 4.21E-09 6.90E-04 3.47E-07 8.541E-04
3.500E-02 9.14E-05 1.23E-10 1.14E-04 3.91E-11 3.00E-06 2.51E-17 1.73E-05 6.40E-17 5.50E-09 8.52E-04 5.90E-07 1.079E-03
3.000E-02 1.29E-04 2.29E-10 1.78E-04 7.28E-11 4.00E-06 4.64E-17 2.43E-05 1.19E-16 7.49E-09 1.17E-03 1.09E-06 1.506E-03
2.750E-02 1.54E-04 3.25E-10 2.24E-04 1.03E-10 4.71E-06 6.58E-17 2.97E-05 1.68E-16 8.92E-09 1.37E-03 1.54E-06 1.782E-03
2.500E-02 1.85E-04 4.78E-10 2.85E-04 1.51E-10 5.63E-06 9.63E-17 3.72E-05 2.47E-16 1.08E-08 1.64E-03 2.25E-06 2.153E-03
2.400E-02 2.03E-04 5.62E-10 3.16E-04 1.78E-10 6.09E-06 1.13E-16 4.06E-05 2.90E-16 1.17E-08 1.76E-03 2.65E-06 2.331E-03
2.000E-02 2.97E-04 1.17E-09 4.92E-04 3.62E-10 8.61E-06 2.35E-16 5.88E-05 6.02E-16 1.69E-08 2.48E-03 5.47E-06 3.346E-03
1.800E-02 3.70E-04 1.80E-09 6.10E-04 5.44E-10 1.06E-05 3.59E-16 7.31E-05 9.18E-16 2.09E-08 3.05E-03 8.33E-06 4.124E-03
1.600E-02 4.92E-04 2.91E-09 7.59E-04 8.53E-10 1.34E-05 5.77E-16 9.33E-05 1.47E-15 2.64E-08 3.85E-03 1.33E-05 5.222E-03
1.500E-02 5.87E-04 3.78E-09 8.51E-04 1.09E-09 1.53E-05 7.47E-16 1.06E-04 1.90E-15 3.01E-08 4.38E-03 1.71E-05 5.951E-03
1.400E-02 6.67E-04 4.99E-09 9.55E-04 1.42E-09 1.76E-05 9.86E-16 1.22E-04 2.51E-15 3.46E-08 4.88E-03 2.25E-05 6.665E-03
1.200E-02 1.02E-03 9.36E-09 1.22E-03 2.54E-09 2.45E-05 1.84E-15 1.68E-04 4.66E-15 4.72E-08 6.60E-03 4.10E-05 9.071E-03
1.000E-02 1.55E-03 1.96E-08 1.61E-03 5.03E-09 3.71E-05 3.83E-15 2.45E-04 9.67E-15 6.83E-08 9.10E-03 8.42E-05 1.262E-02
9.000E-03 2.06E-03 3.03E-08 1.83E-03 7.47E-09 4.77E-05 5.88E-15 3.05E-04 1.48E-14 8.47E-08 1.11E-02 1.27E-04 1.551E-02
8.000E-03 2.73E-03 4.77E-08 2.13E-03 1.18E-08 6.37E-05 9.48E-15 3.91E-04 2.37E-14 1.08E-07 1.33E-02 2.00E-04 1.885E-02
7.500E-03 3.19E-03 6.25E-08 2.35E-03 1.52E-08 7.52E-05 1.23E-14 4.49E-04 3.06E-14 1.23E-07 1.51E-02 2.59E-04 2.148E-02
7.000E-03 3.86E-03 8.18E-08 2.64E-03 1.99E-08 9.03E-05 1.64E-14 5.20E-04 4.04E-14 1.42E-07 1.71E-02 3.37E-04 2.456E-02
6.000E-03 5.54E-03 1.49E-07 3.39E-03 3.64E-08 1.39E-04 3.08E-14 7.24E-04 7.48E-14 1.96E-07 2.24E-02 6.12E-04 3.279E-02
5.000E-03 7.90E-03 2.91E-07 4.81E-03 7.40E-08 2.44E-04 6.54E-14 1.07E-03 1.54E-13 2.88E-07 3.04E-02 1.24E-03 4.564E-02
4.500E-03 9.73E-03 4.22E-07 5.88E-03 1.10E-07 3.45E-04 1.01E-13 1.33E-03 2.34E-13 3.63E-07 3.65E-02 1.85E-03 5.566E-02
4.000E-03 1.16E-02 6.27E-07 7.34E-03 1.65E-07 5.05E-04 1.61E-13 1.70E-03 3.71E-13 4.73E-07 4.43E-02 2.88E-03 6.830E-02
3.500E-03 1.40E-02 9.92E-07 9.05E-03 2.61E-07 7.01E-04 2.57E-13 2.22E-03 6.24E-13 6.49E-07 5.54E-02 4.76E-03 8.616E-02
3.000E-03 1.73E-02 1.64E-06 1.11E-02 4.19E-07 7.40E-04 4.02E-13 3.03E-03 1.14E-12 9.83E-07 7.18E-02 8.26E-03 1.122E-01
2.750E-03 1.89E-02 2.15E-06 1.22E-02 5.41E-07 6.38E-04 5.18E-13 3.64E-03 1.59E-12 1.32E-06 8.22E-02 1.10E-02 1.286E-01
2.500E-03 2.04E-02 2.87E-06 1.34E-02 7.08E-07 5.03E-04 7.12E-13 4.48E-03 2.29E-12 2.17E-06 9.44E-02 1.47E-02 1.479E-01
2.400E-03 2.12E-02 3.27E-06 1.38E-02 7.95E-07 4.51E-04 8.27E-13 4.88E-03 2.66E-12 3.02E-06 9.98E-02 1.65E-02 1.567E-01
2.350E-03 2.16E-02 3.50E-06 1.41E-02 8.43E-07 4.26E-04 8.95E-13 5.10E-03 2.87E-12 3.56E-06 1.03E-01 1.75E-02 1.615E-01
2.320E-03 2.19E-02 3.64E-06 1.43E-02 8.75E-07 4.12E-04 9.40E-13 5.24E-03 3.01E-12 3.83E-06 1.04E-01 1.81E-02 1.643E-01
2.310E-03 2.20E-02 3.69E-06 1.43E-02 8.86E-07 4.08E-04 9.56E-13 5.29E-03 3.05E-12 3.90E-06 1.05E-01 1.83E-02 1.652E-01
2.300E-03 2.21E-02 3.74E-06 1.44E-02 8.96E-07 4.03E-04 9.72E-13 5.33E-03 3.10E-12 3.95E-06 1.06E-01 1.85E-02 1.662E-01
2.250E-03 2.24E-02 3.99E-06 1.47E-02 9.55E-07 3.81E-04 1.06E-12 5.61E-03 3.37E-12 4.12E-06 1.09E-01 1.95E-02 1.712E-01
