 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 3.23E-09 1.74E-18 3.17E-07 5.56E-17 4.45E-09 3.73E-23 6.39E-08 9.54E-23 6.66E-12 3.10E-06 6.55E-13 3.484E-06
9.000E-01 3.78E-09 2.65E-18 3.74E-07 8.48E-17 5.68E-09 5.68E-23 7.59E-08 1.45E-22 8.22E-12 3.61E-06 9.97E-13 4.064E-06
8.000E-01 4.52E-09 4.24E-18 4.50E-07 1.36E-16 7.41E-09 9.10E-23 9.25E-08 2.33E-22 1.04E-11 4.28E-06 1.60E-12 4.833E-06
7.000E-01 5.53E-09 7.23E-18 5.57E-07 2.32E-16 9.94E-09 1.55E-22 1.14E-07 3.97E-22 1.36E-11 5.19E-06 2.72E-12 5.881E-06
6.000E-01 7.00E-09 1.34E-17 7.11E-07 4.29E-16 1.38E-08 2.88E-22 1.46E-07 7.35E-22 1.85E-11 6.51E-06 5.03E-12 7.389E-06
5.500E-01 8.01E-09 1.90E-17 8.17E-07 6.08E-16 1.65E-08 4.07E-22 1.69E-07 1.04E-21 2.20E-11 7.40E-06 7.12E-12 8.411E-06
5.000E-01 9.28E-09 2.78E-17 9.51E-07 8.90E-16 2.00E-08 5.96E-22 1.95E-07 1.52E-21 2.66E-11 8.52E-06 1.04E-11 9.692E-06
4.500E-01 1.09E-08 4.23E-17 1.13E-06 1.36E-15 2.47E-08 9.09E-22 2.33E-07 2.32E-21 3.29E-11 9.96E-06 1.59E-11 1.135E-05
4.000E-01 1.31E-08 6.77E-17 1.36E-06 2.17E-15 3.09E-08 1.46E-21 2.80E-07 3.72E-21 4.16E-11 1.19E-05 2.54E-11 1.355E-05
3.500E-01 1.62E-08 1.15E-16 1.69E-06 3.71E-15 3.96E-08 2.48E-21 3.51E-07 6.34E-21 5.44E-11 1.45E-05 4.32E-11 1.659E-05
3.000E-01 2.07E-08 2.14E-16 2.16E-06 6.87E-15 5.21E-08 4.60E-21 4.45E-07 1.17E-20 7.40E-11 1.83E-05 7.99E-11 2.095E-05
2.500E-01 2.77E-08 4.43E-16 2.91E-06 1.42E-14 7.11E-08 9.54E-21 5.97E-07 2.43E-20 1.07E-10 2.41E-05 1.65E-10 2.770E-05
2.098E-01 3.69E-08 8.93E-16 3.87E-06 2.87E-14 9.46E-08 1.92E-20 7.95E-07 4.90E-20 1.51E-10 3.15E-05 3.33E-10 3.631E-05
1.500E-01 6.41E-08 3.41E-15 6.69E-06 1.10E-13 1.80E-07 7.36E-20 1.36E-06 1.87E-19 2.96E-10 5.31E-05 1.27E-09 6.136E-05
1.382E-01 7.35E-08 4.74E-15 7.65E-06 1.53E-13 2.13E-07 1.02E-19 1.56E-06 2.60E-19 3.49E-10 6.04E-05 1.76E-09 6.988E-05
1.320E-01 7.94E-08 5.69E-15 8.25E-06 1.83E-13 2.33E-07 1.23E-19 1.68E-06 3.12E-19 3.82E-10 6.49E-05 2.11E-09 7.516E-05
1.150E-01 1.00E-07 9.87E-15 1.04E-05 3.18E-13 3.05E-07 2.13E-19 2.10E-06 5.42E-19 5.04E-10 8.08E-05 3.65E-09 9.370E-05
1.000E-01 1.28E-07 1.73E-14 1.30E-05 5.57E-13 4.01E-07 3.72E-19 2.62E-06 9.48E-19 6.66E-10 1.01E-04 6.37E-09 1.174E-04
9.970E-02 1.28E-07 1.75E-14 1.31E-05 5.63E-13 4.03E-07 3.77E-19 2.63E-06 9.59E-19 6.70E-10 1.02E-04 6.45E-09 1.180E-04
8.670E-02 1.62E-07 3.05E-14 1.65E-05 9.85E-13 5.33E-07 6.59E-19 3.30E-06 1.68E-18 8.86E-10 1.27E-04 1.13E-08 1.471E-04
8.500E-02 1.67E-07 3.31E-14 1.71E-05 1.07E-12 5.54E-07 7.13E-19 3.41E-06 1.81E-18 9.22E-10 1.31E-04 1.22E-08 1.521E-04
7.500E-02 2.12E-07 5.46E-14 2.10E-05 1.76E-12 7.05E-07 1.18E-18 4.16E-06 2.99E-18 1.18E-09 1.64E-04 2.01E-08 1.897E-04
6.000E-02 3.12E-07 1.33E-13 3.03E-05 4.32E-12 1.08E-06 2.87E-18 6.04E-06 7.31E-18 1.85E-09 2.33E-04 4.88E-08 2.706E-04
5.500E-02 3.62E-07 1.89E-13 3.39E-05 6.15E-12 1.28E-06 4.07E-18 7.04E-06 1.04E-17 2.20E-09 2.69E-04 6.91E-08 3.115E-04
5.000E-02 4.31E-07 2.76E-13 4.20E-05 9.07E-12 1.52E-06 5.96E-18 8.39E-06 1.52E-17 2.67E-09 3.19E-04 1.01E-07 3.712E-04
4.500E-02 5.31E-07 4.22E-13 5.56E-05 1.39E-11 1.86E-06 9.08E-18 1.03E-05 2.31E-17 3.29E-09 3.89E-04 1.54E-07 4.579E-04
4.000E-02 6.82E-07 6.76E-13 7.43E-05 2.25E-11 2.32E-06 1.45E-17 1.30E-05 3.71E-17 4.17E-09 4.90E-04 2.46E-07 5.803E-04
3.500E-02 8.55E-07 1.15E-12 1.13E-04 3.87E-11 2.97E-06 2.48E-17 1.71E-05 6.34E-17 5.44E-09 6.05E-04 4.19E-07 7.389E-04
3.000E-02 1.21E-06 2.15E-12 1.76E-04 7.21E-11 3.96E-06 4.60E-17 2.41E-05 1.18E-16 7.41E-09 8.30E-04 7.74E-07 1.036E-03
