 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 3.20E-07 1.72E-16 7.86E-07 1.38E-16 1.10E-08 9.24E-23 1.58E-07 2.37E-22 1.65E-11 8.81E-06 1.86E-12 1.008E-05
9.000E-01 3.75E-07 2.63E-16 9.27E-07 2.10E-16 1.41E-08 1.41E-22 1.88E-07 3.61E-22 2.04E-11 1.03E-05 2.84E-12 1.176E-05
8.000E-01 4.48E-07 4.21E-16 1.12E-06 3.37E-16 1.84E-08 2.26E-22 2.29E-07 5.78E-22 2.58E-11 1.22E-05 4.54E-12 1.399E-05
7.000E-01 5.49E-07 7.17E-16 1.38E-06 5.75E-16 2.47E-08 3.85E-22 2.82E-07 9.85E-22 3.37E-11 1.48E-05 7.73E-12 1.702E-05
6.000E-01 6.95E-07 1.33E-15 1.76E-06 1.07E-15 3.42E-08 7.13E-22 3.63E-07 1.82E-21 4.59E-11 1.85E-05 1.43E-11 2.138E-05
5.500E-01 7.94E-07 1.88E-15 2.03E-06 1.51E-15 4.10E-08 1.01E-21 4.18E-07 2.58E-21 5.46E-11 2.11E-05 2.02E-11 2.434E-05
5.000E-01 9.20E-07 2.75E-15 2.36E-06 2.21E-15 4.97E-08 1.48E-21 4.85E-07 3.78E-21 6.61E-11 2.42E-05 2.96E-11 2.804E-05
4.500E-01 1.08E-06 4.20E-15 2.79E-06 3.37E-15 6.12E-08 2.25E-21 5.78E-07 5.76E-21 8.16E-11 2.83E-05 4.51E-11 3.285E-05
4.000E-01 1.30E-06 6.72E-15 3.38E-06 5.39E-15 7.66E-08 3.61E-21 6.94E-07 9.23E-21 1.03E-10 3.37E-05 7.21E-11 3.919E-05
3.500E-01 1.61E-06 1.15E-14 4.19E-06 9.20E-15 9.82E-08 6.16E-21 8.70E-07 1.57E-20 1.35E-10 4.12E-05 1.23E-10 4.799E-05
3.000E-01 2.05E-06 2.12E-14 5.37E-06 1.70E-14 1.29E-07 1.14E-20 1.10E-06 2.91E-20 1.84E-10 5.20E-05 2.27E-10 6.063E-05
2.500E-01 2.75E-06 4.40E-14 7.21E-06 3.53E-14 1.76E-07 2.37E-20 1.48E-06 6.04E-20 2.64E-10 6.86E-05 4.70E-10 8.018E-05
2.098E-01 3.66E-06 8.86E-14 9.59E-06 7.13E-14 2.35E-07 4.77E-20 1.97E-06 1.22E-19 3.75E-10 8.97E-05 9.46E-10 1.051E-04
1.500E-01 6.36E-06 3.39E-13 1.66E-05 2.73E-13 4.48E-07 1.83E-19 3.37E-06 4.65E-19 7.34E-10 1.51E-04 3.60E-09 1.777E-04
1.382E-01 7.29E-06 4.70E-13 1.90E-05 3.78E-13 5.27E-07 2.53E-19 3.87E-06 6.45E-19 8.65E-10 1.72E-04 5.00E-09 2.025E-04
1.320E-01 7.88E-06 5.64E-13 2.05E-05 4.55E-13 5.77E-07 3.04E-19 4.16E-06 7.75E-19 9.48E-10 1.85E-04 6.00E-09 2.178E-04
1.150E-01 9.95E-06 9.79E-13 2.57E-05 7.89E-13 7.57E-07 5.28E-19 5.20E-06 1.34E-18 1.25E-09 2.30E-04 1.04E-08 2.716E-04
1.000E-01 1.27E-05 1.71E-12 3.23E-05 1.38E-12 9.94E-07 9.24E-19 6.49E-06 2.35E-18 1.65E-09 2.88E-04 1.81E-08 3.405E-04
9.970E-02 1.27E-05 1.73E-12 3.25E-05 1.40E-12 1.00E-06 9.35E-19 6.53E-06 2.38E-18 1.66E-09 2.89E-04 1.84E-08 3.422E-04
8.670E-02 1.60E-05 3.03E-12 4.09E-05 2.44E-12 1.32E-06 1.63E-18 8.19E-06 4.16E-18 2.20E-09 3.60E-04 3.20E-08 4.266E-04
8.500E-02 1.66E-05 3.28E-12 4.23E-05 2.65E-12 1.37E-06 1.77E-18 8.46E-06 4.50E-18 2.29E-09 3.72E-04 3.47E-08 4.413E-04
7.500E-02 2.11E-05 5.41E-12 5.20E-05 4.37E-12 1.75E-06 2.92E-18 1.03E-05 7.42E-18 2.94E-09 4.65E-04 5.71E-08 5.506E-04
6.000E-02 3.10E-05 1.32E-11 7.51E-05 1.07E-11 2.69E-06 7.12E-18 1.50E-05 1.81E-17 4.59E-09 6.62E-04 1.39E-07 7.863E-04
