 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.800E-02 5.51E-05 2.68E-10 7.67E-04 6.83E-10 1.33E-05 4.51E-16 9.19E-05 1.15E-15 2.62E-08 2.87E-03 7.83E-06 3.801E-03
1.600E-02 7.31E-05 4.32E-10 9.53E-04 1.07E-09 1.69E-05 7.24E-16 1.17E-04 1.85E-15 3.32E-08 3.62E-03 1.25E-05 4.791E-03
1.500E-02 8.72E-05 5.62E-10 1.07E-03 1.37E-09 1.92E-05 9.39E-16 1.33E-04 2.39E-15 3.78E-08 4.11E-03 1.61E-05 5.435E-03
1.400E-02 9.92E-05 7.42E-10 1.20E-03 1.78E-09 2.22E-05 1.24E-15 1.53E-04 3.15E-15 4.35E-08 4.58E-03 2.11E-05 6.081E-03
1.200E-02 1.51E-04 1.39E-09 1.53E-03 3.19E-09 3.08E-05 2.31E-15 2.10E-04 5.85E-15 5.93E-08 6.20E-03 3.85E-05 8.163E-03
1.000E-02 2.30E-04 2.92E-09 2.02E-03 6.32E-09 4.66E-05 4.82E-15 3.07E-04 1.22E-14 8.59E-08 8.55E-03 7.92E-05 1.123E-02
9.000E-03 3.06E-04 4.50E-09 2.30E-03 9.39E-09 5.99E-05 7.38E-15 3.83E-04 1.85E-14 1.06E-07 1.05E-02 1.20E-04 1.364E-02
8.000E-03 4.06E-04 7.09E-09 2.67E-03 1.48E-08 8.01E-05 1.19E-14 4.92E-04 2.97E-14 1.35E-07 1.25E-02 1.88E-04 1.636E-02
7.500E-03 4.75E-04 9.29E-09 2.96E-03 1.91E-08 9.45E-05 1.55E-14 5.64E-04 3.85E-14 1.55E-07 1.42E-02 2.43E-04 1.857E-02
7.000E-03 5.73E-04 1.22E-08 3.32E-03 2.50E-08 1.13E-04 2.06E-14 6.54E-04 5.07E-14 1.78E-07 1.61E-02 3.16E-04 2.105E-02
6.000E-03 8.23E-04 2.21E-08 4.25E-03 4.57E-08 1.75E-04 3.87E-14 9.09E-04 9.39E-14 2.46E-07 2.10E-02 5.75E-04 2.777E-02
5.000E-03 1.17E-03 4.32E-08 6.04E-03 9.30E-08 3.06E-04 8.22E-14 1.34E-03 1.94E-13 3.62E-07 2.85E-02 1.16E-03 3.858E-02
4.500E-03 1.45E-03 6.27E-08 7.39E-03 1.39E-07 4.33E-04 1.27E-13 1.67E-03 2.94E-13 4.55E-07 3.43E-02 1.74E-03 4.699E-02
4.000E-03 1.72E-03 9.32E-08 9.22E-03 2.08E-07 6.34E-04 2.02E-13 2.14E-03 4.66E-13 5.94E-07 4.16E-02 2.71E-03 5.803E-02
3.500E-03 2.08E-03 1.47E-07 1.14E-02 3.28E-07 8.81E-04 3.23E-13 2.79E-03 7.84E-13 8.15E-07 5.21E-02 4.47E-03 7.368E-02
3.000E-03 2.57E-03 2.44E-07 1.40E-02 5.27E-07 9.30E-04 5.05E-13 3.81E-03 1.43E-12 1.23E-06 6.75E-02 7.76E-03 9.651E-02
2.750E-03 2.81E-03 3.19E-07 1.53E-02 6.79E-07 8.01E-04 6.51E-13 4.58E-03 2.00E-12 1.66E-06 7.73E-02 1.03E-02 1.111E-01
2.500E-03 3.03E-03 4.26E-07 1.68E-02 8.89E-07 6.31E-04 8.95E-13 5.62E-03 2.88E-12 2.73E-06 8.87E-02 1.39E-02 1.286E-01
2.400E-03 3.15E-03 4.86E-07 1.74E-02 9.98E-07 5.66E-04 1.04E-12 6.13E-03 3.34E-12 3.79E-06 9.38E-02 1.55E-02 1.365E-01
2.350E-03 3.22E-03 5.20E-07 1.77E-02 1.06E-06 5.35E-04 1.12E-12 6.41E-03 3.61E-12 4.47E-06 9.65E-02 1.64E-02 1.408E-01
2.320E-03 3.25E-03 5.41E-07 1.79E-02 1.10E-06 5.18E-04 1.18E-12 6.59E-03 3.78E-12 4.81E-06 9.81E-02 1.70E-02 1.434E-01
2.310E-03 3.26E-03 5.48E-07 1.80E-02 1.11E-06 5.12E-04 1.20E-12 6.64E-03 3.84E-12 4.89E-06 9.86E-02 1.72E-02 1.442E-01
2.300E-03 3.28E-03 5.56E-07 1.81E-02 1.13E-06 5.06E-04 1.22E-12 6.70E-03 3.90E-12 4.96E-06 9.92E-02 1.73E-02 1.451E-01
2.250E-03 3.33E-03 5.93E-07 1.85E-02 1.20E-06 4.79E-04 1.33E-12 7.04E-03 4.23E-12 5.17E-06 1.02E-01 1.83E-02 1.497E-01
2.200E-03 3.39E-03 6.36E-07 1.89E-02 1.28E-06 4.53E-04 1.45E-12 7.43E-03 4.58E-12 5.43E-06 1.05E-01 1.93E-02 1.543E-01
2.150E-03 3.45E-03 6.84E-07 1.94E-02 1.36E-06 4.30E-04 1.59E-12 7.80E-03 4.95E-12 5.93E-06 1.08E-01 2.02E-02 1.589E-01
2.120E-03 3.50E-03 7.13E-07 1.97E-02 1.40E-06 4.16E-04 1.68E-12 8.05E-03 5.19E-12 6.18E-06 1.09E-01 2.08E-02 1.618E-01
2.110E-03 3.51E-03 7.23E-07 1.98E-02 1.42E-06 4.12E-04 1.72E-12 8.14E-03 5.28E-12 6.22E-06 1.10E-01 2.10E-02 1.627E-01
2.100E-03 3.52E-03 7.32E-07 1.99E-02 1.43E-06 4.08E-04 1.75E-12 8.23E-03 5.36E-12 6.23E-06 1.10E-01 2.12E-02 1.636E-01
2.080E-03 3.54E-03 7.52E-07 2.00E-02 1.46E-06 4.00E-04 1.82E-12 8.41E-03 5.53E-12 6.19E-06 1.11E-01 2.15E-02 1.652E-01
2.000E-03 3.59E-03 8.48E-07 2.07E-02 1.58E-06 3.71E-04 2.13E-12 9.22E-03 6.28E-12 5.90E-06 1.16E-01 2.30E-02 1.724E-01
1.950E-03 3.65E-03 9.20E-07 2.09E-02 1.64E-06 3.55E-04 2.36E-12 9.75E-03 6.66E-12 6.36E-06 1.18E-01 2.36E-02 1.759E-01
1.900E-03 3.72E-03 1.00E-06 2.11E-02 1.68E-06 3.41E-04 2.62E-12 1.02E-02 6.96E-12 7.66E-06 1.19E-01 2.41E-02 1.783E-01
1.850E-03 3.80E-03 1.10E-06 2.09E-02 1.70E-06 3.28E-04 2.92E-12 1.04E-02 7.15E-12 9.84E-06 1.19E-01 2.44E-02 1.791E-01
1.830E-03 3.84E-03 1.14E-06 2.08E-02 1.70E-06 3.24E-04 3.05E-12 1.04E-02 7.19E-12 1.06E-05 1.19E-01 2.44E-02 1.789E-01
1.820E-03 3.85E-03 1.16E-06 2.07E-02 1.70E-06 3.21E-04 3.12E-12 1.04E-02 7.20E-12 1.09E-05 1.19E-01 2.45E-02 1.786E-01
1.810E-03 3.86E-03 1.18E-06 2.06E-02 1.70E-06 3.19E-04 3.19E-12 1.04E-02 7.22E-12 1.10E-05 1.19E-01 2.45E-02 1.783E-01
1.800E-03 3.88E-03 1.20E-06 2.05E-02 1.70E-06 3.17E-04 3.27E-12 1.04E-02 7.23E-12 1.11E-05 1.18E-01 2.46E-02 1.781E-01
1.750E-03 3.97E-03 1.31E-06 1.96E-02 1.65E-06 3.08E-04 3.67E-12 1.01E-02 7.27E-12 1.14E-05 1.17E-01 2.49E-02 1.757E-01
1.700E-03 4.02E-03 1.44E-06 1.82E-02 1.58E-06 3.01E-04 4.13E-12 9.62E-03 7.32E-12 1.39E-05 1.14E-01 2.55E-02 1.719E-01
1.670E-03 4.08E-03 1.53E-06 1.70E-02 1.54E-06 2.97E-04 4.44E-12 9.26E-03 7.41E-12 1.63E-05 1.13E-01 2.61E-02 1.698E-01
1.650E-03 4.13E-03 1.60E-06 1.61E-02 1.51E-06 2.95E-04 4.66E-12 8.97E-03 7.49E-12 1.72E-05 1.12E-01 2.66E-02 1.683E-01
1.640E-03 4.15E-03 1.63E-06 1.57E-02 1.51E-06 2.94E-04 4.78E-12 8.83E-03 7.54E-12 1.72E-05 1.12E-01 2.68E-02 1.674E-01
1.630E-03 4.18E-03 1.66E-06 1.52E-02 1.50E-06 2.93E-04 4.90E-12 8.68E-03 7.60E-12 1.68E-05 1.11E-01 2.70E-02 1.666E-01
1.610E-03 4.22E-03 1.73E-06 1.41E-02 1.49E-06 2.92E-04 5.15E-12 8.39E-03 7.79E-12 1.58E-05 1.10E-01 2.77E-02 1.650E-01
1.600E-03 4.24E-03 1.76E-06 1.36E-02 1.50E-06 2.91E-04 5.29E-12 8.24E-03 7.90E-12 1.53E-05 1.10E-01 2.81E-02 1.643E-01
1.590E-03 4.26E-03 1.80E-06 1.30E-02 1.51E-06 2.90E-04 5.42E-12 8.09E-03 8.01E-12 1.49E-05 1.09E-01 2.84E-02 1.635E-01
1.580E-03 4.28E-03 1.83E-06 1.25E-02 1.53E-06 2.90E-04 5.56E-12 7.94E-03 8.15E-12 1.46E-05 1.09E-01 2.88E-02 1.629E-01
1.570E-03 4.30E-03 1.87E-06 1.19E-02 1.56E-06 2.90E-04 5.71E-12 7.80E-03 8.31E-12 1.44E-05 1.09E-01 2.93E-02 1.622E-01
1.560E-03 4.32E-03 1.91E-06 1.14E-02 1.60E-06 2.89E-04 5.86E-12 7.65E-03 8.47E-12 1.41E-05 1.08E-01 2.98E-02 1.618E-01
1.540E-03 4.38E-03 1.99E-06 1.04E-02 1.72E-06 2.89E-04 6.18E-12 7.37E-03 8.87E-12 1.38E-05 1.08E-01 3.08E-02 1.612E-01
1.520E-03 4.42E-03 2.07E-06 9.70E-03 1.88E-06 2.88E-04 6.51E-12 7.10E-03 9.36E-12 1.46E-05 1.07E-01 3.19E-02 1.609E-01
1.510E-03 4.44E-03 2.11E-06 9.42E-03 1.98E-06 2.88E-04 6.69E-12 6.97E-03 9.63E-12 1.50E-05 1.07E-01 3.26E-02 1.609E-01
1.500E-03 4.45E-03 2.15E-06 9.21E-03 2.09E-06 2.88E-04 6.88E-12 6.85E-03 9.94E-12 1.51E-05 1.07E-01 3.32E-02 1.610E-01
1.450E-03 4.52E-03 2.40E-06 8.78E-03 2.71E-06 2.90E-04 7.89E-12 6.30E-03 1.20E-11 1.92E-05 1.07E-01 3.78E-02 1.651E-01
1.440E-03 4.54E-03 2.45E-06 8.78E-03 2.85E-06 2.91E-04 8.12E-12 6.22E-03 1.26E-11 2.12E-05 1.08E-01 3.89E-02 1.664E-01
1.430E-03 4.56E-03 2.51E-06 8.77E-03 2.98E-06 2.91E-04 8.35E-12 6.19E-03 1.32E-11 2.29E-05 1.08E-01 4.01E-02 1.683E-01
1.420E-03 4.58E-03 2.57E-06 8.76E-03 3.13E-06 2.92E-04 8.59E-12 6.17E-03 1.39E-11 2.38E-05 1.09E-01 4.14E-02 1.703E-01
1.400E-03 4.63E-03 2.69E-06 8.77E-03 3.42E-06 2.94E-04 9.10E-12 6.22E-03 1.55E-11 2.60E-05 1.11E-01 4.40E-02 1.752E-01
1.380E-03 4.68E-03 2.82E-06 8.77E-03 3.75E-06 2.96E-04 9.65E-12 6.39E-03 1.73E-11 3.29E-05 1.14E-01 4.68E-02 1.810E-01
1.370E-03 4.70E-03 2.89E-06 8.79E-03 3.93E-06 2.97E-04 9.94E-12 6.56E-03 1.83E-11 3.91E-05 1.16E-01 4.81E-02 1.842E-01
1.360E-03 4.73E-03 2.96E-06 8.80E-03 4.11E-06 2.98E-04 1.02E-11 6.76E-03 1.93E-11 4.53E-05 1.18E-01 4.93E-02 1.877E-01
1.350E-03 4.76E-03 3.04E-06 8.83E-03 4.31E-06 2.99E-04 1.06E-11 6.95E-03 2.04E-11 4.84E-05 1.20E-01 5.06E-02 1.911E-01
1.340E-03 4.79E-03 3.11E-06 8.86E-03 4.52E-06 3.01E-04 1.09E-11 7.19E-03 2.14E-11 5.25E-05 1.22E-01 5.16E-02 1.944E-01
1.330E-03 4.82E-03 3.19E-06 8.91E-03 4.74E-06 3.02E-04 1.12E-11 7.45E-03 2.25E-11 6.08E-05 1.23E-01 5.26E-02 1.976E-01
1.320E-03 4.86E-03 3.26E-06 8.97E-03 4.98E-06 3.04E-04 1.16E-11 7.70E-03 2.37E-11 7.51E-05 1.25E-01 5.36E-02 2.009E-01
1.310E-03 4.88E-03 3.33E-06 9.05E-03 5.23E-06 3.06E-04 1.19E-11 7.98E-03 2.49E-11 9.84E-05 1.27E-01 5.45E-02 2.041E-01
1.290E-03 4.90E-03 3.48E-06 9.26E-03 5.79E-06 3.09E-04 1.27E-11 8.56E-03 2.74E-11 2.03E-04 1.31E-01 5.64E-02 2.105E-01
1.280E-03 4.91E-03 3.57E-06 9.39E-03 6.08E-06 3.11E-04 1.31E-11 8.92E-03 2.88E-11 2.97E-04 1.33E-01 5.72E-02 2.139E-01
1.270E-03 4.94E-03 3.66E-06 9.45E-03 6.41E-06 3.13E-04 1.35E-11 9.29E-03 3.02E-11 3.60E-04 1.35E-01 5.80E-02 2.173E-01
1.260E-03 4.96E-03 3.76E-06 9.58E-03 6.79E-06 3.15E-04 1.40E-11 9.66E-03 3.16E-11 3.10E-04 1.37E-01 5.87E-02 2.204E-01
1.250E-03 4.97E-03 3.85E-06 9.78E-03 7.20E-06 3.18E-04 1.44E-11 1.01E-02 3.31E-11 2.29E-04 1.39E-01 5.93E-02 2.234E-01
1.220E-03 5.07E-03 4.20E-06 1.11E-02 8.91E-06 3.24E-04 1.59E-11 1.13E-02 3.79E-11 1.79E-04 1.45E-01 6.11E-02 2.336E-01
1.210E-03 5.10E-03 4.30E-06 1.21E-02 9.59E-06 3.27E-04 1.64E-11 1.18E-02 3.97E-11 2.06E-04 1.46E-01 6.15E-02 2.375E-01
1.200E-03 5.11E-03 4.42E-06 1.34E-02 1.02E-05 3.29E-04 1.70E-11 1.23E-02 4.15E-11 2.27E-04 1.48E-01 6.19E-02 2.416E-01
1.190E-03 5.16E-03 4.56E-06 1.48E-02 1.08E-05 3.32E-04 1.76E-11 1.28E-02 4.35E-11 2.27E-04 1.50E-01 6.23E-02 2.460E-01
1.180E-03 5.20E-03 4.68E-06 1.62E-02 1.13E-05 3.34E-04 1.82E-11 1.34E-02 4.53E-11 2.26E-04 1.52E-01 6.24E-02 2.498E-01
1.170E-03 5.23E-03 4.81E-06 1.75E-02 1.18E-05 3.37E-04 1.89E-11 1.39E-02 4.72E-11 2.51E-04 1.54E-01 6.26E-02 2.535E-01
1.160E-03 5.27E-03 4.94E-06 1.86E-02 1.21E-05 3.41E-04 1.97E-11 1.44E-02 4.91E-11 3.23E-04 1.55E-01 6.27E-02 2.570E-01
1.150E-03 5.29E-03 5.06E-06 1.96E-02 1.24E-05 4.79E-04 1.94E-11 1.50E-02 5.12E-11 4.72E-04 1.57E-01 6.28E-02 2.603E-01
1.140E-03 5.30E-03 5.19E-06 2.05E-02 1.27E-05 3.56E-04 2.07E-11 1.56E-02 5.34E-11 7.09E-04 1.58E-01 6.30E-02 2.635E-01
1.130E-03 5.32E-03 5.33E-06 2.13E-02 1.30E-05 3.55E-04 2.15E-11 1.62E-02 5.58E-11 8.66E-04 1.60E-01 6.31E-02 2.668E-01
1.120E-03 5.34E-03 5.48E-06 2.20E-02 1.33E-05 3.58E-04 2.24E-11 1.69E-02 5.83E-11 6.97E-04 1.61E-01 6.32E-02 2.696E-01
1.110E-03 5.35E-03 5.63E-06 2.27E-02 1.36E-05 3.61E-04 2.32E-11 1.76E-02 6.08E-11 4.43E-04 1.63E-01 6.31E-02 2.722E-01
1.090E-03 5.39E-03 5.98E-06 2.41E-02 1.42E-05 3.68E-04 2.50E-11 1.91E-02 6.61E-11 1.84E-04 1.65E-01 6.30E-02 2.775E-01
1.050E-03 5.51E-03 6.81E-06 2.66E-02 1.53E-05 3.85E-04 2.90E-11 2.31E-02 7.85E-11 6.12E-05 1.71E-01 6.17E-02 2.880E-01
1.000E-03 5.71E-03 8.04E-06 2.91E-02 1.62E-05 4.11E-04 3.53E-11 2.67E-02 8.41E-11 3.10E-05 1.70E-01 5.70E-02 2.893E-01
9.800E-04 5.81E-03 8.62E-06 2.96E-02 1.62E-05 4.22E-04 3.83E-11 2.81E-02 8.65E-11 2.69E-05 1.70E-01 5.54E-02 2.892E-01
9.600E-04 5.89E-03 9.25E-06 2.95E-02 1.58E-05 4.35E-04 4.16E-11 2.93E-02 8.71E-11 2.50E-05 1.68E-01 5.29E-02 2.866E-01
9.500E-04 5.96E-03 9.57E-06 2.91E-02 1.55E-05 4.41E-04 4.34E-11 2.96E-02 8.53E-11 2.46E-05 1.67E-01 5.11E-02 2.833E-01
9.400E-04 6.00E-03 9.87E-06 2.86E-02 1.52E-05 4.48E-04 4.53E-11 2.96E-02 8.17E-11 2.47E-05 1.64E-01 4.90E-02 2.782E-01
9.200E-04 6.09E-03 1.05E-05 2.72E-02 1.45E-05 4.63E-04 4.94E-11 2.75E-02 6.80E-11 2.63E-05 1.57E-01 4.44E-02 2.627E-01
8.900E-04 6.24E-03 1.18E-05 2.41E-02 1.36E-05 4.86E-04 5.64E-11 2.17E-02 4.35E-11 3.83E-05 1.43E-01 3.89E-02 2.341E-01
8.700E-04 6.28E-03 1.26E-05 2.18E-02 1.33E-05 5.04E-04 6.17E-11 1.81E-02 3.23E-11 8.52E-05 1.34E-01 3.73E-02 2.178E-01
8.600E-04 6.35E-03 1.31E-05 2.07E-02 1.33E-05 5.13E-04 6.47E-11 1.66E-02 2.85E-11 1.28E-04 1.30E-01 3.71E-02 2.118E-01
8.500E-04 6.38E-03 1.36E-05 1.95E-02 1.33E-05 5.23E-04 6.77E-11 1.53E-02 2.54E-11 9.18E-05 1.27E-01 3.69E-02 2.058E-01
8.400E-04 6.44E-03 1.42E-05 1.82E-02 1.33E-05 5.32E-04 7.10E-11 1.40E-02 2.22E-11 6.60E-05 1.24E-01 3.67E-02 1.997E-01
8.200E-04 6.51E-03 1.51E-05 1.52E-02 1.37E-05 5.53E-04 7.82E-11 1.08E-02 1.60E-11 6.71E-05 1.15E-01 3.67E-02 1.846E-01
8.000E-04 6.59E-03 1.64E-05 1.22E-02 1.51E-05 5.75E-04 8.63E-11 7.38E-03 1.23E-11 9.80E-05 1.05E-01 3.92E-02 1.715E-01
7.900E-04 6.66E-03 1.71E-05 1.11E-02 1.62E-05 5.87E-04 9.07E-11 6.21E-03 1.33E-11 1.22E-04 1.03E-01 4.20E-02 1.696E-01
7.800E-04 6.69E-03 1.77E-05 1.02E-02 1.75E-05 5.98E-04 9.54E-11 5.05E-03 1.50E-11 1.46E-04 9.99E-02 4.52E-02 1.677E-01
7.700E-04 6.70E-03 1.84E-05 9.41E-03 1.90E-05 6.10E-04 1.00E-10 4.15E-03 1.79E-11 1.57E-04 9.77E-02 4.89E-02 1.677E-01
7.600E-04 6.72E-03 1.91E-05 8.73E-03 2.06E-05 6.23E-04 1.06E-10 3.52E-03 2.18E-11 1.46E-04 9.66E-02 5.31E-02 1.694E-01
7.500E-04 6.73E-03 1.99E-05 8.13E-03 2.24E-05 6.36E-04 1.12E-10 2.96E-03 2.65E-11 1.21E-04 9.56E-02 5.76E-02 1.717E-01
7.300E-04 6.81E-03 2.18E-05 7.20E-03 2.65E-05 6.64E-04 1.24E-10 2.48E-03 3.79E-11 7.51E-05 9.64E-02 6.65E-02 1.802E-01
7.200E-04 6.84E-03 2.27E-05 6.91E-03 2.87E-05 6.78E-04 1.31E-10 2.40E-03 4.38E-11 6.26E-05 9.70E-02 7.04E-02 1.843E-01
7.100E-04 6.85E-03 2.38E-05 6.72E-03 3.11E-05 6.94E-04 1.39E-10 2.33E-03 5.04E-11 6.13E-05 9.77E-02 7.46E-02 1.890E-01
7.000E-04 6.92E-03 2.49E-05 6.54E-03 3.35E-05 7.10E-04 1.47E-10 2.30E-03 5.70E-11 8.51E-05 9.89E-02 7.83E-02 1.938E-01
6.900E-04 6.95E-03 2.59E-05 6.28E-03 3.61E-05 7.26E-04 1.56E-10 2.29E-03 6.42E-11 4.99E-05 9.95E-02 8.17E-02 1.975E-01
6.800E-04 6.85E-03 2.69E-05 5.95E-03 3.88E-05 7.44E-04 1.65E-10 2.29E-03 7.15E-11 3.88E-05 9.93E-02 8.57E-02 2.010E-01
6.600E-04 6.89E-03 3.03E-05 5.36E-03 4.51E-05 7.81E-04 1.86E-10 2.29E-03 8.79E-11 3.70E-05 1.01E-01 9.41E-02 2.110E-01
6.400E-04 7.08E-03 3.42E-05 4.64E-03 5.25E-05 8.19E-04 2.10E-10 2.28E-03 1.06E-10 5.64E-05 1.04E-01 1.01E-01 2.206E-01
6.300E-04 7.23E-03 3.61E-05 4.33E-03 5.71E-05 8.29E-04 2.24E-10 2.28E-03 1.17E-10 8.83E-05 1.06E-01 1.04E-01 2.248E-01
6.200E-04 7.27E-03 3.78E-05 4.26E-03 6.21E-05 8.65E-04 2.38E-10 2.27E-03 1.28E-10 1.20E-04 1.06E-01 1.08E-01 2.288E-01
6.100E-04 7.34E-03 4.00E-05 4.24E-03 6.68E-05 8.87E-04 2.54E-10 2.25E-03 1.40E-10 8.70E-05 1.07E-01 1.11E-01 2.333E-01
