 # Polarisation optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel         sigp_aC     sigp_Si      sigp_dark    sigt
 #----------------------------------------------------------------------------------------
   1.000E+00   1.789E-04   2.594E-04   0.000E+00   5.294E-06
   9.000E-01   2.095E-04   3.063E-04   0.000E+00   6.176E-06
   8.000E-01   2.503E-04   3.690E-04   0.000E+00   7.344E-06
   7.000E-01   3.065E-04   4.559E-04   0.000E+00   8.935E-06
   6.000E-01   3.879E-04   5.825E-04   0.000E+00   1.123E-05
   5.500E-01   4.434E-04   6.692E-04   0.000E+00   1.278E-05
   5.000E-01   5.137E-04   7.794E-04   0.000E+00   1.473E-05
   4.500E-01   6.050E-04   9.226E-04   0.000E+00   1.725E-05
   4.000E-01   7.272E-04   1.115E-03   0.000E+00   2.058E-05
   3.500E-01   8.972E-04   1.382E-03   0.000E+00   2.520E-05
   3.000E-01   1.146E-03   1.773E-03   0.000E+00   3.183E-05
   2.500E-01   1.534E-03   2.382E-03   0.000E+00   4.210E-05
   2.098E-01   2.038E-03   3.167E-03   0.000E+00   5.520E-05
   1.500E-01   3.544E-03   5.481E-03   0.000E+00   9.332E-05
   1.382E-01   4.065E-03   6.267E-03   0.000E+00   1.063E-04
   1.320E-01   4.391E-03   6.758E-03   0.000E+00   1.144E-04
   1.150E-01   5.546E-03   8.481E-03   0.000E+00   1.426E-04
   1.000E-01   7.054E-03   1.066E-02   0.000E+00   1.787E-04
   9.970E-02   7.091E-03   1.072E-02   0.000E+00   1.796E-04
   8.670E-02   8.928E-03   1.352E-02   0.000E+00   2.240E-04
   8.500E-02   9.248E-03   1.398E-02   0.000E+00   2.316E-04
   7.500E-02   1.173E-02   1.720E-02   0.000E+00   2.890E-04
   6.000E-02   1.726E-02   2.487E-02   0.000E+00   4.127E-04
   5.500E-02   2.000E-02   2.791E-02   0.000E+00   4.754E-04
   5.000E-02   2.380E-02   3.470E-02   0.000E+00   5.662E-04
   4.500E-02   2.934E-02   4.609E-02   0.000E+00   6.977E-04
   4.000E-02   3.770E-02   6.183E-02   0.000E+00   8.841E-04
   3.500E-02   4.727E-02   9.438E-02   0.000E+00   1.122E-03
   3.000E-02   6.677E-02   1.474E-01   0.000E+00   1.570E-03
