 # Optical depth (Siebenmorgen 2023, A&A 670A,115; SC 2023 doi: 10.48550/arXiv.2311.03310)
 # wel(cm) sa_aC    ss_aC    sa_Si    ss_Si    sa_vgr   ss_vgr   sa_vsi   ss_vsi   s_pahS+B sa_Dark  ss_Dark sigt 
 # ------------------------------------------------------------------------------------------------------------- 
1.000E+00 2.54E-07 1.37E-16 3.37E-07 5.93E-17 4.75E-09 3.97E-23 6.80E-08 1.02E-22 7.10E-12 4.20E-06 8.89E-13 4.867E-06
9.000E-01 2.97E-07 2.08E-16 3.98E-07 9.04E-17 6.05E-09 6.05E-23 8.09E-08 1.55E-22 8.76E-12 4.90E-06 1.35E-12 5.678E-06
8.000E-01 3.55E-07 3.33E-16 4.80E-07 1.45E-16 7.90E-09 9.69E-23 9.85E-08 2.48E-22 1.11E-11 5.81E-06 2.17E-12 6.751E-06
7.000E-01 4.35E-07 5.68E-16 5.93E-07 2.47E-16 1.06E-08 1.65E-22 1.21E-07 4.23E-22 1.45E-11 7.05E-06 3.69E-12 8.214E-06
6.000E-01 5.50E-07 1.05E-15 7.58E-07 4.57E-16 1.47E-08 3.06E-22 1.56E-07 7.84E-22 1.97E-11 8.84E-06 6.83E-12 1.032E-05
5.500E-01 6.29E-07 1.49E-15 8.70E-07 6.48E-16 1.76E-08 4.34E-22 1.80E-07 1.11E-21 2.35E-11 1.00E-05 9.66E-12 1.175E-05
5.000E-01 7.29E-07 2.18E-15 1.01E-06 9.49E-16 2.13E-08 6.35E-22 2.08E-07 1.62E-21 2.84E-11 1.16E-05 1.41E-11 1.354E-05
4.500E-01 8.59E-07 3.32E-15 1.20E-06 1.45E-15 2.63E-08 9.68E-22 2.48E-07 2.47E-21 3.51E-11 1.35E-05 2.15E-11 1.585E-05
4.000E-01 1.03E-06 5.32E-15 1.45E-06 2.32E-15 3.29E-08 1.55E-21 2.98E-07 3.96E-21 4.44E-11 1.61E-05 3.44E-11 1.892E-05
3.500E-01 1.27E-06 9.08E-15 1.80E-06 3.95E-15 4.22E-08 2.65E-21 3.74E-07 6.76E-21 5.79E-11 1.97E-05 5.87E-11 2.317E-05
3.000E-01 1.63E-06 1.68E-14 2.31E-06 7.32E-15 5.55E-08 4.90E-21 4.74E-07 1.25E-20 7.89E-11 2.48E-05 1.08E-10 2.927E-05
2.500E-01 2.18E-06 3.48E-14 3.10E-06 1.52E-14 7.58E-08 1.02E-20 6.37E-07 2.59E-20 1.14E-10 3.27E-05 2.24E-10 3.871E-05
2.098E-01 2.90E-06 7.02E-14 4.12E-06 3.06E-14 1.01E-07 2.05E-20 8.47E-07 5.23E-20 1.61E-10 4.28E-05 4.52E-10 5.076E-05
1.500E-01 5.04E-06 2.68E-13 7.13E-06 1.17E-13 1.92E-07 7.84E-20 1.45E-06 2.00E-19 3.15E-10 7.21E-05 1.72E-09 8.586E-05
1.382E-01 5.78E-06 3.72E-13 8.15E-06 1.63E-13 2.27E-07 1.09E-19 1.66E-06 2.77E-19 3.72E-10 8.20E-05 2.38E-09 9.781E-05
1.320E-01 6.24E-06 4.47E-13 8.79E-06 1.95E-13 2.48E-07 1.31E-19 1.79E-06 3.33E-19 4.07E-10 8.82E-05 2.86E-09 1.052E-04
1.150E-01 7.89E-06 7.76E-13 1.10E-05 3.39E-13 3.25E-07 2.27E-19 2.23E-06 5.77E-19 5.37E-10 1.10E-04 4.96E-09 1.313E-04
1.000E-01 1.00E-05 1.36E-12 1.39E-05 5.93E-13 4.27E-07 3.97E-19 2.79E-06 1.01E-18 7.10E-10 1.37E-04 8.66E-09 1.646E-04
9.970E-02 1.01E-05 1.37E-12 1.39E-05 6.00E-13 4.30E-07 4.02E-19 2.80E-06 1.02E-18 7.14E-10 1.38E-04 8.76E-09 1.654E-04
8.670E-02 1.27E-05 2.40E-12 1.76E-05 1.05E-12 5.68E-07 7.02E-19 3.52E-06 1.79E-18 9.44E-10 1.72E-04 1.53E-08 2.063E-04
8.500E-02 1.32E-05 2.60E-12 1.82E-05 1.14E-12 5.91E-07 7.60E-19 3.63E-06 1.93E-18 9.83E-10 1.78E-04 1.65E-08 2.133E-04
7.500E-02 1.67E-05 4.29E-12 2.24E-05 1.88E-12 7.51E-07 1.25E-18 4.43E-06 3.19E-18 1.26E-09 2.22E-04 2.73E-08 2.664E-04
6.000E-02 2.46E-05 1.05E-11 3.23E-05 4.61E-12 1.15E-06 3.06E-18 6.43E-06 7.79E-18 1.97E-09 3.16E-04 6.62E-08 3.806E-04
5.500E-02 2.85E-05 1.48E-11 3.61E-05 6.55E-12 1.36E-06 4.33E-18 7.50E-06 1.10E-17 2.35E-09 3.65E-04 9.38E-08 4.386E-04
5.000E-02 3.39E-05 2.17E-11 4.47E-05 9.66E-12 1.62E-06 6.35E-18 8.93E-06 1.62E-17 2.84E-09 4.33E-04 1.37E-07 5.222E-04
4.500E-02 4.17E-05 3.31E-11 5.93E-05 1.48E-11 1.98E-06 9.67E-18 1.09E-05 2.46E-17 3.51E-09 5.29E-04 2.09E-07 6.429E-04
4.000E-02 5.36E-05 5.32E-11 7.92E-05 2.40E-11 2.47E-06 1.55E-17 1.38E-05 3.95E-17 4.44E-09 6.65E-04 3.34E-07 8.145E-04
